H_avg_gs_5,H_avg_gc_5,H_avg_gd_5,H_avg_pts_5,H_avg_gs_10,H_avg_gc_10,H_avg_gd_10,H_avg_pts_10,H_ewma_gs_0.1,H_ewma_gc_0.1,H_ewma_gd_0.1,H_ewma_gs_0.2,H_ewma_gc_0.2,H_ewma_gd_0.2,H_h2h_avg_gs,H_h2h_avg_gc,H_h2h_win_rate,A_avg_gs_5,A_avg_gc_5,A_avg_gd_5,A_avg_pts_5,A_avg_gs_10,A_avg_gc_10,A_avg_gd_10,A_avg_pts_10,A_ewma_gs_0.1,A_ewma_gc_0.1,A_ewma_gd_0.1,A_ewma_gs_0.2,A_ewma_gc_0.2,A_ewma_gd_0.2,A_h2h_avg_gs,A_h2h_avg_gc,A_h2h_win_rate,diff_avg_gd_5,diff_avg_gd_10,diff_ewma_gd_0.1,diff_ewma_gd_0.2,target
1.2,1.2,0.0,1.2,1.5,1.1,0.4,1.4,1.4841518441918624,1.1190431716553897,0.36510867253647245,1.4771990361036234,1.243838508622869,0.23336052748075448,3.0,1.0,1.0,0.8,1.6,-0.8,0.6,1.1,1.5,-0.4,1.2,1.1630574641000901,1.4473746314945228,-0.284317167394433,0.9740153248103585,1.4120777276291894,-0.4380624028188309,3.0,1.0,1.0,0.8,0.8,0.6494258399309054,0.6714229302995853,
1.6,1.0,0.6,1.0,1.1,1.9,-0.8,0.8,1.216231286760066,1.4690086266823537,-0.2527773399222877,1.166740007134225,1.2559232136733114,-0.08918320653908668,4.0,0.0,1.0,1.0,2.8,-1.8,0.8,1.0,1.9,-0.9,1.1,1.0878900243952452,1.9688391711766011,-0.8809491467813559,0.9354722381596637,2.298627829617222,-1.3631555914575584,4.0,0.0,1.0,2.4,0.09999999999999998,0.6281718068590683,1.2739723849184716,
0.4,0.4,0.0,1.4,0.6,1.2,-0.6,1.0,0.7951371391439667,1.134329031008585,-0.33919189186461807,0.6542834888032971,0.806103927565882,-0.15182043876258508,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.8,1.4,-0.6,0.8,0.9475042824899955,1.547002990372705,-0.5994987078827099,1.008190842009665,1.2986079026889659,-0.29041706067930045,1.0,3.0,0.0,0.0,0.0,0.2603068160180918,0.13859662191671537,
1.0,2.0,-1.0,1.4,1.1,1.6,-0.5,1.5,1.1049393522074185,1.4577512936296377,-0.3528119414222193,1.1399740503009135,1.6134690238592462,-0.47349497355833303,2.0,0.0,1.0,1.6,0.8,0.8,1.8,2.1,0.6,1.5,1.8,2.0805875109818426,0.644695933733416,1.4358915772484266,1.7945796181652722,0.5855842144958309,1.2089954036694412,2.0,0.0,1.0,-1.8,-2.0,-1.788703518670646,-1.6824903772277744,
1.0,1.0,0.0,1.4,1.4,1.7,-0.3,1.5,1.2914846244121807,1.4608588255188302,-0.16937420110664964,1.314047767790292,1.2628086322295236,0.05123913556076782,2.0,2.0,0.0,1.0,0.8,0.2,1.6,0.8,0.9,-0.1,1.4,0.9597942251865581,1.3235890787215725,-0.36379485353501423,0.8821412970617509,0.9440285627178174,-0.061887265656066545,2.0,2.0,0.0,-0.2,-0.19999999999999998,0.1944206524283646,0.11312640121683437,
1.8,2.4,-0.6,1.0,1.3,1.8,-0.5,1.2,1.4148799265002638,1.86005185600223,-0.44517192950196616,1.5540834720843963,2.036484417476594,-0.4824009453921977,5.0,3.0,1.0,2.8,1.6,1.2,1.6,1.6,1.1,0.5,1.3,1.9622110902173124,1.1448942366457016,0.8173168535716118,2.212545151755148,1.3842463162936534,0.8282988354614944,5.0,3.0,1.0,-1.7999999999999998,-1.0,-1.2624887830735778,-1.310699780853692,
2.2,1.0,1.2,2.0,1.8,1.3,0.5,1.4,1.9124967949875673,1.274895605997782,0.6376011889897855,1.9615313247594968,1.2229204550751167,0.7386108696843802,1.0,1.0,0.0,1.2,1.2,0.0,1.0,1.2,1.0,0.2,1.3,1.1750045593151772,1.0087569232659037,0.16624763604927373,1.1209073117123958,1.0835201703704278,0.037387141341967765,1.0,1.0,0.0,1.2,0.3,0.47135355294051173,0.7012237283424124,
1.0,0.8,0.2,1.2,0.9,1.4,-0.5,0.9,0.9533988296304978,1.4855820770928145,-0.5321832474623172,1.0065374235138123,1.2383303599490147,-0.23179293643520224,1.0,2.0,0.0,1.6,1.4,0.2,1.2,1.2,1.8,-0.6,0.9,1.1919514869303798,1.753204151000736,-0.5612526640703562,1.1330815613396343,1.809847621835423,-0.6767660604957887,1.0,2.0,0.0,0.0,0.09999999999999998,0.029069416608039078,0.4449731240605864,
0.8,1.0,-0.2,1.4,0.7,0.8,-0.1,1.4,0.8520225330582278,1.2872544752691577,-0.43523194221092965,0.7040706255976347,0.9553270604220375,-0.25125643482440285,2.0,2.0,0.0,0.4,2.2,-1.8,0.4,0.8,1.6,-0.8,1.0,0.8687424821183011,1.6299110764889226,-0.7611685943706218,0.7448987851094391,1.6975243221238623,-0.9526255370144237,2.0,2.0,0.0,1.6,0.7000000000000001,0.32593665215969214,0.7013691021900208,
1.0,1.6,-0.6,0.8,1.2,1.4,-0.2,1.3,1.2402742147418586,1.4616575434790515,-0.22138332873719324,1.1309072612993658,1.4785325468907158,-0.34762528559134986,1.0,2.0,0.0,0.6,0.4,0.2,1.6,0.6,1.1,-0.5,1.1,0.8181404210864205,1.1192457281569343,-0.30110530707051375,0.724070462262175,0.8452441468568302,-0.12117368459465523,1.0,2.0,0.0,-0.8,0.3,0.07972197833332051,-0.22645160099669465,
