unnamed:_0,age,matches_played,starts,minutes,90s_played,assists,goals_+_assists,penalty_attempts,yellow_cards,red_cards,xg,npxg,xag,npxg_+_xag,progressive_carries,progressive_passes,progressive_receives,goals_per_90,assists_per_90,goals_+_assists_per_90,non_penalty_goals_per_90,non_penalty_goals_+_assists_per_90,xg_per_90,xag_per_90,xg_+_xag_per_90,npxg_per_90,npxg_+_xag_per_90,90s,xg_overperformance,age_band_encoded,goals
233,18,2,0,6,0.1,0,0,0,0,0,0.0,0.0,0.0,0.1,2,0,1,0.0,0.0,0.0,0.0,0.0,0.29,0.5,0.79,0.29,0.79,2,0.0,2,0
234,27,38,38,3348,37.2,1,1,0,5,0,1.6,1.6,1.2,2.8,31,113,6,0.0,0.03,0.03,0.0,0.03,0.04,0.03,0.08,0.04,0.08,38,-1.6,1,0
235,26,36,35,3154,35.0,5,7,0,1,0,1.2,1.2,3.5,4.7,110,149,167,0.06,0.14,0.2,0.06,0.2,0.03,0.1,0.14,0.03,0.14,36,0.8,1,2
236,29,35,30,2567,28.5,1,10,0,8,0,6.7,6.7,1.0,7.8,9,74,68,0.26,0.03,0.35,0.32,0.35,0.24,0.04,0.27,0.24,0.27,35,2.3,0,9
237,26,33,27,2380,26.4,0,4,2,10,0,5.3,3.7,3.1,6.8,26,155,85,0.12,0.0,0.15,0.08,0.08,0.2,0.12,0.32,0.14,0.26,33,-1.2999999999999998,1,4
238,29,31,26,2113,23.5,1,3,0,5,0,2.0,2.0,1.5,3.4,47,66,83,0.06,0.03,0.13,0.09,0.13,0.08,0.06,0.15,0.08,0.15,31,0.0,0,2
239,31,26,25,2260,25.1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0.0,0,0
240,26,33,21,2045,22.7,0,0,0,6,1,1.5,1.5,0.5,2.0,17,61,2,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,33,-1.5,1,0
241,24,27,20,1825,20.3,0,0,0,3,0,0.4,0.4,0.0,0.4,9,38,5,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,27,-0.4,1,0
242,26,28,20,1772,19.7,1,1,0,9,1,0.4,0.4,0.8,1.2,24,85,18,0.0,0.04,0.05,0.0,0.05,0.02,0.04,0.06,0.02,0.06,28,-0.4,1,0
243,30,23,16,1149,12.8,1,1,0,6,0,0.2,0.2,0.2,0.4,4,33,7,0.0,0.04,0.08,0.0,0.08,0.02,0.01,0.03,0.02,0.03,23,-0.2,0,0
244,27,31,14,1409,15.7,1,2,0,6,0,1.8,1.8,1.4,3.2,17,56,37,0.03,0.03,0.13,0.06,0.13,0.12,0.09,0.21,0.12,0.21,31,-0.8,1,1
245,39,14,13,1160,12.9,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,3,0
246,29,15,12,1039,11.5,1,2,0,2,0,1.6,1.6,1.9,3.6,11,54,9,0.07,0.07,0.17,0.09,0.17,0.14,0.17,0.31,0.14,0.31,15,-0.6000000000000001,0,1
247,31,22,11,1067,11.9,0,0,0,5,0,0.3,0.3,0.7,1.0,26,39,33,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.08,0.03,0.08,22,-0.3,0,0
248,34,14,11,836,9.3,1,2,0,1,0,2.2,2.2,1.6,3.8,29,18,59,0.07,0.07,0.22,0.11,0.22,0.24,0.17,0.41,0.24,0.41,14,-1.2000000000000002,3,1
249,34,18,10,824,9.2,0,0,0,3,0,0.2,0.2,1.3,1.6,6,36,4,0.0,0.0,0.0,0.0,0.0,0.03,0.15,0.17,0.03,0.17,18,-0.2,3,0
250,31,18,6,790,8.8,2,5,0,2,0,2.2,2.2,1.9,4.1,7,14,31,0.17,0.11,0.57,0.34,0.57,0.25,0.22,0.46,0.25,0.46,18,0.7999999999999998,0,3
251,24,10,1,166,1.8,0,0,0,2,0,0.1,0.1,0.2,0.4,0,9,4,0.0,0.0,0.0,0.0,0.0,0.06,0.13,0.19,0.06,0.19,10,-0.1,1,0
252,19,8,1,156,1.7,0,0,0,0,0,0.6,0.6,0.3,0.9,1,1,7,0.0,0.0,0.0,0.0,0.0,0.32,0.17,0.5,0.32,0.5,8,-0.6,2,0
253,18,12,1,150,1.7,0,0,0,0,0,0.4,0.4,0.1,0.5,4,5,16,0.0,0.0,0.0,0.0,0.0,0.25,0.05,0.3,0.25,0.3,12,-0.4,2,0
254,18,2,0,49,0.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09,2,0.0,2,0
255,19,1,0,1,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2,0
256,29,36,35,3018,33.5,10,18,3,5,2,9.9,7.6,8.5,16.1,77,325,129,0.22,0.28,0.54,0.15,0.45,0.3,0.25,0.55,0.23,0.48,36,-1.9000000000000004,0,8
257,28,34,34,3060,34.0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0.0,1,0
258,26,37,34,2838,31.5,1,1,0,3,0,0.7,0.7,1.5,2.2,42,115,58,0.0,0.03,0.03,0.0,0.03,0.02,0.05,0.07,0.02,0.07,37,-0.7,1,0
259,25,33,31,2814,31.3,3,3,0,5,0,2.0,2.0,2.0,4.1,62,103,168,0.0,0.09,0.1,0.0,0.1,0.07,0.07,0.13,0.07,0.13,33,-2.0,1,0
260,24,29,25,2123,23.6,0,2,0,3,0,2.5,2.5,0.3,2.8,7,55,6,0.07,0.0,0.08,0.08,0.08,0.1,0.01,0.12,0.1,0.12,29,-0.5,1,2
261,20,36,23,2199,24.4,2,8,0,3,0,7.3,7.3,4.5,11.8,141,56,290,0.17,0.06,0.33,0.25,0.33,0.3,0.19,0.48,0.3,0.48,36,-1.2999999999999998,2,6
262,21,32,23,2004,22.3,0,4,0,2,0,5.3,5.3,1.8,7.1,28,18,101,0.12,0.0,0.18,0.18,0.18,0.24,0.08,0.32,0.24,0.32,32,-1.2999999999999998,2,4
263,23,29,22,1785,19.8,2,3,0,11,0,1.0,1.0,1.1,2.1,16,61,20,0.03,0.07,0.15,0.05,0.15,0.05,0.06,0.11,0.05,0.11,29,0.0,2,1
264,22,26,20,1901,21.1,6,14,0,5,0,4.7,4.7,4.9,9.6,109,60,200,0.31,0.23,0.66,0.38,0.66,0.22,0.23,0.45,0.22,0.45,26,3.3,2,8
265,26,20,20,1751,19.5,1,3,0,7,0,1.3,1.3,1.1,2.4,23,117,7,0.1,0.05,0.15,0.1,0.15,0.07,0.06,0.13,0.07,0.13,20,0.7,1,2
266,31,27,19,1758,19.5,0,1,0,7,0,1.8,1.8,0.6,2.4,7,51,7,0.04,0.0,0.05,0.05,0.05,0.09,0.03,0.12,0.09,0.12,27,-0.8,0,1
267,19,25,19,1651,18.3,0,0,0,5,0,0.7,0.7,1.6,2.3,22,65,47,0.0,0.0,0.0,0.0,0.0,0.04,0.09,0.12,0.04,0.12,25,-0.7,2,0
268,32,24,18,1494,16.6,0,1,0,5,0,1.9,1.9,2.3,4.2,4,84,28,0.04,0.0,0.06,0.06,0.06,0.11,0.14,0.25,0.11,0.25,24,-0.8999999999999999,0,1
269,18,21,12,1165,12.9,0,0,0,5,0,0.7,0.7,0.1,0.8,19,52,4,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,21,-0.7,2,0
270,32,23,11,1061,11.8,2,3,1,4,0,1.4,0.6,3.2,3.8,13,55,29,0.04,0.09,0.25,0.0,0.17,0.12,0.27,0.39,0.05,0.32,23,-0.3999999999999999,0,1
271,19,12,10,842,9.4,0,0,0,3,1,0.4,0.4,0.7,1.2,41,34,83,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.12,0.05,0.12,12,-0.4,2,0
272,25,17,8,622,6.9,0,1,0,3,0,3.2,3.2,0.6,3.8,15,33,41,0.06,0.0,0.14,0.14,0.14,0.47,0.08,0.55,0.47,0.55,17,-2.2,1,1
273,30,16,6,704,7.8,0,0,0,1,0,0.0,0.0,0.1,0.1,5,26,4,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,16,0.0,0,0
274,26,4,4,360,4.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,1,0
275,29,7,4,349,3.9,0,0,0,1,0,0.0,0.0,0.7,0.7,7,24,7,0.0,0.0,0.0,0.0,0.0,0.01,0.18,0.19,0.01,0.19,7,0.0,0,0
276,17,5,4,346,3.8,0,0,0,0,0,0.1,0.1,0.0,0.1,9,7,23,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,5,-0.1,2,0
277,36,7,3,315,3.5,0,0,0,1,0,0.1,0.1,0.0,0.1,3,10,3,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,7,-0.1,3,0
278,17,4,2,170,1.9,0,0,0,1,0,0.1,0.1,0.0,0.2,1,7,1,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.08,0.07,0.08,4,-0.1,2,0
279,19,2,2,165,1.8,0,0,0,0,0,0.0,0.0,0.0,0.0,2,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,2,0
280,24,3,2,100,1.1,0,0,0,1,0,0.0,0.0,0.0,0.0,3,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,3,0.0,1,0
281,16,7,1,165,1.8,0,0,0,1,0,0.7,0.7,0.0,0.7,2,1,12,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.36,0.36,0.36,7,-0.7,2,0
282,20,6,0,179,2.0,0,0,0,0,0,0.2,0.2,0.3,0.4,0,5,2,0.0,0.0,0.0,0.0,0.0,0.09,0.13,0.22,0.09,0.22,6,-0.2,2,0
283,27,2,0,19,0.2,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,2,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.33,2,-0.1,1,0
284,24,33,28,2610,29.0,6,8,0,5,0,1.6,1.6,5.0,6.6,65,154,109,0.06,0.18,0.28,0.07,0.28,0.06,0.17,0.23,0.06,0.23,33,0.3999999999999999,1,2
285,24,32,27,2389,26.5,4,11,0,3,0,4.2,4.2,6.2,10.4,120,124,210,0.22,0.12,0.41,0.26,0.41,0.16,0.23,0.39,0.16,0.39,32,2.8,1,7
