feature,importance_mean,importance_std
Home_Goals_Scored,0.023859375792474897,0.008452488849724575
Away_Goals_Scored,0.006505351580676106,0.0059615680730414865
Goal_Difference_Gap,0.004866437417942282,0.007643851825178858
Away_Goal_Difference,0.003165775352784833,0.005305003915932496
Form_Gap,0.0023594354754477133,0.005121037168580308
Home_Goal_Difference,0.001599438740631981,0.005494286552181353
Points_Gap,0.0014468271516504094,0.0031475922700484
Away_Win_Streak,0.000892118756161081,0.0018080836346084923
Home_Win_Streak,0.00016347055455011582,0.0013866345756699098
Home_Goals_Conceded,-0.001113853372657847,0.006717978075934622
