goals_+_assists,penalty_attempts,xg,npxg,progressive_receives,non_penalty_goals_per_90,non_penalty_goals_+_assists_per_90,goals
4,0,0.4,0.4,45,0.21,0.42,2
5,0,1.2,1.2,57,0.13,0.66,1
1,0,0.9,0.9,23,0.17,0.17,1
0,0,0.2,0.2,10,0.0,0.0,0
0,0,1.0,1.0,17,0.0,0.0,0
1,0,0.5,0.5,9,0.37,0.37,1
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.1,0.1,2,0.0,0.0,0
0,0,0.0,0.0,1,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,2,0.0,0.0,0
0,0,0.0,0.0,3,0.0,0.0,0
7,0,0.6,0.5,197,0.05,0.19,2
16,0,10.0,10.0,282,0.31,0.45,11
1,0,1.3,1.3,4,0.0,0.03,0
4,0,0.9,0.9,52,0.03,0.12,1
0,0,0.1,0.1,0,0.0,0.0,0
18,6,10.3,5.6,173,0.23,0.46,12
11,1,12.5,11.7,99,0.39,0.43,10
5,0,1.8,1.8,44,0.09,0.21,2
5,0,1.9,1.9,10,0.11,0.19,3
11,0,8.4,8.4,191,0.31,0.49,7
3,0,1.6,1.6,10,0.0,0.14,0
0,0,0.7,0.7,34,0.0,0.0,0
0,0,0.8,0.8,7,0.0,0.0,0
0,0,0.7,0.7,33,0.0,0.0,0
0,0,0.0,0.0,22,0.0,0.0,0
1,0,0.3,0.3,8,0.0,0.2,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.6,0.6,13,0.0,0.0,0
0,0,0.0,0.0,3,0.0,0.0,0
1,0,1.0,1.0,16,0.76,0.76,1
0,0,0.0,0.0,2,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
5,0,2.5,2.5,18,0.05,0.13,2
27,6,12.3,7.5,351,0.4,0.58,20
2,0,0.0,0.0,0,0.0,0.05,0
23,0,18.5,18.5,154,0.59,0.71,19
12,0,2.8,2.8,137,0.06,0.37,2
9,0,4.3,4.3,42,0.16,0.29,5
4,0,0.8,0.8,38,0.04,0.16,1
13,0,8.2,8.2,165,0.43,0.51,11
2,0,1.1,1.1,9,0.09,0.09,2
0,0,1.0,1.0,44,0.0,0.0,0
0,0,0.6,0.6,47,0.0,0.0,0
2,0,0.2,0.2,54,0.0,0.16,0
2,0,0.2,0.2,27,0.0,0.21,0
1,0,0.2,0.2,24,0.0,0.17,0
0,0,0.0,0.0,2,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.1,0.1,4,0.0,0.0,0
0,0,0.0,0.0,5,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,1,0.0,0.0,0
1,0,0.0,0.0,0,0.0,0.03,0
10,0,0.7,0.7,274,0.0,0.28,0
1,0,1.0,1.0,15,0.03,0.03,1
15,3,12.0,9.6,125,0.32,0.43,12
0,0,1.0,1.0,2,0.0,0.0,0
2,0,1.2,1.2,33,0.0,0.08,0
0,0,0.4,0.4,9,0.0,0.0,0
9,0,4.5,4.5,127,0.26,0.4,6
6,1,3.8,3.0,81,0.09,0.27,2
2,0,1.4,1.4,54,0.0,0.1,0
1,0,0.4,0.4,67,0.0,0.05,0
0,0,0.5,0.5,3,0.0,0.0,0
9,0,5.8,5.8,31,0.75,0.84,8
2,0,1.1,1.1,63,0.18,0.37,1
0,0,0.0,0.0,0,0.0,0.0,0
2,0,0.8,0.8,33,0.29,0.29,2
0,0,0.3,0.3,16,0.0,0.0,0
0,0,0.2,0.2,7,0.0,0.0,0
0,0,0.0,0.0,3,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
9,0,4.9,4.9,208,0.11,0.25,4
5,0,1.3,1.3,171,0.0,0.15,0
2,0,3.4,3.4,7,0.03,0.06,1
5,0,2.0,2.0,10,0.09,0.15,3
16,2,13.6,12.0,122,0.41,0.48,14
16,2,10.4,8.9,153,0.24,0.52,8
14,0,10.8,10.8,183,0.27,0.46,8
1,0,1.1,1.1,26,0.0,0.04,0
3,0,1.1,1.1,27,0.0,0.13,0
1,0,1.3,1.3,2,0.05,0.05,1
2,0,0.4,0.4,11,0.0,0.14,0
0,0,1.1,1.1,56,0.0,0.0,0
3,0,1.2,1.2,6,0.25,0.25,3
2,0,0.8,0.8,13,0.18,0.36,1
0,0,0.4,0.4,7,0.0,0.0,0
1,0,0.2,0.2,15,0.35,0.35,1
2,0,0.3,0.3,14,0.65,1.3,1
0,0,0.4,0.4,7,0.0,0.0,0
0,0,0.0,0.0,1,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,1,0.0,0.0,0
0,0,0.2,0.2,9,0.0,0.0,0
1,0,0.3,0.3,4,1.64,1.64,1
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,1,0.0,0.0,0
1,0,1.6,1.6,6,0.0,0.03,0
7,0,1.2,1.2,167,0.06,0.2,2
10,0,6.7,6.7,68,0.32,0.35,9
4,2,5.3,3.7,85,0.08,0.08,4
3,0,2.0,2.0,83,0.09,0.13,2
0,0,0.0,0.0,0,0.0,0.0,0
0,0,1.5,1.5,2,0.0,0.0,0
0,0,0.4,0.4,5,0.0,0.0,0
1,0,0.4,0.4,18,0.0,0.05,0
1,0,0.2,0.2,7,0.0,0.08,0
2,0,1.8,1.8,37,0.06,0.13,1
0,0,0.0,0.0,0,0.0,0.0,0
2,0,1.6,1.6,9,0.09,0.17,1
0,0,0.3,0.3,33,0.0,0.0,0
2,0,2.2,2.2,59,0.11,0.22,1
0,0,0.2,0.2,4,0.0,0.0,0
5,0,2.2,2.2,31,0.34,0.57,3
0,0,0.1,0.1,4,0.0,0.0,0
0,0,0.6,0.6,7,0.0,0.0,0
0,0,0.4,0.4,16,0.0,0.0,0
0,0,0.0,0.0,1,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
18,3,9.9,7.6,129,0.15,0.45,8
0,0,0.0,0.0,0,0.0,0.0,0
1,0,0.7,0.7,58,0.0,0.03,0
3,0,2.0,2.0,168,0.0,0.1,0
2,0,2.5,2.5,6,0.08,0.08,2
8,0,7.3,7.3,290,0.25,0.33,6
4,0,5.3,5.3,101,0.18,0.18,4
3,0,1.0,1.0,20,0.05,0.15,1
14,0,4.7,4.7,200,0.38,0.66,8
3,0,1.3,1.3,7,0.1,0.15,2
1,0,1.8,1.8,7,0.05,0.05,1
0,0,0.7,0.7,47,0.0,0.0,0
1,0,1.9,1.9,28,0.06,0.06,1
0,0,0.7,0.7,4,0.0,0.0,0
3,1,1.4,0.6,29,0.0,0.17,1
0,0,0.4,0.4,83,0.0,0.0,0
1,0,3.2,3.2,41,0.14,0.14,1
0,0,0.0,0.0,4,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,7,0.0,0.0,0
0,0,0.1,0.1,23,0.0,0.0,0
0,0,0.1,0.1,3,0.0,0.0,0
0,0,0.1,0.1,1,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,6,0.0,0.0,0
0,0,0.7,0.7,12,0.0,0.0,0
0,0,0.2,0.2,2,0.0,0.0,0
0,0,0.1,0.1,2,0.0,0.0,0
8,0,1.6,1.6,109,0.07,0.28,2
11,0,4.2,4.2,210,0.26,0.41,7
12,1,10.9,10.1,88,0.33,0.45,9
14,0,10.4,10.4,197,0.45,0.58,11
0,0,0.0,0.0,0,0.0,0.0,0
16,2,7.2,5.6,265,0.26,0.64,7
1,0,0.3,0.3,94,0.0,0.05,0
5,0,3.7,3.7,53,0.14,0.24,3
16,0,5.8,5.8,95,0.45,0.8,9
2,0,1.3,1.3,34,0.11,0.11,2
3,0,0.6,0.6,70,0.05,0.15,1
1,0,1.6,1.6,3,0.06,0.06,1
2,0,0.6,0.6,3,0.13,0.13,2
0,0,0.3,0.3,6,0.0,0.0,0
0,0,0.1,0.1,2,0.0,0.0,0
1,0,0.7,0.7,31,0.0,0.07,0
3,1,3.0,2.2,72,0.1,0.2,2
0,0,0.4,0.4,1,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
5,0,3.7,3.7,22,0.71,0.89,4
1,0,0.2,0.2,40,0.0,0.25,0
0,0,0.1,0.1,12,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
