goals_+_assists,penalty_attempts,xg,npxg,progressive_receives,non_penalty_goals_per_90,non_penalty_goals_+_assists_per_90,goals
0,0,0.4,0.4,32,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,35,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
2,0,0.8,0.8,14,0.58,0.58,2
0,0,0.3,0.3,12,0.0,0.0,0
0,0,0.0,0.0,8,0.0,0.0,0
0,0,0.1,0.1,4,0.0,0.0,0
0,0,0.0,0.0,2,0.0,0.0,0
1,0,0.4,0.4,6,0.03,0.03,1
13,0,6.6,6.6,219,0.26,0.43,8
0,0,0.0,0.0,0,0.0,0.0,0
2,0,1.9,1.9,1,0.06,0.06,2
8,2,3.3,1.7,228,0.1,0.19,5
6,0,2.2,2.2,84,0.1,0.21,3
3,0,1.3,1.3,16,0.04,0.12,1
1,0,0.4,0.4,66,0.0,0.04,0
13,1,9.4,8.6,88,0.42,0.5,11
1,0,1.0,1.0,156,0.0,0.05,0
0,0,0.1,0.1,48,0.0,0.0,0
0,0,1.1,1.1,0,0.0,0.0,0
5,0,3.4,3.4,49,0.55,0.55,5
0,0,0.3,0.3,48,0.0,0.0,0
2,0,1.5,1.5,2,0.28,0.28,2
2,0,2.7,2.7,24,0.34,0.34,2
0,0,0.1,0.1,5,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
1,0,0.5,0.5,47,0.0,0.24,0
0,0,0.6,0.6,14,0.0,0.0,0
0,0,0.1,0.1,10,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.1,0.1,3,0.0,0.0,0
0,0,0.1,0.1,6,0.0,0.0,0
0,0,0.0,0.0,1,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,2,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
1,0,1.7,1.7,7,0.03,0.03,1
1,0,1.6,1.6,67,0.0,0.03,0
5,1,1.8,1.0,30,0.0,0.13,1
3,0,0.4,0.4,84,0.0,0.1,0
10,3,8.2,5.8,55,0.24,0.24,10
1,0,0.2,0.2,3,0.05,0.05,1
3,0,2.4,2.4,77,0.19,0.19,3
5,0,2.2,2.2,37,0.3,0.37,4
1,0,2.5,2.5,48,0.08,0.08,1
1,0,1.0,1.0,61,0.0,0.09,0
2,0,1.1,1.1,83,0.09,0.18,1
0,0,0.4,0.4,1,0.0,0.0,0
1,0,0.1,0.1,36,0.0,0.13,0
6,1,3.4,2.6,43,0.32,0.4,5
2,0,1.2,1.2,50,0.21,0.21,2
0,0,0.9,0.9,10,0.0,0.0,0
0,0,0.0,0.0,4,0.0,0.0,0
0,0,0.0,0.0,2,0.0,0.0,0
0,0,1.3,1.3,33,0.0,0.0,0
0,0,0.0,0.0,1,0.0,0.0,0
0,0,0.2,0.2,6,0.0,0.0,0
0,0,0.1,0.1,6,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.1,0.1,0,0.0,0.0,0
2,0,0.0,0.0,61,0.0,0.06,0
3,0,1.8,1.8,3,0.09,0.09,3
6,0,1.1,1.1,6,0.13,0.19,4
1,0,1.5,1.5,79,0.0,0.03,0
3,0,2.0,2.0,113,0.07,0.11,2
1,0,0.2,0.2,12,0.0,0.05,0
6,0,2.5,2.5,156,0.12,0.25,3
6,0,3.6,3.6,50,0.36,0.36,6
2,0,0.5,0.5,8,0.0,0.13,0
5,0,0.6,0.6,72,0.07,0.36,1
2,0,1.0,1.0,41,0.0,0.17,0
1,0,0.4,0.4,57,0.0,0.09,0
1,0,2.3,2.3,27,0.08,0.08,1
0,0,0.0,0.0,3,0.0,0.0,0
0,0,0.3,0.3,1,0.0,0.0,0
2,0,1.0,1.0,34,0.14,0.28,1
1,0,0.6,0.6,4,0.0,0.2,0
0,0,0.0,0.0,7,0.0,0.0,0
0,0,0.1,0.1,3,0.0,0.0,0
3,0,1.5,1.5,27,0.59,0.59,3
0,0,0.0,0.0,4,0.0,0.0,0
0,0,0.0,0.0,2,0.0,0.0,0
3,0,2.2,2.2,98,0.06,0.09,2
0,0,0.0,0.0,0,0.0,0.0,0
1,0,0.8,0.8,19,0.0,0.03,0
1,0,1.7,1.7,97,0.03,0.03,1
13,3,9.6,7.2,158,0.35,0.35,13
1,0,0.9,0.9,4,0.0,0.04,0
4,1,4.2,3.4,90,0.09,0.13,3
1,0,0.9,0.9,19,0.0,0.05,0
0,0,0.0,0.0,31,0.0,0.0,0
1,0,0.9,0.9,1,0.0,0.05,0
7,4,4.8,1.6,35,0.13,0.25,5
2,0,0.7,0.7,43,0.0,0.17,0
4,0,3.6,3.6,57,0.36,0.36,4
0,0,0.1,0.1,3,0.0,0.0,0
0,0,0.0,0.0,1,0.0,0.0,0
1,0,1.1,1.1,41,0.0,0.13,0
2,0,0.3,0.3,5,0.18,0.37,1
0,0,0.3,0.3,0,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
2,1,1.6,0.8,18,0.0,0.27,1
0,0,0.0,0.0,15,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,3,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
2,0,0.5,0.5,61,0.0,0.06,0
2,0,1.7,1.7,6,0.07,0.07,2
2,0,0.9,0.9,7,0.04,0.07,1
7,0,3.6,3.6,99,0.16,0.28,4
2,0,1.8,1.8,76,0.04,0.09,1
0,0,0.1,0.1,8,0.0,0.0,0
4,2,4.6,3.0,71,0.2,0.2,4
0,0,0.2,0.2,21,0.0,0.0,0
3,0,2.7,2.7,33,0.21,0.31,2
0,0,0.2,0.2,17,0.0,0.0,0
0,0,0.1,0.1,0,0.0,0.0,0
13,3,8.1,5.8,36,0.67,0.83,11
1,0,0.7,0.7,15,0.17,0.17,1
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,3,0.0,0.0,0
0,0,0.0,0.0,2,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,2,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
13,1,10.1,9.3,247,0.29,0.35,11
0,0,0.5,0.5,57,0.0,0.0,0
2,0,0.6,0.6,6,0.03,0.07,1
0,0,0.0,0.0,0,0.0,0.0,0
2,1,1.6,0.8,5,0.0,0.04,1
2,0,0.9,0.9,96,0.04,0.08,1
6,1,6.8,6.0,95,0.17,0.25,4
5,0,1.9,1.9,18,0.12,0.2,3
4,0,0.9,0.9,23,0.04,0.17,1
3,0,2.4,2.4,50,0.09,0.13,2
8,0,2.1,2.1,83,0.21,0.42,4
7,0,2.8,2.8,39,0.06,0.41,1
2,0,0.9,0.9,20,0.0,0.12,0
2,0,2.5,2.5,44,0.08,0.16,1
3,0,1.1,1.1,101,0.19,0.28,2
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,1,0.0,0.0,0
0,0,0.2,0.2,0,0.0,0.0,0
0,0,1.5,1.5,17,0.0,0.0,0
1,0,1.1,1.1,27,0.22,0.22,1
1,0,0.3,0.3,2,0.34,0.34,1
1,0,0.2,0.2,20,0.0,0.51,0
1,0,0.1,0.1,5,0.64,0.64,1
0,0,0.4,0.4,5,0.0,0.0,0
0,0,0.1,0.1,1,0.0,0.0,0
0,0,0.1,0.1,3,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
2,0,1.5,1.5,2,0.06,0.06,2
0,0,0.0,0.0,0,0.0,0.0,0
4,0,3.0,3.0,42,0.11,0.15,3
3,0,0.9,0.9,89,0.03,0.1,1
1,0,0.6,0.6,20,0.04,0.04,1
3,0,0.8,0.8,90,0.08,0.11,2
2,0,0.6,0.6,30,0.04,0.08,1
1,0,0.1,0.1,0,0.04,0.04,1
1,0,1.3,1.3,2,0.05,0.05,1
4,2,4.9,3.3,90,0.0,0.16,1
3,0,1.8,1.8,53,0.06,0.17,1
3,0,3.8,3.8,49,0.23,0.23,3
5,0,2.1,2.1,66,0.07,0.34,1
3,0,1.4,1.4,64,0.33,0.5,2
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.4,0.4,14,0.0,0.0,0
1,0,0.5,0.5,11,0.0,0.23,0
1,0,0.5,0.5,7,0.0,0.3,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,21,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.5,0.5,3,0.0,0.0,0
4,0,1.3,1.3,91,0.03,0.14,1
0,0,1.1,1.1,3,0.0,0.0,0
1,0,0.4,0.4,62,0.0,0.04,0
0,0,0.0,0.0,0,0.0,0.0,0
1,0,0.7,0.7,8,0.05,0.05,1
2,0,0.1,0.1,65,0.0,0.09,0
13,3,8.8,6.4,119,0.39,0.53,10
3,0,1.6,1.6,39,0.0,0.15,0
9,0,4.8,4.8,75,0.15,0.44,3
3,0,0.9,0.9,53,0.19,0.19,3
0,0,0.9,0.9,1,0.0,0.0,0
3,0,0.1,0.1,15,0.0,0.23,0
1,0,0.3,0.3,9,0.09,0.09,1
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.3,0.3,3,0.0,0.0,0
3,0,0.8,0.8,58,0.3,0.45,2
0,0,0.0,0.0,5,0.0,0.0,0
0,0,0.0,0.0,2,0.0,0.0,0
0,0,0.0,0.0,7,0.0,0.0,0
0,0,0.1,0.1,0,0.0,0.0,0
0,0,0.0,0.0,5,0.0,0.0,0
0,0,0.0,0.0,2,0.0,0.0,0
0,0,0.0,0.0,2,0.0,0.0,0
0,0,0.0,0.0,1,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.2,0.2,117,0.0,0.0,0
9,0,4.1,4.1,190,0.15,0.35,4
2,0,0.5,0.5,4,0.09,0.09,2
1,0,0.9,0.9,74,0.0,0.05,0
2,0,1.7,1.7,68,0.1,0.1,2
1,0,1.8,1.8,22,0.0,0.05,0
0,0,0.8,0.8,8,0.0,0.0,0
4,1,3.5,2.7,27,0.13,0.2,3
0,0,0.3,0.3,3,0.0,0.0,0
3,0,4.2,4.2,40,0.19,0.19,3
2,0,2.1,2.1,28,0.15,0.15,2
3,0,2.7,2.7,39,0.08,0.23,1
0,0,0.0,0.0,29,0.0,0.0,0
3,0,0.7,0.7,93,0.13,0.19,2
0,0,0.3,0.3,26,0.0,0.0,0
0,0,0.3,0.3,1,0.0,0.0,0
0,0,0.1,0.1,7,0.0,0.0,0
2,0,2.2,2.2,27,0.25,0.25,2
0,0,0.1,0.1,0,0.0,0.0,0
1,0,0.9,0.9,43,0.0,0.14,0
0,0,0.1,0.1,7,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,4,0.0,0.0,0
0,0,0.1,0.1,0,0.0,0.0,0
0,0,0.7,0.7,22,0.0,0.0,0
0,0,0.0,0.0,1,0.0,0.0,0
0,0,0.0,0.0,2,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,1,0.0,0.0,0
0,0,0.0,0.0,5,0.0,0.0,0
3,0,1.1,1.1,9,0.09,0.09,3
9,0,0.9,0.9,72,0.06,0.28,2
9,0,2.5,2.5,252,0.07,0.31,2
0,0,0.0,0.0,0,0.0,0.0,0
0,0,1.1,1.1,17,0.0,0.0,0
4,0,2.9,2.9,72,0.07,0.13,2
22,4,9.4,6.1,309,0.31,0.77,10
21,1,12.7,11.9,107,1.07,1.07,21
4,0,1.3,1.3,17,0.11,0.23,2
7,0,1.0,1.0,47,0.19,0.43,3
6,0,3.1,3.1,130,0.13,0.4,2
9,1,7.8,7.1,61,0.71,0.8,8
7,0,1.5,1.5,40,0.08,0.55,1
1,0,1.4,1.4,28,0.1,0.1,1
1,0,0.1,0.1,53,0.0,0.12,0
3,0,2.4,2.4,35,0.31,0.46,2
2,0,2.7,2.7,100,0.23,0.23,2
0,0,0.0,0.0,0,0.0,0.0,0
3,0,1.0,1.0,29,0.51,0.76,2
0,0,0.4,0.4,3,0.0,0.0,0
2,0,0.9,0.9,24,0.7,0.7,2
0,0,2.4,2.4,24,0.0,0.0,0
23,3,21.6,19.3,215,0.49,0.77,15
3,0,1.7,1.7,4,0.1,0.1,3
8,0,2.5,2.5,162,0.18,0.29,5
4,0,3.1,3.1,33,0.11,0.15,3
0,0,0.0,0.0,0,0.0,0.0,0
3,0,1.4,1.4,27,0.04,0.12,1
9,0,4.9,4.9,146,0.23,0.51,4
5,0,2.9,2.9,96,0.18,0.29,3
24,2,8.8,7.3,125,0.81,1.37,15
2,0,0.8,0.8,42,0.06,0.12,1
4,0,2.6,2.6,73,0.09,0.36,1
5,0,1.9,1.9,93,0.2,0.49,2
0,0,0.0,0.0,0,0.0,0.0,0
1,0,1.0,1.0,9,0.12,0.12,1
5,0,3.0,3.0,45,0.53,0.67,4
2,0,0.5,0.5,6,0.25,0.49,1
3,0,1.2,1.2,15,0.9,0.9,3
1,0,0.9,0.9,27,0.0,0.31,0
1,0,1.1,1.1,19,0.29,0.29,1
0,0,0.0,0.0,1,0.0,0.0,0
0,0,0.0,0.0,4,0.0,0.0,0
2,0,2.0,2.0,41,0.06,0.06,2
1,0,0.5,0.5,9,0.03,0.03,1
3,0,2.8,2.8,16,0.07,0.11,2
4,0,0.8,0.6,109,0.08,0.16,2
1,0,1.7,1.7,50,0.04,0.04,1
0,0,0.0,0.0,0,0.0,0.0,0
6,0,2.7,2.7,49,0.24,0.29,5
4,0,5.5,5.5,84,0.12,0.23,2
1,0,0.4,0.4,18,0.07,0.07,1
3,0,1.1,1.1,71,0.0,0.23,0
1,0,0.8,0.8,60,0.0,0.09,0
2,0,0.5,0.5,34,0.22,0.22,2
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.2,0.2,3,0.0,0.0,0
0,0,0.0,0.0,35,0.0,0.0,0
3,0,1.8,1.8,36,0.28,0.42,2
0,0,0.0,0.0,10,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.9,0.9,46,0.0,0.0,0
8,0,3.1,3.1,152,0.03,0.27,1
0,0,0.0,0.0,0,0.0,0.0,0
5,0,1.5,1.5,144,0.03,0.17,1
13,0,5.3,5.3,165,0.24,0.44,7
12,2,5.5,3.9,64,0.18,0.36,7
20,2,14.8,13.2,157,0.68,0.77,18
14,0,5.8,5.8,219,0.38,0.54,10
1,0,0.1,0.1,22,0.0,0.04,0
0,0,1.6,1.6,3,0.0,0.0,0
1,0,0.8,0.8,5,0.0,0.06,0
2,0,0.8,0.8,5,0.07,0.14,1
1,0,1.2,1.2,5,0.13,0.13,1
1,0,0.5,0.5,31,0.0,0.17,0
1,0,0.3,0.3,36,0.0,0.18,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.1,0.1,8,0.0,0.0,0
0,0,0.0,0.0,6,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.1,0.1,2,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
5,0,4.0,4.0,8,0.2,0.2,5
16,0,5.1,5.1,185,0.42,0.67,10
6,0,0.5,0.5,127,0.05,0.3,1
0,0,0.2,0.2,30,0.0,0.0,0
1,0,0.3,0.3,26,0.05,0.05,1
3,0,4.5,4.5,95,0.11,0.17,2
1,0,0.8,0.8,32,0.06,0.06,1
0,0,0.4,0.4,23,0.0,0.0,0
2,0,0.4,0.4,20,0.0,0.11,0
1,0,1.1,1.1,34,0.06,0.06,1
6,0,1.6,1.6,123,0.17,0.35,3
1,0,1.4,1.4,24,0.0,0.07,0
0,0,0.3,0.3,2,0.0,0.0,0
2,0,0.5,0.4,55,0.0,0.19,0
0,0,0.5,0.5,27,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.1,0.1,2,0.0,0.0,0
1,0,0.3,0.3,14,0.0,0.59,0
0,0,0.0,0.0,4,0.0,0.0,0
0,0,0.1,0.1,2,0.0,0.0,0
0,0,0.3,0.3,2,0.0,0.0,0
0,0,0.0,0.0,3,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
9,1,4.3,3.5,201,0.13,0.25,5
1,0,1.1,1.1,28,0.0,0.03,0
16,2,10.1,8.5,166,0.26,0.56,8
15,0,7.2,7.2,89,0.41,0.61,10
0,0,0.5,0.5,1,0.0,0.0,0
1,0,1.1,1.1,3,0.0,0.04,0
3,0,1.4,1.4,105,0.15,0.15,3
0,0,0.0,0.0,6,0.0,0.0,0
0,0,0.4,0.4,3,0.0,0.0,0
1,0,0.6,0.6,2,0.0,0.09,0
3,0,1.6,1.6,38,0.18,0.27,2
5,0,4.1,4.1,88,0.5,0.5,5
2,0,0.2,0.2,4,0.2,0.4,1
1,2,2.6,1.0,28,0.0,0.0,1
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,1,0.0,0.0,0
1,0,0.0,0.0,0,0.0,0.03,0
9,0,1.8,1.8,69,0.03,0.3,1
8,0,0.9,0.9,155,0.04,0.29,1
4,0,2.0,1.8,5,0.12,0.16,3
5,0,2.9,2.9,202,0.09,0.23,2
11,1,7.6,6.7,123,0.29,0.54,6
4,0,1.6,1.6,164,0.11,0.22,2
16,2,14.1,12.4,115,0.73,0.78,15
1,0,0.5,0.5,4,0.07,0.07,1
3,0,1.1,1.1,32,0.11,0.32,1
1,0,0.6,0.6,22,0.0,0.08,0
0,0,0.1,0.1,5,0.0,0.0,0
4,0,1.4,1.4,61,0.1,0.42,1
0,0,0.1,0.1,2,0.0,0.0,0
0,0,0.1,0.1,0,0.0,0.0,0
0,0,0.3,0.3,16,0.0,0.0,0
1,0,0.6,0.6,40,0.22,0.22,1
0,0,0.5,0.5,3,0.0,0.0,0
0,0,0.2,0.2,0,0.0,0.0,0
0,0,0.0,0.0,2,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,2,0.0,0.0,0
2,0,0.7,0.7,9,0.0,0.06,0
3,0,1.6,1.6,5,0.1,0.1,3
23,2,13.6,11.9,145,0.49,0.72,16
0,0,0.4,0.4,69,0.0,0.0,0
2,0,2.0,2.0,5,0.04,0.08,1
3,0,0.9,0.9,71,0.05,0.14,1
15,1,7.4,6.6,141,0.47,0.66,11
3,0,1.7,1.7,30,0.1,0.15,2
0,0,0.0,0.0,0,0.0,0.0,0
11,0,4.5,4.5,124,0.25,0.69,4
6,2,3.9,2.3,95,0.06,0.23,3
1,0,1.2,1.2,29,0.06,0.06,1
0,0,0.0,0.0,0,0.0,0.0,0
1,0,0.4,0.4,3,0.0,0.09,0
3,0,1.9,1.9,85,0.22,0.33,2
2,0,0.2,0.2,55,0.0,0.19,0
2,0,3.8,3.8,50,0.22,0.22,2
1,0,0.3,0.3,32,0.12,0.12,1
0,0,0.0,0.0,0,0.0,0.0,0
1,0,0.3,0.3,1,0.24,0.24,1
1,0,0.6,0.6,8,0.0,0.24,0
1,0,0.4,0.4,3,1.5,1.5,1
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,2,0.0,0.0,0
0,0,0.0,0.0,1,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
19,2,8.7,7.2,244,0.29,0.62,10
1,0,0.3,0.3,89,0.04,0.04,1
2,0,1.0,1.0,8,0.0,0.07,0
2,0,1.4,1.4,3,0.07,0.07,2
8,0,0.9,0.9,16,0.11,0.31,3
7,0,2.0,2.0,117,0.12,0.29,3
7,0,3.7,3.7,75,0.15,0.36,3
2,0,1.0,1.0,24,0.07,0.14,1
2,0,1.2,1.2,63,0.06,0.12,1
4,0,3.6,3.6,39,0.22,0.3,3
3,0,1.2,1.2,1,0.23,0.34,2
0,0,0.0,0.0,6,0.0,0.0,0
0,0,0.1,0.1,2,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.1,0.1,5,0.0,0.0,0
3,1,1.4,0.6,10,0.3,0.59,2
0,0,0.0,0.0,18,0.0,0.0,0
0,0,0.2,0.2,0,0.0,0.0,0
1,0,0.4,0.4,12,0.0,0.73,0
1,0,2.3,2.3,18,0.53,0.53,1
5,1,1.7,0.9,19,0.03,0.15,1
5,0,1.1,1.1,164,0.03,0.17,1
1,0,1.4,1.4,71,0.0,0.03,0
2,0,1.8,1.8,13,0.04,0.07,1
4,0,0.7,0.7,95,0.04,0.17,1
1,0,0.8,0.8,49,0.0,0.04,0
11,0,4.7,4.7,102,0.38,0.47,9
2,0,1.4,1.4,82,0.05,0.1,1
9,0,4.2,4.2,118,0.39,0.5,7
0,0,0.0,0.0,0,0.0,0.0,0
9,1,6.1,5.3,113,0.32,0.43,7
0,0,0.0,0.0,0,0.0,0.0,0
4,0,0.8,0.8,2,0.21,0.28,3
2,0,1.2,1.2,7,0.0,0.15,0
0,0,0.7,0.7,58,0.0,0.0,0
0,0,0.2,0.2,7,0.0,0.0,0
0,0,1.5,1.5,56,0.0,0.0,0
3,0,1.1,1.1,46,0.28,0.41,2
0,0,0.1,0.1,48,0.0,0.0,0
0,0,0.7,0.7,24,0.0,0.0,0
0,0,0.1,0.1,3,0.0,0.0,0
0,0,0.3,0.3,13,0.0,0.0,0
0,0,0.1,0.1,10,0.0,0.0,0
1,0,0.1,0.1,1,0.0,0.75,0
0,0,0.4,0.4,5,0.0,0.0,0
0,0,0.2,0.2,8,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
2,0,2.6,2.6,14,0.03,0.06,1
2,0,1.4,1.4,34,0.03,0.07,1
3,0,1.4,1.4,16,0.04,0.11,1
0,0,0.1,0.1,0,0.0,0.0,0
0,0,0.7,0.7,22,0.0,0.0,0
4,0,1.1,1.1,5,0.1,0.21,2
2,0,0.6,0.6,42,0.06,0.12,1
5,0,2.8,2.8,93,0.21,0.36,3
1,1,0.8,0.0,2,0.0,0.0,1
7,1,4.9,4.1,59,0.58,0.58,7
1,0,0.9,0.9,19,0.1,0.1,1
1,0,3.2,3.2,40,0.0,0.1,0
1,0,1.3,1.3,42,0.13,0.13,1
1,0,0.4,0.4,13,0.0,0.16,0
0,0,0.0,0.0,0,0.0,0.0,0
3,0,0.9,0.9,34,0.31,0.46,2
0,0,0.5,0.5,17,0.0,0.0,0
0,0,0.1,0.1,9,0.0,0.0,0
0,0,0.0,0.0,5,0.0,0.0,0
19,3,11.8,9.5,202,0.26,0.52,11
7,0,2.2,2.2,102,0.18,0.25,5
3,0,2.0,2.0,36,0.03,0.1,1
0,0,0.0,0.0,0,0.0,0.0,0
1,0,0.8,0.8,13,0.04,0.04,1
0,0,0.1,0.1,16,0.0,0.0,0
1,0,0.9,0.9,66,0.0,0.06,0
2,0,0.8,0.8,86,0.11,0.11,2
0,0,0.1,0.1,6,0.0,0.0,0
2,0,1.1,1.1,86,0.06,0.13,1
0,0,0.3,0.3,1,0.0,0.0,0
0,0,0.2,0.2,4,0.0,0.0,0
0,0,0.2,0.2,21,0.0,0.0,0
4,0,3.4,3.4,35,0.52,0.52,4
1,0,0.1,0.1,7,0.0,0.13,0
4,0,3.3,3.3,45,0.33,0.44,3
1,0,0.1,0.1,42,0.0,0.15,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.1,0.1,2,0.0,0.0,0
2,0,1.9,1.9,12,0.03,0.06,1
0,0,0.0,0.0,0,0.0,0.0,0
7,0,3.9,3.9,48,0.13,0.23,4
0,0,0.7,0.7,8,0.0,0.0,0
1,0,0.5,0.5,115,0.0,0.03,0
1,0,0.3,0.3,50,0.0,0.05,0
5,1,3.7,2.9,65,0.1,0.2,3
4,0,1.0,1.0,21,0.13,0.27,2
5,0,3.3,3.3,83,0.23,0.28,4
0,0,0.6,0.6,12,0.0,0.0,0
5,0,1.7,1.7,43,0.19,0.47,2
0,0,0.3,0.3,0,0.0,0.0,0
2,0,0.6,0.6,12,0.23,0.23,2
0,0,0.5,0.5,21,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.2,0.2,3,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
2,0,1.4,1.4,38,0.0,0.07,0
1,0,1.5,1.5,31,0.0,0.04,0
0,0,0.0,0.0,0,0.0,0.0,0
6,0,1.9,1.9,45,0.24,0.28,5
1,0,0.7,0.7,25,0.0,0.05,0
4,0,1.9,1.9,50,0.1,0.21,2
0,0,0.6,0.6,9,0.0,0.0,0
2,0,1.2,1.2,2,0.12,0.12,2
9,0,5.9,5.9,71,0.47,0.52,8
0,0,0.1,0.1,16,0.0,0.0,0
9,1,3.5,2.7,71,0.34,0.54,6
3,0,0.9,0.9,16,0.07,0.21,1
1,0,0.5,0.5,34,0.0,0.07,0
1,0,0.9,0.9,1,0.11,0.11,1
0,0,0.0,0.0,0,0.0,0.0,0
3,0,2.3,2.3,58,0.11,0.34,1
0,0,0.0,0.0,0,0.0,0.0,0
1,0,0.1,0.1,30,0.0,0.23,0
0,0,0.0,0.0,2,0.0,0.0,0
2,0,0.9,0.9,11,0.31,0.62,1
0,0,0.0,0.0,0,0.0,0.0,0
0,0,1.4,1.4,83,0.0,0.0,0
3,0,1.7,1.7,69,0.07,0.1,2
7,1,4.0,3.0,111,0.18,0.25,5
6,0,5.5,5.5,112,0.12,0.24,3
2,0,0.2,0.2,16,0.0,0.08,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.7,0.7,4,0.0,0.0,0
0,0,0.7,0.7,14,0.0,0.0,0
1,0,0.9,0.9,3,0.06,0.06,1
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.1,0.1,11,0.0,0.0,0
0,0,0.4,0.4,20,0.0,0.0,0
3,0,2.1,2.1,37,0.16,0.23,2
10,1,7.7,6.9,70,0.69,0.78,9
2,0,0.6,0.6,4,0.1,0.2,1
2,1,2.7,1.9,19,0.22,0.44,1
0,0,0.8,0.8,16,0.0,0.0,0
1,0,0.2,0.2,9,0.4,0.4,1
0,0,0.2,0.2,16,0.0,0.0,0
0,0,0.2,0.2,5,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
4,0,2.9,2.9,2,0.03,0.11,1
5,0,2.8,2.8,163,0.08,0.14,3
24,4,13.0,9.8,219,0.35,0.66,14
0,0,0.0,0.0,0,0.0,0.0,0
16,0,7.4,7.4,131,0.37,0.49,12
10,0,4.4,4.4,119,0.19,0.32,6
1,0,0.3,0.3,32,0.0,0.03,0
2,0,1.1,1.1,62,0.0,0.08,0
1,0,0.8,0.8,8,0.05,0.05,1
6,0,2.7,2.7,143,0.14,0.42,2
1,0,0.5,0.5,18,0.0,0.08,0
1,0,0.3,0.3,2,0.0,0.08,0
0,0,0.0,0.0,0,0.0,0.0,0
2,0,2.6,2.6,30,0.21,0.43,1
0,0,0.7,0.7,36,0.0,0.0,0
1,0,1.5,1.5,8,0.46,0.46,1
0,0,0.2,0.2,0,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,1,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
8,0,0.9,0.9,32,0.12,0.24,4
5,0,4.1,4.1,79,0.12,0.16,4
3,0,2.7,2.7,42,0.03,0.1,1
33,5,18.9,14.9,199,0.79,1.1,25
20,1,10.3,9.5,316,0.56,0.76,15
9,0,1.1,1.1,191,0.0,0.34,0
0,0,1.0,1.0,3,0.0,0.0,0
6,0,2.2,2.2,139,0.17,0.26,4
14,0,7.3,7.3,211,0.3,0.61,7
