HomeTeam,AwayTeam,FTR,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HTFormPts,ATFormPts,HTGD,ATGD
Aston Villa,Middlesbrough,NH,L,D,L,W,D,L,D,W,L,W,5,7,-0.625,-0.375
Liverpool,Chelsea,NH,W,L,D,D,D,W,W,W,W,W,6,15,-0.125,1.625
Man City,Everton,H,L,L,D,W,W,L,L,L,L,L,7,0,0.125,-1
Wigan,Bolton,H,W,W,D,W,W,W,W,D,W,W,13,13,0.25,0.5
Chelsea,Bolton,H,W,W,W,W,W,W,W,D,W,W,15,13,1.625,0.5
Liverpool,Blackburn,H,W,L,D,D,D,W,L,D,L,D,6,5,-0.125,-0.5
Middlesbrough,Portsmouth,NH,L,D,W,L,W,L,D,W,L,D,7,5,-0.375,-0.5
Sunderland,Man United,NH,W,D,L,L,L,W,L,D,D,W,4,8,-0.625,0.625
Tottenham,Everton,H,W,W,D,D,L,L,L,L,L,L,8,0,0.444444444,-1.111111111
West Brom,Arsenal,H,L,L,D,L,L,L,W,D,W,L,1,7,-0.888888889,0.555555556
Wigan,Newcastle,H,W,W,W,D,W,D,W,W,D,L,13,8,0.333333333,-0.222222222
Birmingham,Aston Villa,NH,L,D,D,L,W,L,L,D,L,W,5,4,-0.555555556,-0.666666667
Man City,West Ham,H,W,L,L,D,W,L,D,D,W,W,7,8,0.333333333,0.555555556
Charlton,Fulham,NH,D,L,W,L,W,L,L,L,D,W,7,4,0.555555556,-0.666666667
Arsenal,Man City,H,L,W,D,W,L,W,L,L,D,W,7,7,0.555555556,0.333333333
Aston Villa,Wigan,NH,L,L,D,L,W,W,W,W,D,W,4,13,-0.666666667,0.333333333
Blackburn,Birmingham,H,W,W,L,D,L,L,D,D,L,W,7,5,-0.222222222,-0.555555556
Fulham,Liverpool,H,L,L,L,D,W,L,W,L,D,D,4,5,-0.666666667,-0.333333333
Man United,Tottenham,NH,D,W,W,L,D,W,W,W,D,D,8,11,0.7,0.6
Portsmouth,Charlton,NH,D,D,L,D,W,W,D,L,W,L,6,7,-0.4,0.6
Bolton,West Brom,H,L,L,W,W,D,W,L,L,D,L,7,4,-0.1,-0.7
Everton,Chelsea,NH,D,L,L,L,L,W,W,W,W,W,1,15,-1,2
Newcastle,Sunderland,H,L,D,W,W,D,L,D,W,D,L,8,5,-0.3,-0.7
West Ham,Middlesbrough,H,W,L,D,D,W,D,W,L,D,W,8,8,0.6,-0.2
Birmingham,Everton,NH,L,L,D,D,L,D,L,L,L,L,2,1,-0.6,-1
Charlton,Bolton,NH,W,D,L,W,L,L,L,W,W,D,7,7,0.6,-0.1
Chelsea,Blackburn,H,W,W,W,W,W,L,W,W,L,D,15,7,2,-0.3
Liverpool,West Ham,H,W,L,W,L,D,W,L,D,D,W,7,8,-0.1,0.6
Middlesbrough,Man United,H,L,D,W,L,D,L,D,W,W,L,5,7,-0.272727273,0.363636364
Sunderland,Portsmouth,NH,L,L,D,W,D,L,D,D,L,D,5,3,-0.727272727,-0.454545455
Tottenham,Arsenal,NH,D,W,W,W,D,D,W,L,W,D,11,8,0.545454545,0.545454545
Wigan,Fulham,H,W,W,W,W,W,W,D,L,L,L,15,4,0.545454545,-0.363636364
West Brom,Newcastle,NH,L,W,L,L,D,W,L,D,W,W,4,10,-0.818181818,-0.181818182
Man City,Aston Villa,H,L,W,W,L,L,L,W,L,L,D,6,4,0.272727273,-0.636363636
Arsenal,Sunderland,H,D,W,L,W,D,L,L,D,W,D,8,5,0.545454545,-0.727272727
Aston Villa,Liverpool,NH,L,W,L,L,D,W,W,L,W,L,4,9,-0.636363636,0.090909091
Blackburn,Charlton,H,W,L,W,W,L,L,W,D,L,W,9,7,-0.090909091,0.454545455
Fulham,Man City,H,W,D,L,L,L,L,W,W,L,L,4,6,-0.363636364,0.272727273
Newcastle,Birmingham,H,W,W,L,D,W,L,L,L,L,D,10,1,0.083333333,-0.75
Portsmouth,Wigan,NH,W,L,D,D,L,W,W,W,W,W,5,15,-0.166666667,0.666666667
West Ham,West Brom,H,W,L,W,L,D,L,L,W,L,L,7,3,0.416666667,-1
Everton,Middlesbrough,H,W,W,D,L,L,W,L,D,W,L,7,7,-0.666666667,0
Man United,Chelsea,H,W,L,D,W,W,W,D,W,W,W,10,13,0.416666667,1.833333333
Bolton,Tottenham,H,W,W,L,L,W,D,D,W,W,W,9,11,0.166666667,0.5
Charlton,Man United,NH,L,L,W,D,L,W,L,D,W,W,4,10,0.166666667,0.416666667
Chelsea,Newcastle,H,W,D,W,W,W,W,W,L,D,W,13,10,1.833333333,0.083333333
Liverpool,Portsmouth,H,W,W,W,L,W,W,L,D,D,L,12,5,0.333333333,-0.166666667
Man City,Blackburn,NH,W,L,W,W,L,L,W,L,W,W,9,9,0.416666667,-0.25
Sunderland,Aston Villa,NH,L,L,L,L,D,L,L,L,W,L,1,3,-1,-0.846153846
West Brom,Everton,H,L,L,L,W,L,L,W,W,D,L,3,7,-1,-0.923076923
Wigan,Arsenal,NH,L,W,W,W,W,W,W,D,W,L,12,10,0.538461538,0.692307692
Middlesbrough,Fulham,H,L,W,L,D,W,W,L,W,D,L,7,7,-0.076923077,-0.307692308
Tottenham,West Ham,NH,L,D,D,W,W,D,W,L,W,L,8,7,0.384615385,0.384615385
Arsenal,Blackburn,H,W,W,D,W,L,W,L,W,L,W,10,9,0.692307692,0
Aston Villa,Charlton,H,L,L,L,W,L,L,L,L,W,D,3,4,-0.846153846,0
Man City,Liverpool,NH,L,W,L,W,W,W,W,W,W,L,9,12,0.307692308,0.384615385
Portsmouth,Chelsea,NH,L,W,L,D,D,L,W,D,W,W,5,10,-0.307692308,1.615384615
Sunderland,Birmingham,NH,L,L,L,L,D,L,L,L,L,L,1,0,-1,-0.769230769
Wigan,Tottenham,NH,L,L,W,W,W,D,L,D,D,W,9,6,0.428571429,0.357142857
Everton,Newcastle,H,W,L,W,W,D,L,W,W,W,L,10,9,-0.785714286,-0.071428571
Fulham,Bolton,H,L,W,L,W,D,L,W,W,W,L,7,9,-0.357142857,0.142857143
Middlesbrough,West Brom,NH,W,L,W,L,D,W,L,L,L,W,7,6,0,-0.642857143
West Ham,Man United,NH,L,D,W,L,W,W,W,W,L,D,7,10,0.285714286,0.571428571
Sunderland,Liverpool,NH,L,L,L,L,L,W,W,W,W,W,0,15,-1.071428571,0.5
Blackburn,Everton,NH,D,W,L,W,L,W,L,W,W,D,7,10,0,-0.785714286
Bolton,Arsenal,H,L,W,W,W,L,W,W,W,D,W,9,13,0.142857143,0.857142857
Chelsea,Middlesbrough,H,W,L,W,D,W,W,L,W,L,D,10,7,1.714285714,0
Liverpool,Wigan,H,W,W,W,W,W,L,L,W,W,W,15,9,0.5,0.428571429
Man United,Portsmouth,H,W,W,W,W,L,L,L,L,W,L,12,3,0.733333333,-0.6
Newcastle,Aston Villa,NH,L,L,W,W,W,W,W,L,L,L,9,6,-0.133333333,-0.533333333
Tottenham,Sunderland,H,W,D,L,D,D,L,L,L,L,L,6,0,0.4,-1.066666667
West Brom,Fulham,NH,D,W,L,L,L,W,L,W,L,W,4,9,-0.6,-0.266666667
Charlton,Man City,NH,L,L,L,L,L,L,D,L,W,L,0,4,-0.266666667,0.2
Birmingham,West Ham,NH,L,W,L,L,L,W,L,D,W,L,3,7,-0.666666667,0.333333333
Birmingham,Fulham,H,L,W,L,L,L,W,L,W,L,W,3,9,-0.666666667,-0.266666667
Blackburn,West Ham,H,L,D,W,L,W,W,L,D,W,L,7,7,-0.2,0.333333333
Bolton,Aston Villa,NH,W,L,W,W,W,W,W,L,L,L,12,6,0.266666667,-0.533333333
Charlton,Sunderland,H,L,L,L,L,L,L,L,L,L,L,0,0,-0.266666667,-1.066666667
Chelsea,Wigan,H,W,W,W,L,W,L,L,L,L,W,12,3,1.6875,0.125
Liverpool,Middlesbrough,H,W,W,W,W,W,L,D,W,L,W,15,7,0.75,-0.0625
Newcastle,Arsenal,H,D,L,L,W,W,L,L,W,W,W,7,9,-0.125,0.5625
West Brom,Man City,H,D,D,W,L,L,W,L,D,L,W,5,7,-0.5625,0.375
Man United,Everton,NH,D,W,W,W,W,D,W,W,L,W,13,10,0.6875,-0.5625
Tottenham,Portsmouth,H,W,W,D,L,D,L,L,L,L,W,8,3,0.4375,-0.75
Everton,West Ham,NH,D,W,W,L,W,L,W,L,D,W,10,7,-0.5625,0.25
Man United,Wigan,H,D,W,W,W,W,L,L,L,L,W,13,3,0.6875,0.125
Aston Villa,Man United,NH,D,W,W,L,L,D,W,W,W,W,7,13,-0.5,0.6875
Everton,Bolton,NH,D,W,W,L,W,D,W,L,W,W,10,10,-0.5625,0.25
Fulham,Blackburn,H,L,D,W,L,W,W,L,L,D,W,7,7,-0.294117647,-0.235294118
Man City,Birmingham,H,L,W,L,D,L,L,W,L,W,L,4,6,0.235294118,-0.705882353
Portsmouth,West Brom,H,L,L,L,L,L,W,D,D,W,L,0,8,-0.823529412,-0.411764706
West Ham,Newcastle,NH,W,L,W,L,D,W,D,L,L,W,7,7,0.294117647,-0.058823529
Wigan,Charlton,H,L,L,L,L,L,L,W,L,L,L,0,3,-0.117647059,-0.294117647
Arsenal,Chelsea,NH,L,L,L,W,W,W,W,W,W,L,6,12,0.411764706,1.647058824
Middlesbrough,Tottenham,NH,L,L,D,W,L,W,W,W,D,L,4,10,-0.176470588,0.529411765
Aston Villa,Everton,H,D,D,W,W,L,L,D,W,W,L,8,7,-0.470588235,-0.588235294
Charlton,Arsenal,NH,L,W,L,L,L,L,L,L,W,W,3,6,-0.294117647,0.411764706
Chelsea,Fulham,H,W,W,W,W,L,L,D,W,L,W,12,7,1.647058824,-0.294117647
Liverpool,Newcastle,H,W,W,W,W,W,W,W,D,L,L,15,7,0.888888889,0.055555556
Man United,West Brom,H,W,W,D,W,W,L,W,D,D,W,13,8,0.944444444,-0.444444444
Middlesbrough,Blackburn,NH,D,L,L,D,W,L,W,L,L,D,5,4,-0.166666667,-0.277777778
Portsmouth,West Ham,NH,W,L,L,L,L,L,W,L,W,L,3,6,-0.722222222,0.166666667
Sunderland,Bolton,NH,L,L,L,L,L,D,W,D,W,L,0,8,-1.166666667,0.444444444
Tottenham,Birmingham,H,D,W,W,W,D,L,L,W,L,W,11,6,0.5,-0.777777778
Wigan,Man City,H,W,L,L,L,L,W,L,W,L,D,3,7,0.055555556,0.388888889
Arsenal,Portsmouth,H,W,L,L,L,W,W,L,L,L,L,6,3,0.444444444,-0.722222222
Birmingham,Man United,NH,L,L,W,L,W,W,W,D,W,W,6,13,-0.777777778,0.944444444
Everton,Liverpool,NH,L,L,D,W,W,W,W,W,W,W,7,15,-0.777777778,0.888888889
Fulham,Aston Villa,NH,L,W,L,D,W,W,L,D,D,W,7,8,-0.263157895,-0.315789474
Man City,Chelsea,NH,L,W,L,W,L,W,W,W,W,W,6,15,0.315789474,1.631578947
West Brom,Tottenham,H,L,L,W,D,D,W,D,W,W,W,5,13,-0.578947368,0.578947368
West Ham,Wigan,NH,D,L,W,L,W,W,W,L,L,L,7,6,0.157894737,0.105263158
Aston Villa,Arsenal,NH,W,L,D,D,W,W,W,L,L,L,8,6,-0.315789474,0.631578947
Charlton,West Ham,H,W,L,L,W,L,D,L,W,L,W,6,7,-0.210526316,0.157894737
Chelsea,Birmingham,H,W,W,W,W,W,D,L,L,W,L,15,4,1.631578947,-0.736842105
Liverpool,West Brom,H,W,W,W,W,W,L,L,W,D,D,15,5,0.894736842,-0.578947368
Man United,Bolton,H,W,W,W,D,W,L,D,W,D,W,13,8,1.052631579,0.263157895
Middlesbrough,Man City,NH,L,D,L,L,D,L,W,L,W,L,2,6,-0.263157895,0.315789474
Portsmouth,Fulham,H,L,D,W,L,L,D,L,W,L,D,4,5,-0.85,-0.25
Sunderland,Everton,NH,L,D,L,L,L,L,L,L,L,D,1,1,-1.1,-1
Tottenham,Newcastle,H,L,W,D,W,W,L,L,W,W,D,10,7,0.45,-0.15
Wigan,Blackburn,NH,W,W,W,L,L,W,W,L,W,L,9,9,0.2,0
Birmingham,Wigan,H,L,D,L,L,W,W,W,W,L,L,4,9,-0.8,0.2
Blackburn,Portsmouth,H,W,W,L,W,L,L,D,W,L,L,9,4,0,-0.85
Bolton,Liverpool,NH,D,L,D,W,D,D,W,W,W,W,6,13,0.25,0.85
Everton,Charlton,H,L,L,L,L,D,L,W,L,L,W,1,6,-1,-0.3
Fulham,Sunderland,H,D,L,W,L,D,L,D,L,L,L,5,1,-0.25,-1.1
Newcastle,Middlesbrough,NH,L,L,W,W,D,D,L,D,L,L,7,2,-0.15,-0.25
West Brom,Aston Villa,NH,L,W,L,L,W,D,D,W,L,D,6,6,-0.476190476,-0.285714286
West Ham,Chelsea,NH,L,L,D,L,W,W,W,W,W,W,4,15,-0.047619048,1.619047619
Arsenal,Man United,NH,D,D,W,W,L,W,D,W,W,W,8,13,0.571428571,1.095238095
Man City,Tottenham,NH,D,L,L,W,L,W,L,W,D,W,4,10,0.238095238,0.523809524
Arsenal,Middlesbrough,H,D,D,W,W,L,D,D,L,D,L,8,3,0.571428571,-0.238095238
Aston Villa,West Ham,NH,D,D,W,L,D,L,L,D,L,W,6,4,-0.285714286,-0.047619048
Blackburn,Bolton,NH,W,W,W,L,W,D,D,L,D,W,12,6,0.047619048,0.238095238
Charlton,Birmingham,H,W,L,W,L,L,W,L,D,L,L,6,4,-0.19047619,-0.666666667
Fulham,Newcastle,H,L,D,L,W,L,D,L,L,W,W,4,7,-0.285714286,-0.142857143
Liverpool,Tottenham,H,W,D,W,W,W,W,L,W,D,W,13,10,0.857142857,0.523809524
Man City,Man United,H,L,D,L,L,W,D,W,D,W,W,4,11,0.136363636,1.045454545
Portsmouth,Everton,NH,L,W,L,D,W,W,W,L,L,L,7,6,-0.772727273,-0.772727273
Sunderland,Chelsea,NH,L,L,L,D,L,W,W,W,W,W,1,15,-1.090909091,1.636363636
Wigan,West Brom,NH,L,L,W,W,W,L,L,W,L,L,9,3,-0.045454545,-0.5
Birmingham,Portsmouth,H,L,W,L,D,L,L,W,L,D,W,4,7,-0.727272727,-0.772727273
Bolton,Man City,H,W,D,D,L,D,L,D,L,L,W,6,4,0.318181818,0.136363636
Everton,Arsenal,H,W,W,L,L,L,W,D,D,W,W,6,11,-0.772727273,0.863636364
Middlesbrough,Wigan,NH,L,D,D,L,D,L,L,W,W,W,3,9,-0.545454545,-0.045454545
Newcastle,Blackburn,NH,L,D,L,L,W,D,W,W,W,L,4,10,-0.181818182,0.045454545
Tottenham,Aston Villa,NH,W,W,L,W,D,W,D,D,W,L,10,8,0.590909091,-0.227272727
West Brom,Sunderland,NH,W,L,L,W,L,W,L,L,L,D,6,4,-0.434782609,-1
Chelsea,Charlton,NH,W,W,W,W,W,D,D,W,L,W,15,8,1.608695652,-0.173913043
Man United,Liverpool,H,L,D,W,D,W,D,L,W,D,W,8,8,0.913043478,0.739130435
West Ham,Fulham,H,W,L,L,L,D,W,W,L,D,L,4,7,-0.086956522,-0.173913043
Charlton,West Brom,NH,D,D,W,L,W,W,L,L,W,L,8,6,-0.173913043,-0.434782609
Fulham,Tottenham,H,W,W,L,D,L,L,W,W,L,W,7,9,-0.173913043,0.52173913
Sunderland,Middlesbrough,NH,W,L,L,L,D,L,L,D,D,L,4,2,-1,-0.565217391
Wigan,Everton,NH,L,L,L,W,W,W,W,W,L,L,6,9,-0.086956522,-0.695652174
Arsenal,West Ham,NH,L,W,D,D,W,W,L,L,L,D,8,4,0.782608696,-0.086956522
Aston Villa,Chelsea,NH,L,W,D,D,W,W,W,W,W,W,8,15,-0.260869565,1.608695652
Blackburn,Man United,H,W,W,D,W,W,W,L,D,W,D,13,8,0.125,0.916666667
Liverpool,Birmingham,NH,L,D,L,W,D,D,W,L,W,L,5,7,0.625,-0.458333333
Man City,Newcastle,H,L,W,L,D,L,L,L,L,D,L,4,1,0.125,-0.333333333
Portsmouth,Bolton,NH,L,L,L,W,L,D,D,W,D,D,3,7,-0.958333333,0.291666667
Birmingham,Arsenal,NH,D,W,L,W,L,L,L,W,D,D,7,5,-0.458333333,0.708333333
Bolton,Wigan,NH,D,D,W,D,D,W,L,L,L,W,7,6,0.291666667,-0.041666667
Everton,Man City,H,W,W,W,W,L,L,W,L,D,L,12,4,-0.625,0.125
Man United,Fulham,H,W,L,D,W,D,L,W,W,L,D,8,7,0.916666667,-0.208333333
Middlesbrough,Aston Villa,NH,W,L,L,D,D,D,L,W,D,D,5,6,-0.416666667,-0.25
Newcastle,Portsmouth,H,L,L,L,D,L,L,L,L,W,L,1,3,-0.333333333,-0.958333333
West Brom,Blackburn,H,D,L,W,L,L,L,W,W,D,W,4,10,-0.44,0.04
West Ham,Sunderland,H,W,W,W,L,L,L,L,W,L,L,9,3,0,-1.12
Chelsea,Liverpool,H,D,D,W,W,W,L,L,D,L,W,11,4,1.48,0.52
Tottenham,Charlton,H,L,D,L,W,W,W,L,D,D,W,7,8,0.44,-0.16
Charlton,Liverpool,H,W,L,D,D,W,L,L,D,L,W,8,4,-0.16,0.52
Arsenal,Bolton,NH,W,L,L,W,D,D,D,D,W,D,7,7,0.76,0.28
Aston Villa,Newcastle,NH,D,D,L,W,D,W,L,L,L,D,6,4,-0.24,-0.24
Everton,Blackburn,H,D,W,W,W,W,L,W,W,D,W,13,10,-0.6,0.04
Fulham,West Brom,H,W,L,W,W,L,D,L,W,L,L,9,4,-0.16,-0.44
Middlesbrough,Chelsea,H,L,W,L,L,D,D,D,W,W,W,4,11,-0.56,1.48
Portsmouth,Man United,NH,L,D,L,L,L,W,L,W,L,D,1,7,-0.961538462,0.884615385
Wigan,Liverpool,NH,D,D,W,L,L,W,L,L,D,L,5,4,-0.038461538,0.538461538
Man City,Charlton,H,L,W,L,W,L,L,W,L,D,D,6,5,0.192307692,-0.192307692
Sunderland,Tottenham,NH,D,L,L,W,L,W,L,D,L,W,4,7,-1.076923077,0.5
West Ham,Birmingham,H,W,W,W,W,L,L,L,D,W,L,12,4,0.076923077,-0.615384615
Liverpool,Arsenal,H,W,L,L,D,L,D,W,L,L,W,4,7,0.538461538,0.730769231
Blackburn,Sunderland,H,L,L,W,W,D,D,L,L,W,L,7,4,0,-1.076923077
Tottenham,Wigan,NH,W,L,D,L,W,D,D,W,L,L,7,5,0.5,-0.038461538
Newcastle,Charlton,NH,W,W,L,L,L,L,W,L,D,D,6,5,-0.192307692,-0.192307692
Birmingham,Sunderland,H,L,L,D,W,L,D,L,L,W,L,4,4,-0.615384615,-1.076923077
Blackburn,Arsenal,H,W,L,L,W,W,L,D,W,L,L,9,4,0.074074074,0.666666667
Charlton,Aston Villa,NH,D,L,W,L,D,L,W,D,D,L,5,5,-0.185185185,-0.111111111
Chelsea,Portsmouth,H,L,W,D,D,W,L,L,D,L,L,8,1,1.333333333,-1
Newcastle,Everton,H,D,W,W,L,L,W,W,D,W,W,7,13,-0.185185185,-0.481481481
Bolton,Fulham,H,L,W,D,D,D,W,L,W,L,W,6,9,0.222222222,-0.037037037
Liverpool,Man City,H,W,W,L,L,D,W,L,W,L,W,7,9,0.555555556,0.222222222
West Brom,Middlesbrough,NH,L,W,D,L,W,W,W,L,W,L,7,9,-0.518518519,-0.333333333
Aston Villa,Portsmouth,H,L,W,D,D,L,L,L,D,L,L,5,1,-0.111111111,-1
Fulham,Arsenal,NH,W,L,W,L,W,L,D,W,L,L,9,4,-0.037037037,0.666666667
Liverpool,Charlton,NH,W,W,L,L,D,D,L,W,L,D,7,5,0.555555556,-0.185185185
Middlesbrough,Birmingham,H,W,W,W,L,W,L,W,L,L,D,12,4,-0.285714286,-0.571428571
Newcastle,Bolton,H,W,D,W,W,L,W,L,W,D,D,10,8,-0.107142857,0.321428571
West Brom,Chelsea,NH,L,L,W,D,L,W,L,W,D,D,4,8,-0.571428571,1.357142857
West Ham,Everton,NH,D,W,W,W,W,L,W,W,D,W,13,10,0.178571429,-0.535714286
Man City,Sunderland,H,L,W,L,W,L,L,L,D,L,L,6,1,0.178571429,-1.107142857
Tottenham,Blackburn,H,D,D,W,L,D,W,W,L,L,W,6,9,0.464285714,0.107142857
Wigan,Man United,NH,D,L,D,D,W,W,W,W,L,W,6,12,-0.071428571,0.928571429
Birmingham,West Brom,NH,L,W,L,L,D,L,L,W,D,L,4,4,-0.571428571,-0.571428571
Blackburn,Aston Villa,H,W,W,L,L,W,D,L,W,D,D,9,6,0.107142857,-0.107142857
Bolton,West Ham,H,W,L,W,D,D,D,W,W,W,W,8,13,0.321428571,0.178571429
Chelsea,Tottenham,H,W,W,L,W,D,W,D,D,W,L,10,8,1.344827586,0.482758621
Everton,Fulham,H,D,L,W,W,D,L,L,W,L,W,8,6,-0.517241379,-0.206896552
Portsmouth,Man City,H,L,L,L,L,D,W,L,W,L,W,1,9,-1.034482759,0.206896552
Sunderland,Wigan,NH,L,L,L,D,L,L,D,L,D,D,1,3,-1.103448276,-0.103448276
Arsenal,Liverpool,H,W,L,L,D,W,D,W,W,W,L,7,10,0.724137931,0.551724138
Charlton,Middlesbrough,H,D,D,D,L,W,L,W,W,W,L,6,9,-0.172413793,-0.310344828
Man United,Newcastle,H,W,W,W,W,L,W,W,D,W,W,12,13,0.965517241,-0.034482759
Liverpool,Fulham,H,D,W,W,W,L,L,L,W,L,W,10,6,0.551724138,-0.206896552
Arsenal,Charlton,H,W,L,L,D,W,D,D,D,L,W,7,6,0.724137931,-0.172413793
Birmingham,Tottenham,NH,D,L,W,L,L,W,D,D,W,L,4,8,-0.551724138,0.482758621
Blackburn,Middlesbrough,H,W,L,W,W,L,L,L,W,W,W,9,9,0.133333333,-0.333333333
Bolton,Sunderland,H,L,W,W,L,W,L,L,L,L,D,9,1,0.333333333,-1.1
Everton,Aston Villa,H,W,D,L,W,W,L,W,D,L,W,10,7,-0.433333333,-0.133333333
Man City,Wigan,NH,L,W,L,W,L,W,L,D,L,D,6,5,0.166666667,-0.066666667
West Brom,Man United,NH,D,L,L,L,W,W,W,W,W,W,4,15,-0.566666667,0.966666667
West Ham,Portsmouth,NH,L,L,D,W,W,W,L,L,L,L,7,3,0,-0.966666667
Fulham,Chelsea,H,L,L,L,W,L,W,W,W,L,W,3,12,-0.266666667,1.333333333
Newcastle,Liverpool,NH,L,W,W,D,W,L,D,W,W,W,10,10,-0.1,0.5
Aston Villa,Fulham,NH,L,W,D,L,W,L,L,L,W,L,7,3,-0.133333333,-0.266666667
Chelsea,Man City,H,W,W,W,L,W,L,W,L,W,L,12,6,1.333333333,0.166666667
Liverpool,Everton,H,W,L,D,W,W,W,W,D,L,W,10,10,0.612903226,-0.322580645
Sunderland,Blackburn,NH,L,L,L,L,L,W,W,L,W,W,0,12,-1.129032258,0.161290323
Wigan,West Ham,NH,W,W,L,D,L,W,L,L,D,W,7,7,-0.032258065,0.032258065
Charlton,Newcastle,H,L,W,D,D,D,L,L,W,W,D,6,7,-0.225806452,-0.161290323
Man United,Birmingham,H,W,W,W,W,W,L,L,D,L,W,15,4,1.032258065,-0.677419355
Middlesbrough,Bolton,H,W,L,L,W,W,L,L,W,W,L,9,6,-0.290322581,0.290322581
Tottenham,West Brom,H,W,L,W,D,D,L,D,L,L,L,8,1,0.483870968,-0.580645161
Man United,West Ham,H,W,W,W,W,W,W,L,L,D,W,15,7,1.032258065,0.032258065
Arsenal,Aston Villa,H,W,W,W,L,L,L,L,W,D,L,9,4,0.806451613,-0.225806452
Birmingham,Chelsea,NH,L,L,D,L,W,L,W,W,W,L,4,9,-0.677419355,1.258064516
Bolton,Man United,NH,L,L,L,W,W,W,W,W,W,W,6,15,0.25,1.03125
Everton,Sunderland,NH,L,W,W,D,L,L,L,L,L,L,7,0,-0.375,-1.125
Fulham,Portsmouth,NH,W,L,L,L,L,W,W,W,L,L,3,9,-0.34375,-0.78125
Newcastle,Tottenham,H,L,L,L,W,W,W,W,L,W,D,6,10,-0.21875,0.5
West Brom,Liverpool,NH,L,L,D,L,L,W,W,L,D,W,1,10,-0.59375,0.65625
Man City,Middlesbrough,NH,L,L,L,W,L,W,W,L,L,W,3,9,0.0625,-0.25
West Ham,Charlton,NH,L,W,L,L,D,W,L,W,D,D,4,8,0,-0.15625
Blackburn,Wigan,NH,W,W,W,L,W,L,W,W,L,D,12,7,0.1875,-0.0625
Birmingham,Bolton,H,D,L,L,D,L,L,L,L,W,W,2,6,-0.65625,0.25
Charlton,Everton,NH,W,L,W,D,D,L,W,W,D,L,8,7,-0.15625,-0.375
Portsmouth,Blackburn,NH,D,W,W,W,L,D,W,W,W,L,10,10,-0.757575758,0.181818182
Tottenham,Man City,H,L,W,W,L,W,L,L,L,L,W,9,3,0.424242424,0.03030303
Wigan,Birmingham,NH,D,L,W,W,L,W,D,L,L,D,7,5,-0.060606061,-0.606060606
Aston Villa,West Brom,NH,L,D,L,L,W,L,L,L,D,L,4,1,-0.363636364,-0.636363636
Chelsea,West Ham,H,D,W,L,W,W,D,L,W,L,L,10,4,1.242424242,0
Liverpool,Bolton,H,W,W,W,L,D,L,L,L,L,W,10,3,0.696969697,0.212121212
Man United,Arsenal,H,W,W,W,W,W,L,W,W,W,W,15,12,1.03030303,0.848484848
Middlesbrough,Newcastle,NH,L,W,W,L,L,W,L,L,L,W,6,6,-0.272727273,-0.151515152
Portsmouth,Arsenal,NH,D,W,W,W,L,L,W,W,W,W,10,12,-0.757575758,0.848484848
Man United,Sunderland,NH,W,W,W,W,W,D,L,L,L,L,15,1,1.03030303,-1.090909091
Arsenal,West Brom,H,D,L,W,W,W,D,L,L,L,D,10,2,0.823529412,-0.617647059
Bolton,Chelsea,NH,L,L,L,L,L,W,D,W,L,W,0,10,0.147058824,1.294117647
Everton,Tottenham,NH,D,D,L,W,W,W,L,W,W,L,8,9,-0.352941176,0.441176471
Fulham,Charlton,H,L,D,W,L,L,D,D,W,L,W,4,8,-0.382352941,-0.147058824
Newcastle,Wigan,H,W,W,L,L,L,D,D,L,W,W,6,8,-0.117647059,-0.058823529
Portsmouth,Middlesbrough,H,D,D,W,W,W,L,L,W,W,L,11,6,-0.735294118,-0.294117647
West Ham,Man City,H,L,D,L,W,L,L,L,L,L,L,4,0,-0.088235294,0
Aston Villa,Birmingham,H,D,L,D,L,L,D,W,D,L,L,2,5,-0.352941176,-0.588235294
Blackburn,Liverpool,NH,D,D,W,W,W,W,W,W,W,L,11,12,0.176470588,0.735294118
Charlton,Portsmouth,H,D,D,W,L,W,D,D,W,W,W,8,11,-0.147058824,-0.735294118
Chelsea,Everton,H,W,W,D,W,L,L,D,D,L,W,10,5,1.314285714,-0.371428571
Middlesbrough,West Ham,H,W,L,L,W,W,W,L,D,L,W,9,7,-0.228571429,-0.057142857
Sunderland,Newcastle,NH,L,D,D,L,L,W,W,W,L,L,2,9,-1.114285714,-0.057142857
Tottenham,Man United,NH,W,W,L,W,W,D,W,W,W,W,12,13,0.457142857,1.028571429
West Brom,Bolton,NH,L,D,L,L,L,D,L,L,L,L,1,1,-0.657142857,0.142857143
Wigan,Aston Villa,H,L,D,D,L,W,W,D,L,D,L,5,5,-0.114285714,-0.285714286
Birmingham,Blackburn,H,L,D,W,D,L,L,D,D,W,W,5,8,-0.628571429,0.142857143
Arsenal,Tottenham,NH,W,D,L,W,W,W,W,L,W,W,10,12,0.857142857,0.457142857
Bolton,Charlton,H,D,L,L,L,L,L,D,D,W,L,1,5,0.142857143,-0.171428571
Everton,Birmingham,NH,L,D,D,L,W,L,D,W,D,L,5,5,-0.371428571,-0.628571429
Newcastle,West Brom,H,W,W,W,W,L,D,L,D,L,L,12,2,0.027777778,-0.638888889
Portsmouth,Sunderland,H,L,W,D,D,W,L,L,D,D,L,8,2,-0.694444444,-1.111111111
Fulham,Wigan,H,W,W,L,D,W,W,L,D,D,L,10,5,-0.305555556,-0.083333333
