HomeTeam,AwayTeam,FTR,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HTFormPts,ATFormPts,HTGD,ATGD
Tottenham,Man City,NH,L,W,W,L,D,D,L,W,L,W,7,7,0.142857143,-0.428571429
Leicester,Everton,NH,W,W,W,D,W,L,W,L,D,W,13,7,0.714285714,-0.142857143
Aston Villa,Derby,H,D,W,W,L,D,L,D,D,D,L,8,3,0.142857143,-0.285714286
Charlton,Coventry,NH,W,W,D,D,L,L,L,D,L,W,8,4,0.125,-0.75
Everton,Ipswich,NH,D,L,W,L,D,D,W,L,L,W,5,7,-0.125,-0.25
Leeds,Tottenham,H,W,D,L,D,L,D,L,W,W,L,5,7,0.25,0.125
Man City,Newcastle,NH,D,D,L,W,L,L,L,D,W,W,5,7,-0.375,0
Southampton,Middlesbrough,NH,W,W,L,D,D,D,D,L,D,L,8,3,0.125,0
West Ham,Bradford,NH,W,D,L,D,D,L,L,D,L,D,6,2,-0.125,-1
Arsenal,Man United,H,D,W,D,D,W,D,W,W,W,D,9,11,0.5,1.625
Chelsea,Liverpool,H,D,L,D,D,D,D,D,W,W,D,4,9,-0.25,0.25
Sunderland,Leicester,NH,D,W,L,D,L,D,W,W,W,D,5,11,-0.5,0.625
Arsenal,Aston Villa,H,D,W,D,D,W,W,D,W,W,L,9,10,0.5,0.5
Coventry,Tottenham,H,D,L,L,D,L,L,D,L,W,W,2,7,-0.666666667,0
Everton,Southampton,NH,L,D,L,W,L,L,W,W,L,D,4,7,-0.444444444,-0.111111111
Ipswich,West Ham,NH,W,D,W,L,L,D,W,D,L,D,7,6,0.111111111,-0.111111111
Leeds,Charlton,H,W,W,D,L,D,D,W,W,D,D,8,9,0.444444444,0.111111111
Leicester,Man United,NH,D,D,W,W,W,L,D,W,W,W,11,10,0.555555556,1.333333333
Man City,Bradford,H,L,D,D,L,W,D,L,L,D,L,5,2,-0.444444444,-0.888888889
Sunderland,Chelsea,H,D,D,W,L,D,W,D,L,D,D,6,6,-0.444444444,0.111111111
Derby,Liverpool,NH,L,D,L,D,D,L,D,D,W,W,3,8,-0.555555556,-0.111111111
Middlesbrough,Newcastle,NH,W,D,D,L,D,W,L,L,D,W,6,7,0.222222222,0.111111111
Bradford,Ipswich,NH,D,L,L,D,L,W,D,W,L,L,2,7,-0.888888889,0.111111111
Charlton,Middlesbrough,H,L,D,W,W,D,L,W,D,D,L,8,5,-0.1,0
Chelsea,Coventry,H,L,W,D,L,D,W,D,L,L,D,5,5,0,-0.5
Liverpool,Leicester,H,W,L,D,D,W,L,D,D,W,W,8,8,0.3,0.2
Man United,Leeds,H,W,L,D,W,W,L,W,W,D,L,10,7,1.5,0.1
Newcastle,Everton,NH,W,W,L,L,D,D,L,D,L,W,7,5,0.3,-0.4
Tottenham,Derby,H,L,L,D,L,W,L,L,D,L,D,4,2,-0.1,-0.9
West Ham,Arsenal,NH,D,D,W,D,L,W,W,D,W,D,6,11,-0.1,0.6
Aston Villa,Sunderland,NH,D,L,W,D,W,W,D,D,W,L,8,8,0.3,-0.3
Southampton,Man City,NH,D,L,W,W,L,W,L,D,D,L,7,5,-0.1,-0.2
Arsenal,Man City,H,W,W,D,W,D,W,L,D,D,L,11,5,0.6,-0.2
Aston Villa,Charlton,H,W,D,L,W,D,W,L,D,W,W,8,10,0.363636364,0
Chelsea,Tottenham,H,W,L,W,D,L,W,L,L,D,L,7,4,0.454545455,0.090909091
Ipswich,Middlesbrough,H,W,D,W,D,W,L,L,W,D,D,11,5,0.272727273,-0.090909091
