Model,Accuracy,Precision,Recall,F1_Score,F1_Macro
LogisticRegression,0.6505847953216374,0.6508992870621523,0.6505847953216374,0.6507198115331865,0.6490658629417106
RandomForest,0.6330409356725146,0.6317032640323702,0.6330409356725146,0.6307944441025494,0.6275568533105407
XGBoost,0.6418128654970761,0.6406365271411114,0.6418128654970761,0.6395275569566278,0.636328125
GradientBoosting,0.6242690058479532,0.622937575296922,0.6242690058479532,0.6227656918223006,0.6198191963320213
NeuralNetwork,0.6600877192982456,0.6591455329642419,0.6600877192982456,0.6587641338813824,0.6561169630476561
StackingEnsemble,0.6432748538011696,0.6421059685418016,0.6432748538011696,0.6414433738958562,0.6384519567171777
CalibratedStacking,0.6476608187134503,0.6465635769025345,0.6476608187134503,0.6460961545860264,0.6432565789473683
