feature,importance_mean,importance_std
Home_Goals_Scored,0.02272676501926816,0.00821952460597031
Away_Goals_Scored,0.006264309466945728,0.005826119455784189
Goal_Difference_Gap,0.004667655278208621,0.007492428808138308
Away_Goal_Difference,0.003145796577271975,0.005126855952069163
Form_Gap,0.0021523357938699915,0.005277781173191857
Points_Gap,0.0015649045728568344,0.002828592822491882
Home_Goal_Difference,0.0012807905530173135,0.005461594704513593
Away_Win_Streak,0.0008665649052873314,0.0018824871869644853
Home_Win_Streak,0.00016347055455011582,0.0013866345756699098
Home_Goals_Conceded,-0.0013476160514881042,0.0064626298012793225
