,Points_Gap,Goal_Difference_Gap,Form_Gap,Home_Goal_Difference,Away_Goal_Difference,Home_Win_Streak,Away_Win_Streak,Home_Goals_Scored,Away_Goals_Scored,Home_Goals_Conceded
Points_Gap,1.0,0.9253831652497604,0.7417302888440859,0.6639624090940105,-0.6558383806266781,0.23944493237551653,-0.22920049315403138,0.30720971922950585,-0.23787565543196348,-0.19676875704004307
Goal_Difference_Gap,0.9253831652497604,1.0,0.685287889644164,0.7169319308409365,-0.709295276285066,0.2180198345099008,-0.2222403828487948,0.32108085407123577,-0.2574482274336076,-0.21258372695407382
Form_Gap,0.7417302888440859,0.685287889644164,1.0,0.498435437820446,-0.47886133755827204,0.3379366134095857,-0.3016308479987333,0.23034730308200727,-0.19865740785091668,-0.16570316166508686
Home_Goal_Difference,0.6639624090940105,0.7169319308409365,0.498435437820446,1.0,-0.017092196544378647,0.3257891544403586,-0.014523943622467858,0.43176082374476316,0.01634612060264589,-0.31473565737323755
Away_Goal_Difference,-0.6558383806266781,-0.709295276285066,-0.47886133755827204,-0.017092196544378647,1.0,0.016731904654518192,0.3040549348959492,-0.023927342553062992,0.38576464159672136,-0.013351790278144426
Home_Win_Streak,0.23944493237551653,0.2180198345099008,0.3379366134095857,0.3257891544403586,0.016731904654518192,1.0,0.026487460171724903,0.21008550210295762,0.06170723448572174,-0.06285760089184225
Away_Win_Streak,-0.22920049315403138,-0.2222403828487948,-0.3016308479987333,-0.014523943622467858,0.3040549348959492,0.026487460171724903,1.0,0.051100140635395246,0.21927594962985722,0.06976068074107605
Home_Goals_Scored,0.30720971922950585,0.32108085407123577,0.23034730308200727,0.43176082374476316,-0.023927342553062992,0.21008550210295762,0.051100140635395246,1.0,0.7171666131021781,0.6150293901788606
Away_Goals_Scored,-0.23787565543196348,-0.2574482274336076,-0.19865740785091668,0.01634612060264589,0.38576464159672136,0.06170723448572174,0.21927594962985722,0.7171666131021781,1.0,0.7590826259515349
Home_Goals_Conceded,-0.19676875704004307,-0.21258372695407382,-0.16570316166508686,-0.31473565737323755,-0.013351790278144426,-0.06285760089184225,0.06976068074107605,0.6150293901788606,0.7590826259515349,1.0
