Model,MAE,MSE,RMSE,R2_Score
Ridge (Scorer),0.3953250742709507,0.5396316421504578,0.7345962443073458,0.9369703729084398
RandomForest (Scorer),0.1789289046573812,0.27712186082022755,0.5264236514635598,0.9676318321942504
XGBoost (Scorer),0.14375251531600952,0.1389457732439041,0.3727543068079886,0.9837709665298462
