unnamed:_0,age,matches_played,starts,minutes,90s_played,goals,assists,goals_+_assists,non_penalty_goals,penalty_goals_made,penalty_attempts,yellow_cards,red_cards,xg,npxg,xag,npxg_+_xag,progressive_carries,progressive_passes,progressive_receives,goals_per_90,assists_per_90,goals_+_assists_per_90,non_penalty_goals_per_90,non_penalty_goals_+_assists_per_90,xg_per_90,xag_per_90,xg_+_xag_per_90,npxg_per_90,npxg_+_xag_per_90,player_encoded,nation_encoded,position_encoded
0,32,38,38,3371,37.5,29,18,47,20,9,9,1,0,25.2,18.2,14.2,32.4,154,144,488,0.77,0.48,1.25,0.53,1.01,0.67,0.38,1.05,0.49,0.87,1373,31,0
1,33,37,37,3330,37.0,3,1,4,3,0,0,5,0,2.2,2.2,0.7,3.0,22,198,6,0.08,0.03,0.11,0.08,0.11,0.06,0.02,0.08,0.06,0.08,1883,74,1
2,22,37,37,3160,35.1,0,4,4,0,0,0,6,1,1.1,1.1,3.1,4.2,70,181,55,0.0,0.11,0.11,0.0,0.11,0.03,0.09,0.12,0.03,0.12,1664,74,3
3,25,35,30,2599,28.9,5,5,10,5,0,0,6,0,2.8,2.8,4.7,7.5,36,177,80,0.17,0.17,0.35,0.17,0.35,0.1,0.16,0.26,0.1,0.26,97,3,3
4,25,31,30,2560,28.4,1,2,3,1,0,0,5,0,1.7,1.7,1.0,2.7,25,115,3,0.04,0.07,0.11,0.04,0.11,0.06,0.03,0.1,0.06,0.1,761,37,1
5,23,36,29,2491,27.7,6,6,12,6,0,0,6,0,7.3,7.3,7.4,14.7,72,131,127,0.22,0.22,0.43,0.22,0.43,0.27,0.27,0.53,0.27,0.53,513,48,3
6,30,33,29,2482,27.6,0,1,1,0,0,0,3,1,1.2,1.2,4.6,5.8,64,176,108,0.0,0.04,0.04,0.0,0.04,0.04,0.17,0.21,0.04,0.21,147,87,1
7,31,28,28,2508,27.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,108,13,2
8,27,36,28,2399,26.7,13,5,18,13,0,0,2,0,12.0,12.0,5.0,17.1,108,110,293,0.49,0.19,0.68,0.49,0.68,0.45,0.19,0.64,0.45,0.64,1150,20,0
9,25,33,28,2365,26.3,3,6,9,3,0,0,5,0,1.9,1.9,7.3,9.2,51,232,94,0.11,0.23,0.34,0.11,0.34,0.07,0.28,0.35,0.07,0.35,1843,32,1
10,25,35,23,1935,21.5,10,4,14,10,0,0,5,0,7.1,7.1,4.4,11.5,59,52,278,0.47,0.19,0.65,0.47,0.65,0.33,0.2,0.53,0.33,0.53,378,74,0
11,23,33,19,1712,19.0,3,3,6,3,0,0,3,1,4.3,4.3,1.1,5.4,30,117,79,0.16,0.16,0.32,0.16,0.32,0.23,0.06,0.29,0.23,0.29,394,32,5
12,27,26,14,1196,13.3,6,3,9,6,0,0,2,0,7.9,7.9,1.8,9.8,37,34,88,0.45,0.23,0.68,0.45,0.68,0.6,0.14,0.74,0.6,0.74,498,83,0
13,25,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321,50,2
14,28,18,9,837,9.3,0,1,1,0,0,0,2,0,0.4,0.4,2.1,2.5,17,76,43,0.0,0.11,0.11,0.0,0.11,0.04,0.23,0.27,0.04,0.27,1062,44,1
15,25,30,8,1133,12.6,5,2,7,5,0,0,8,0,5.8,5.8,1.3,7.1,23,27,78,0.4,0.16,0.56,0.4,0.56,0.46,0.1,0.57,0.46,0.57,445,100,0
16,21,19,7,754,8.4,0,2,2,0,0,0,4,0,0.7,0.7,1.4,2.1,35,33,39,0.0,0.24,0.24,0.0,0.24,0.08,0.17,0.25,0.08,0.25,380,76,1
17,27,9,6,519,5.8,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,5,35,2,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,902,32,1
18,21,13,4,495,5.5,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,3,19,4,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,845,32,1
19,21,18,2,371,4.1,1,2,3,1,0,0,1,0,1.8,1.8,1.1,2.8,10,44,30,0.24,0.49,0.73,0.24,0.73,0.43,0.26,0.69,0.43,0.69,730,32,3
20,31,20,1,273,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,19,8,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,1894,56,5
21,26,6,1,108,1.2,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,3,3,7,0.0,0.0,0.0,0.0,0.0,0.28,0.15,0.43,0.28,0.43,601,54,0
22,23,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1886,27,2
23,18,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,862,32,3
24,32,38,38,3371,37.5,29,18,47,20,9,9,1,0,25.2,18.2,14.2,32.4,154,144,488,0.77,0.48,1.25,0.53,1.01,0.67,0.38,1.05,0.49,0.87,1373,31,0
25,33,37,37,3330,37.0,3,1,4,3,0,0,5,0,2.2,2.2,0.7,3.0,22,198,6,0.08,0.03,0.11,0.08,0.11,0.06,0.02,0.08,0.06,0.08,1883,74,1
26,22,37,37,3160,35.1,0,4,4,0,0,0,6,1,1.1,1.1,3.1,4.2,70,181,55,0.0,0.11,0.11,0.0,0.11,0.03,0.09,0.12,0.03,0.12,1664,74,3
27,25,35,30,2599,28.9,5,5,10,5,0,0,6,0,2.8,2.8,4.7,7.5,36,177,80,0.17,0.17,0.35,0.17,0.35,0.1,0.16,0.26,0.1,0.26,97,3,3
28,25,31,30,2560,28.4,1,2,3,1,0,0,5,0,1.7,1.7,1.0,2.7,25,115,3,0.04,0.07,0.11,0.04,0.11,0.06,0.03,0.1,0.06,0.1,761,37,1
29,23,36,29,2491,27.7,6,6,12,6,0,0,6,0,7.3,7.3,7.4,14.7,72,131,127,0.22,0.22,0.43,0.22,0.43,0.27,0.27,0.53,0.27,0.53,513,48,3
30,30,33,29,2482,27.6,0,1,1,0,0,0,3,1,1.2,1.2,4.6,5.8,64,176,108,0.0,0.04,0.04,0.0,0.04,0.04,0.17,0.21,0.04,0.21,147,87,1
31,31,28,28,2508,27.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,108,13,2
32,27,36,28,2399,26.7,13,5,18,13,0,0,2,0,12.0,12.0,5.0,17.1,108,110,293,0.49,0.19,0.68,0.49,0.68,0.45,0.19,0.64,0.45,0.64,1150,20,0
33,25,33,28,2365,26.3,3,6,9,3,0,0,5,0,1.9,1.9,7.3,9.2,51,232,94,0.11,0.23,0.34,0.11,0.34,0.07,0.28,0.35,0.07,0.35,1843,32,1
34,25,35,23,1935,21.5,10,4,14,10,0,0,5,0,7.1,7.1,4.4,11.5,59,52,278,0.47,0.19,0.65,0.47,0.65,0.33,0.2,0.53,0.33,0.53,378,74,0
35,23,33,19,1712,19.0,3,3,6,3,0,0,3,1,4.3,4.3,1.1,5.4,30,117,79,0.16,0.16,0.32,0.16,0.32,0.23,0.06,0.29,0.23,0.29,394,32,5
36,27,26,14,1196,13.3,6,3,9,6,0,0,2,0,7.9,7.9,1.8,9.8,37,34,88,0.45,0.23,0.68,0.45,0.68,0.6,0.14,0.74,0.6,0.74,498,83,0
37,25,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321,50,2
38,28,18,9,837,9.3,0,1,1,0,0,0,2,0,0.4,0.4,2.1,2.5,17,76,43,0.0,0.11,0.11,0.0,0.11,0.04,0.23,0.27,0.04,0.27,1062,44,1
39,25,30,8,1133,12.6,5,2,7,5,0,0,8,0,5.8,5.8,1.3,7.1,23,27,78,0.4,0.16,0.56,0.4,0.56,0.46,0.1,0.57,0.46,0.57,445,100,0
40,21,19,7,754,8.4,0,2,2,0,0,0,4,0,0.7,0.7,1.4,2.1,35,33,39,0.0,0.24,0.24,0.0,0.24,0.08,0.17,0.25,0.08,0.25,380,76,1
41,27,9,6,519,5.8,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,5,35,2,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,902,32,1
42,21,13,4,495,5.5,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,3,19,4,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,845,32,1
43,21,18,2,371,4.1,1,2,3,1,0,0,1,0,1.8,1.8,1.1,2.8,10,44,30,0.24,0.49,0.73,0.24,0.73,0.43,0.26,0.69,0.43,0.69,730,32,3
44,31,20,1,273,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,19,8,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,1894,56,5
45,26,6,1,108,1.2,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,3,3,7,0.0,0.0,0.0,0.0,0.0,0.28,0.15,0.43,0.28,0.43,601,54,0
46,23,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1886,27,2
47,18,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,862,32,3
48,28,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457,34,2
49,23,35,35,3039,33.8,2,0,2,2,0,0,2,1,2.3,2.3,0.9,3.1,16,138,6,0.06,0.0,0.06,0.06,0.06,0.07,0.03,0.09,0.07,0.09,1906,37,1
50,25,35,33,2825,31.4,4,7,11,4,0,0,7,1,3.5,3.5,6.6,10.1,90,192,94,0.13,0.22,0.35,0.13,0.35,0.11,0.21,0.32,0.11,0.32,468,32,3
51,31,35,31,2797,31.1,4,2,6,4,0,0,4,0,2.3,2.3,2.1,4.3,36,185,48,0.13,0.06,0.19,0.13,0.19,0.07,0.07,0.14,0.07,0.14,1802,42,5
52,29,38,28,2546,28.3,8,7,15,8,0,0,4,1,7.2,7.2,6.1,13.3,80,101,226,0.28,0.25,0.53,0.28,0.53,0.25,0.22,0.47,0.25,0.47,1086,9,0
53,26,28,28,2363,26.3,3,1,4,3,0,0,4,0,2.6,2.6,0.9,3.5,10,126,11,0.11,0.04,0.15,0.11,0.15,0.1,0.03,0.13,0.1,0.13,651,13,1
54,23,30,27,2417,26.9,1,3,4,1,0,0,7,0,1.2,1.2,0.8,2.1,57,146,104,0.04,0.11,0.15,0.04,0.15,0.05,0.03,0.08,0.05,0.08,992,74,1
55,25,30,26,2325,25.8,3,8,11,2,1,1,4,0,4.8,4.0,5.4,9.5,92,258,154,0.12,0.31,0.43,0.08,0.39,0.19,0.21,0.4,0.16,0.37,1247,77,3
56,28,28,17,1586,17.6,7,2,9,7,0,0,4,1,5.9,5.9,2.0,7.9,11,69,94,0.4,0.11,0.51,0.4,0.51,0.34,0.11,0.45,0.34,0.45,1351,34,4
57,17,23,15,1369,15.2,1,0,1,1,0,0,3,2,0.2,0.2,0.4,0.6,37,71,37,0.07,0.0,0.07,0.07,0.07,0.01,0.03,0.04,0.01,0.04,1392,32,1
58,26,17,13,1198,13.3,0,2,2,0,0,0,2,0,0.5,0.5,1.4,1.8,23,59,42,0.0,0.15,0.15,0.0,0.15,0.03,0.1,0.14,0.03,0.14,261,32,1
59,22,19,11,983,10.9,2,1,3,2,0,0,4,0,0.9,0.9,0.3,1.1,22,54,29,0.18,0.09,0.27,0.18,0.27,0.08,0.03,0.11,0.08,0.11,1621,54,1
60,24,17,10,1122,12.5,1,0,1,1,0,0,1,0,0.2,0.2,0.3,0.5,5,48,1,0.08,0.0,0.08,0.08,0.08,0.01,0.03,0.04,0.01,0.04,825,82,1
61,32,15,9,704,7.8,0,0,0,0,0,0,5,0,0.1,0.1,0.4,0.5,12,48,6,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,946,54,3
62,27,17,6,608,6.8,3,0,3,3,0,0,4,0,3.0,3.0,0.7,3.7,15,19,57,0.44,0.0,0.44,0.44,0.44,0.44,0.1,0.54,0.44,0.54,650,13,0
63,21,1,0,7,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.94,0.94,0.94,1410,32,0
64,25,1,0,7,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,1,0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,2.37,2.37,2.37,1778,56,1
65,24,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1614,32,0
66,26,38,38,3271,36.3,5,6,11,5,0,0,7,0,4.3,4.3,6.1,10.4,64,271,96,0.14,0.17,0.3,0.14,0.3,0.12,0.17,0.29,0.12,0.29,309,13,3
67,32,37,37,3330,37.0,1,1,2,1,0,0,11,0,2.0,2.0,0.9,2.8,12,75,14,0.03,0.03,0.05,0.03,0.05,0.05,0.02,0.08,0.05,0.08,406,32,1
68,24,34,34,2756,30.6,23,6,29,19,4,4,1,0,20.3,17.2,4.3,21.6,83,88,217,0.75,0.2,0.95,0.62,0.82,0.66,0.14,0.81,0.56,0.7,91,95,0
69,32,34,33,2934,32.6,4,0,4,4,0,0,9,1,3.7,3.7,0.4,4.1,18,118,22,0.12,0.0,0.12,0.12,0.12,0.11,0.01,0.13,0.11,0.13,584,91,1
70,21,37,32,2840,31.6,0,1,1,0,0,0,1,0,0.3,0.3,2.6,2.9,83,158,119,0.0,0.03,0.03,0.0,0.03,0.01,0.08,0.09,0.01,0.09,1866,32,1
71,29,35,31,2360,26.2,8,12,20,8,0,0,4,0,5.7,5.7,8.9,14.6,79,83,231,0.31,0.46,0.76,0.31,0.76,0.22,0.34,0.56,0.22,0.56,817,32,0
72,27,29,29,2393,26.6,4,3,7,4,0,0,10,0,3.9,3.9,2.5,6.4,40,116,110,0.15,0.11,0.26,0.15,0.26,0.15,0.09,0.24,0.15,0.24,908,13,4
73,24,36,28,2630,29.2,4,2,6,4,0,0,5,0,4.4,4.4,2.2,6.6,37,128,53,0.14,0.07,0.21,0.14,0.21,0.15,0.07,0.22,0.15,0.22,1686,54,3
74,32,28,28,2520,28.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1429,32,2
75,19,27,24,2189,24.3,0,4,4,0,0,0,3,0,0.4,0.4,4.3,4.7,41,123,80,0.0,0.16,0.16,0.0,0.16,0.02,0.18,0.19,0.02,0.19,1101,32,1
76,26,33,17,1755,19.5,9,4,13,9,0,0,0,0,7.2,7.2,4.0,11.2,93,83,192,0.46,0.21,0.67,0.46,0.67,0.37,0.2,0.57,0.37,0.57,729,32,0
77,33,25,14,1309,14.5,0,3,3,0,0,0,1,0,0.1,0.1,1.4,1.5,26,117,58,0.0,0.21,0.21,0.0,0.21,0.01,0.1,0.1,0.01,0.1,1043,32,1
78,24,32,11,1086,12.1,0,2,2,0,0,0,4,0,1.6,1.6,2.1,3.8,38,41,86,0.0,0.17,0.17,0.0,0.17,0.14,0.18,0.31,0.14,0.31,905,32,4
79,35,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1242,93,2
80,26,25,8,798,8.9,0,0,0,0,0,0,2,0,0.6,0.6,0.2,0.8,4,40,22,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,1701,32,3
81,24,8,6,412,4.6,0,0,0,0,0,0,1,0,0.5,0.5,0.5,1.1,0,7,0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.24,0.12,0.24,1768,74,1
82,25,10,4,303,3.4,0,1,1,0,0,0,2,0,0.4,0.4,0.5,0.9,0,9,5,0.0,0.3,0.3,0.0,0.3,0.12,0.14,0.26,0.12,0.26,1111,32,1
83,32,18,2,370,4.1,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,5,4,17,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.12,0.09,0.12,316,32,0
84,29,12,2,342,3.8,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,5,8,3,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,552,95,1
85,18,14,1,313,3.5,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.6,2,17,8,0.29,0.0,0.29,0.29,0.29,0.16,0.01,0.16,0.16,0.16,1103,32,3
86,30,9,1,157,1.7,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.8,3,6,18,0.0,0.0,0.0,0.0,0.0,0.3,0.15,0.45,0.3,0.45,1344,80,0
87,20,14,0,134,1.5,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.3,5,4,17,0.67,0.0,0.67,0.67,0.67,0.11,0.1,0.21,0.11,0.21,1905,28,0
88,28,2,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1284,32,1
89,29,36,36,3240,36.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1968,34,2
90,25,36,33,2962,32.9,2,1,3,2,0,0,6,0,2.6,2.6,1.1,3.7,38,195,43,0.06,0.03,0.09,0.06,0.09,0.08,0.03,0.11,0.08,0.11,1250,34,3
91,23,37,31,2738,30.4,2,5,7,2,0,0,4,0,1.9,1.9,8.9,10.8,43,93,154,0.07,0.16,0.23,0.07,0.23,0.06,0.29,0.35,0.06,0.35,1724,34,5
92,22,35,28,2460,27.3,1,1,2,1,0,0,8,0,0.4,0.4,1.1,1.6,26,97,53,0.04,0.04,0.07,0.04,0.07,0.02,0.04,0.06,0.02,0.06,916,103,1
93,27,35,28,2250,25.0,9,3,12,5,4,4,4,1,9.9,6.8,2.4,9.2,31,28,133,0.36,0.12,0.48,0.2,0.32,0.4,0.1,0.5,0.27,0.37,1352,34,0
94,23,36,27,2372,26.4,5,0,5,5,0,0,5,0,3.6,3.6,4.5,8.0,133,110,218,0.19,0.0,0.19,0.19,0.19,0.14,0.17,0.31,0.14,0.31,1777,56,4
95,27,28,27,2269,25.2,0,0,0,0,0,0,6,1,0.6,0.6,0.4,1.1,22,101,3,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,769,34,1
96,22,29,21,1936,21.5,0,0,0,0,0,0,4,0,0.1,0.1,0.4,0.5,36,73,64,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,851,34,1
97,21,29,21,1792,19.9,1,1,2,1,0,0,4,0,3.3,3.3,2.6,5.9,30,79,56,0.05,0.05,0.1,0.05,0.1,0.17,0.13,0.3,0.17,0.3,1156,24,3
98,28,21,21,1760,19.6,0,0,0,0,0,0,5,0,2.4,2.4,0.1,2.5,26,75,1,0.0,0.0,0.0,0.0,0.0,0.12,0.01,0.13,0.12,0.13,1417,65,1
99,27,27,19,1531,17.0,3,2,5,3,0,0,4,0,3.5,3.5,2.0,5.5,32,91,86,0.18,0.12,0.29,0.18,0.29,0.21,0.12,0.33,0.21,0.33,300,34,3
100,30,22,16,1457,16.2,0,0,0,0,0,0,2,1,0.4,0.4,0.2,0.6,17,51,4,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,202,34,1
101,22,30,14,1263,14.0,1,3,4,1,0,0,6,0,1.6,1.6,1.9,3.6,43,48,152,0.07,0.21,0.29,0.07,0.29,0.12,0.14,0.26,0.12,0.26,130,34,4
102,21,23,14,1239,13.8,1,2,3,1,0,0,3,0,1.4,1.4,1.0,2.4,20,45,47,0.07,0.15,0.22,0.07,0.22,0.1,0.07,0.17,0.1,0.17,1510,34,3
103,26,21,13,1098,12.2,0,0,0,0,0,0,5,0,0.2,0.2,0.3,0.4,26,38,28,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.01,0.04,43,34,1
104,22,21,11,942,10.5,0,0,0,0,0,0,4,0,0.6,0.6,0.2,0.7,18,42,28,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.07,0.05,0.07,281,34,3
105,19,23,9,944,10.5,3,0,3,3,0,0,1,0,5.2,5.2,0.2,5.4,6,9,50,0.29,0.0,0.29,0.29,0.29,0.5,0.02,0.52,0.5,0.52,1498,52,0
106,23,14,9,854,9.5,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2,12,27,0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,921,34,1
107,32,11,9,700,7.8,0,1,1,0,0,0,2,0,0.0,0.0,0.2,0.3,12,26,20,0.0,0.13,0.13,0.0,0.13,0.01,0.03,0.04,0.01,0.04,711,69,1
108,23,22,7,857,9.5,1,1,2,1,0,0,2,0,0.9,0.9,0.8,1.7,11,38,41,0.11,0.11,0.21,0.11,0.21,0.1,0.08,0.18,0.1,0.18,1481,34,3
109,18,13,6,904,10.0,0,1,1,0,0,0,2,0,0.6,0.6,0.2,0.8,4,34,0,0.0,0.1,0.1,0.0,0.1,0.06,0.02,0.08,0.06,0.08,919,34,1
110,27,7,2,227,2.5,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,5,5,18,0.0,0.0,0.0,0.0,0.0,0.09,0.06,0.15,0.09,0.15,1853,75,0
111,22,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1857,34,2
112,21,3,1,73,0.8,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.3,0,3,4,1.23,0.0,1.23,1.23,1.23,0.24,0.12,0.36,0.24,0.36,214,86,4
113,23,1,1,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1860,34,3
114,28,2,0,43,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1973,34,1
115,18,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416,34,3
116,20,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1164,34,1
117,23,2,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,918,34,3
118,21,36,36,3240,36.0,0,1,1,0,0,0,5,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,251,74,2
119,20,34,31,2661,29.6,3,1,4,3,0,0,8,1,3.1,3.1,1.3,4.4,43,118,29,0.1,0.03,0.14,0.1,0.14,0.1,0.05,0.15,0.1,0.15,328,18,3
120,26,30,26,2402,26.7,1,1,2,1,0,0,5,0,1.2,1.2,2.1,3.3,59,132,112,0.04,0.04,0.07,0.04,0.07,0.04,0.08,0.12,0.04,0.12,1556,30,1
121,33,30,24,2115,23.5,10,4,14,9,1,1,5,0,9.6,8.8,1.4,10.1,21,47,95,0.43,0.17,0.6,0.38,0.55,0.41,0.06,0.46,0.37,0.43,438,32,0
122,32,25,23,2083,23.1,0,0,0,0,0,0,5,0,0.8,0.8,0.5,1.3,20,142,3,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.06,0.03,0.06,1099,32,1
123,20,34,22,1965,21.8,2,1,3,2,0,0,3,0,2.4,2.4,2.3,4.8,30,75,61,0.09,0.05,0.14,0.09,0.14,0.11,0.11,0.22,0.11,0.22,1931,95,3
124,19,26,22,1842,20.5,5,2,7,5,0,0,5,0,2.7,2.7,1.5,4.2,19,68,54,0.24,0.1,0.34,0.24,0.34,0.13,0.07,0.21,0.13,0.21,811,32,5
125,32,21,19,1697,18.9,0,0,0,0,0,0,5,0,0.5,0.5,0.5,0.9,32,85,34,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.05,0.02,0.05,960,74,1
126,22,28,19,1656,18.4,5,3,8,5,0,0,2,0,4.6,4.6,2.5,7.1,42,67,79,0.27,0.16,0.43,0.27,0.43,0.25,0.14,0.39,0.25,0.39,670,37,4
127,23,21,11,938,10.4,2,2,4,1,1,1,1,0,2.8,2.0,2.4,4.4,22,38,52,0.19,0.19,0.38,0.1,0.29,0.27,0.23,0.5,0.2,0.42,1283,28,3
128,29,14,11,887,9.9,0,0,0,0,0,0,1,0,0.2,0.2,0.5,0.7,8,63,2,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.08,0.03,0.08,28,32,1
129,26,13,10,961,10.7,0,0,0,0,0,0,4,0,0.0,0.0,0.2,0.2,9,49,1,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,767,13,1
130,23,15,10,860,9.6,2,2,4,2,0,0,0,0,0.4,0.4,0.8,1.2,32,14,45,0.21,0.21,0.42,0.21,0.42,0.04,0.08,0.12,0.04,0.12,1785,42,1
131,20,21,8,687,7.6,1,4,5,1,0,0,0,0,1.2,1.2,2.1,3.3,22,26,57,0.13,0.52,0.66,0.13,0.66,0.16,0.28,0.43,0.16,0.43,301,41,4
132,21,16,4,516,5.7,1,0,1,1,0,0,0,0,0.9,0.9,0.7,1.6,8,27,23,0.17,0.0,0.17,0.17,0.17,0.15,0.13,0.28,0.15,0.28,486,80,3
133,38,4,3,170,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,1,10,10,0.0,0.0,0.0,0.0,0.0,0.09,0.12,0.21,0.09,0.21,833,32,3
134,20,12,2,294,3.3,0,0,0,0,0,0,0,0,1.0,1.0,0.2,1.2,11,14,17,0.0,0.0,0.0,0.0,0.0,0.31,0.07,0.38,0.31,0.38,981,80,4
135,19,13,2,246,2.7,1,0,1,1,0,0,0,0,0.5,0.5,0.4,1.0,2,1,9,0.37,0.0,0.37,0.37,0.37,0.2,0.15,0.35,0.2,0.35,579,50,0
136,33,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848,32,2
137,23,2,1,98,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,11,2,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,285,87,3
138,22,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,50,1
