Model,R2_Score,MAE,RMSE
Ridge (Points),0.9375322462910837,3.7036119025195764,4.6409602208724605
RandomForest (Points),0.9307342061073647,3.9684972205013747,4.886965908799429
XGBoost (Points),0.9294050335884094,4.056771278381348,4.93363279688131
