Model,R2_Score,MAE,RMSE
Ridge (Points),0.9374755456224735,3.704562810857368,4.6430659942199775
RandomForest (Points),0.9301236915110258,3.9874506511901164,4.908455725921932
XGBoost (Points),0.929826021194458,4.081131458282471,4.9188988785467185
