FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,ATFormPts,HTGD,ATGD,DiffPts,DiffFormPts
H,9,5,6,7,1.4,1.2,D,W,W,L,M,L,W,W,L,M,6,0.6,-0.4,0.2,0.2
H,6,3,5,8,1.3333333333333333,0.8333333333333334,W,W,L,D,D,D,L,D,W,L,5,0.1666666666666666,-0.8333333333333334,0.5,0.5
H,10,8,11,6,0.8333333333333334,1.6666666666666667,D,D,L,L,W,W,W,L,D,W,10,-0.1666666666666666,0.3333333333333333,-0.8333333333333334,-0.8333333333333334
NH,9,14,8,3,1.1666666666666667,1.8333333333333333,W,L,D,W,L,W,W,D,D,W,11,0.1666666666666666,1.8333333333333333,-0.6666666666666666,-0.6666666666666666
NH,6,5,5,8,1.1666666666666667,0.6666666666666666,L,D,L,W,W,L,L,W,D,L,4,0.1666666666666666,-0.5,0.5,0.5
H,7,7,9,4,0.5,1.6666666666666667,L,D,D,L,D,D,W,W,W,L,10,-0.3333333333333333,0.5,-1.1666666666666667,-1.1666666666666667
H,4,11,9,12,0.6666666666666666,0.6666666666666666,L,D,L,L,W,D,D,D,L,D,4,-0.8333333333333334,-0.1666666666666666,0.0,0.0
NH,7,4,7,1,1.0,1.8333333333333333,D,D,D,L,W,W,W,D,W,D,11,0.0,0.5,-0.8333333333333334,-0.8333333333333334
NH,9,9,12,9,1.0,0.8333333333333334,L,W,L,W,L,L,D,L,D,W,5,-0.5,0.0,0.1666666666666666,0.1666666666666666
NH,5,10,9,8,0.3333333333333333,1.6666666666666667,L,D,D,L,L,W,W,D,L,W,10,-0.6666666666666666,0.3333333333333333,-1.3333333333333333,-1.3333333333333333
NH,3,7,8,9,0.8333333333333334,0.5,D,L,D,W,L,L,D,D,L,D,3,-0.8333333333333334,-0.3333333333333333,0.3333333333333333,0.3333333333333333
NH,6,6,9,10,1.0,0.4285714285714285,L,D,L,W,W,D,L,D,D,L,3,-0.4285714285714285,-0.5714285714285714,0.5714285714285714,0.5714285714285714
NH,12,7,14,6,0.5714285714285714,1.1428571428571428,L,D,D,D,L,D,L,D,L,W,5,-0.2857142857142857,0.1428571428571428,-0.5714285714285714,-0.2857142857142857
NH,7,12,9,8,1.0,1.5714285714285714,W,L,L,W,D,W,D,D,W,W,11,-0.2857142857142857,0.5714285714285714,-0.5714285714285714,-0.5714285714285714
NH,11,6,9,10,1.5714285714285714,1.0,D,W,W,D,L,W,L,D,L,L,4,0.2857142857142857,-0.5714285714285714,0.5714285714285714,0.5714285714285714
NH,17,7,4,9,2.0,0.8571428571428571,W,W,W,D,D,L,D,D,D,L,3,1.8571428571428568,-0.2857142857142857,1.1428571428571428,1.1428571428571428
NH,10,7,10,6,0.8571428571428571,1.2857142857142858,D,L,D,L,D,D,W,W,L,D,8,0.0,0.1428571428571428,-0.4285714285714285,-0.7142857142857143
NH,7,11,6,11,1.4285714285714286,1.1428571428571428,L,D,W,W,W,W,D,D,L,L,5,0.1428571428571428,0.0,0.2857142857142857,0.7142857142857143
NH,8,10,7,13,1.4285714285714286,1.0,L,W,W,L,D,D,L,W,L,W,7,0.1428571428571428,-0.4285714285714285,0.4285714285714285,0.0
NH,6,10,1,11,2.0,1.0,W,W,W,D,W,L,W,L,D,W,7,0.7142857142857143,-0.1428571428571428,1.0,0.8571428571428571
H,7,12,6,14,1.2857142857142858,0.5714285714285714,D,W,W,L,D,L,D,D,D,L,3,0.1428571428571428,-0.2857142857142857,0.7142857142857143,0.7142857142857143
NH,12,6,11,12,1.375,0.875,W,W,D,D,L,L,L,D,L,W,4,0.125,-0.75,0.5,0.5
NH,11,8,12,10,1.0,1.0,D,L,W,L,D,D,W,L,L,W,7,-0.125,-0.25,0.0,-0.25
H,11,8,9,7,1.375,1.375,W,D,L,D,L,D,L,W,W,L,7,0.25,0.125,0.0,-0.25
NH,10,7,13,7,1.0,1.25,D,D,L,W,L,L,L,D,W,W,7,-0.375,0.0,-0.25,-0.25
NH,10,11,9,11,1.125,0.875,W,W,L,D,D,D,D,L,D,L,3,0.125,0.0,0.25,0.625
NH,9,3,10,11,0.75,0.625,W,D,L,D,D,L,L,D,L,D,2,-0.125,-1.0,0.125,0.5
H,13,20,9,7,1.5,1.875,D,W,D,D,W,D,W,W,W,D,11,0.5,1.625,-0.375,-0.25
H,10,12,12,10,0.875,1.5,D,L,D,D,D,D,D,W,W,D,9,-0.25,0.25,-0.625,-0.625
NH,7,7,11,2,1.0,1.875,D,W,L,D,L,D,W,W,W,D,11,-0.5,0.625,-0.875,-0.75
H,13,11,9,7,1.5,1.5,D,W,D,D,W,W,D,W,W,L,10,0.5,0.5,0.0,-0.125
