FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,ATFormPts,HTGD,ATGD,DiffPts,DiffFormPts
H,8,8,15,13,0.5,0.8,L,W,D,L,L,D,W,L,D,L,5,-0.7,-0.5,-0.3,-0.1
H,16,9,8,15,1.6,1.2,W,W,L,W,L,D,L,W,D,D,6,0.8,-0.6,0.4,0.3
NH,7,10,14,7,0.6,1.9,D,D,L,D,D,W,L,W,W,W,12,-0.7,0.3,-1.3,-0.8
NH,5,14,4,11,1.3,1.5,L,W,L,D,D,W,L,D,D,D,6,0.1,0.3,-0.2,-0.1
H,9,29,7,8,1.4,2.5,D,D,W,W,D,W,W,W,D,W,13,0.2,2.1,-1.1,-0.4
NH,16,13,12,12,1.4,1.2,W,D,L,L,W,D,W,D,L,L,5,0.4,0.1,0.2,0.2
H,17,9,14,7,1.3,1.1,D,D,W,W,W,W,D,L,W,L,7,0.3,0.2,0.2,0.4
NH,6,7,12,9,0.5,0.8,L,D,L,L,D,D,D,D,D,L,4,-0.6,-0.2,-0.3,-0.2
NH,29,6,8,12,2.5,0.5,W,W,W,D,W,L,D,L,L,D,2,2.1,-0.6,2.0,1.1
NH,7,11,9,15,0.8181818181818182,0.7272727272727273,D,D,D,D,D,W,L,W,D,L,7,-0.1818181818181818,-0.3636363636363636,0.0909090909090909,-0.1818181818181818
NH,7,18,22,10,0.5454545454545454,1.5454545454545454,L,L,D,L,W,D,W,W,L,W,10,-1.3636363636363635,0.7272727272727273,-1.0,-0.5454545454545454
NH,9,17,17,13,1.0909090909090908,1.3636363636363635,L,D,L,W,D,D,W,D,L,L,5,-0.7272727272727273,0.3636363636363636,-0.2727272727272727,0.0
NH,13,13,9,12,2.0,1.2727272727272727,W,W,L,W,W,W,L,D,D,D,6,0.3636363636363636,0.0909090909090909,0.7272727272727273,0.5454545454545454
H,10,6,19,6,0.7272727272727273,1.181818181818182,L,L,L,W,D,L,L,W,L,D,4,-0.8181818181818182,0.0,-0.4545454545454545,0.0
H,15,11,12,7,1.3636363636363635,1.5454545454545454,W,D,W,D,L,W,D,D,W,W,11,0.2727272727272727,0.3636363636363636,-0.1818181818181818,-0.2727272727272727
NH,8,12,16,2,0.7272727272727273,2.090909090909091,L,D,W,L,D,W,L,W,W,D,10,-0.7272727272727273,0.9090909090909092,-1.3636363636363635,-0.4545454545454545
H,16,21,12,17,1.6363636363636365,1.4545454545454546,W,W,L,D,D,W,D,D,W,W,11,0.3636363636363636,0.3636363636363636,0.1818181818181818,-0.2727272727272727
NH,12,9,11,17,1.0,0.5454545454545454,L,W,D,L,W,L,D,D,L,D,3,0.0909090909090909,-0.7272727272727273,0.4545454545454545,0.3636363636363636
H,13,15,12,12,1.2727272727272727,1.3636363636363635,W,L,D,D,D,W,D,W,D,L,8,0.0909090909090909,0.2727272727272727,-0.0909090909090909,-0.1818181818181818
H,16,14,3,10,2.1666666666666665,1.9166666666666667,W,W,L,W,W,D,W,W,L,W,10,1.0833333333333333,0.3333333333333333,0.25,0.1666666666666666
NH,12,31,15,12,0.9166666666666666,2.1666666666666665,W,W,L,W,D,D,L,W,W,W,10,-0.25,1.5833333333333333,-1.25,0.0
NH,18,7,11,10,1.4166666666666667,0.75,L,D,W,W,L,L,D,D,D,D,4,0.5833333333333334,-0.25,0.6666666666666666,0.25
NH,10,9,18,24,0.5833333333333334,0.5833333333333334,D,L,D,D,L,D,L,L,D,L,2,-0.6666666666666666,-1.25,0.0,0.0833333333333333
NH,8,9,14,20,0.5833333333333334,0.6666666666666666,D,D,L,D,L,L,L,D,W,L,4,-0.5,-0.9166666666666666,-0.0833333333333333,-0.0833333333333333
NH,6,10,8,19,1.0833333333333333,1.0,L,L,L,W,L,L,L,D,L,W,4,-0.1666666666666666,-0.75,0.0833333333333333,-0.0833333333333333
NH,11,13,9,12,1.4166666666666667,1.0,L,W,D,D,W,D,L,W,D,L,5,0.1666666666666666,0.0833333333333333,0.4166666666666667,0.25
NH,19,18,14,13,1.5,1.75,W,D,W,D,L,W,W,W,L,D,10,0.4166666666666667,0.4166666666666667,-0.25,-0.1666666666666666
NH,22,12,19,19,1.3333333333333333,0.9166666666666666,L,W,D,D,W,W,L,L,L,W,6,0.25,-0.5833333333333334,0.4166666666666667,0.1666666666666666
NH,7,14,10,10,0.75,1.9166666666666667,L,D,D,D,D,D,W,W,L,W,10,-0.25,0.3333333333333333,-1.1666666666666667,-0.5
NH,19,17,14,13,1.6923076923076923,1.3846153846153846,D,W,W,W,L,W,D,W,L,D,8,0.3846153846153846,0.3076923076923077,0.3076923076923077,0.1538461538461538
H,13,11,21,19,1.1538461538461535,0.6153846153846154,W,L,L,D,L,D,D,L,D,D,4,-0.6153846153846154,-0.6153846153846154,0.5384615384615384,0.0
NH,16,17,20,3,1.0769230769230769,2.230769230769231,W,W,L,L,L,W,W,W,L,W,12,-0.3076923076923077,1.0769230769230769,-1.1538461538461535,-0.4615384615384615
H,21,13,13,16,1.5384615384615383,0.9230769230769232,W,L,D,W,W,D,W,W,L,W,10,0.6153846153846154,-0.2307692307692307,0.6153846153846154,0.0
NH,13,10,12,25,1.0,0.6153846153846154,D,D,L,W,D,D,D,L,L,D,3,0.0769230769230769,-1.1538461538461535,0.3846153846153846,0.2307692307692307
H,10,16,16,17,0.6153846153846154,1.1538461538461535,D,D,D,L,D,L,L,W,D,W,7,-0.4615384615384615,-0.0769230769230769,-0.5384615384615384,-0.2307692307692307
NH,8,32,11,13,1.0,2.076923076923077,L,L,L,L,W,D,D,L,W,W,8,-0.2307692307692307,1.4615384615384617,-1.0769230769230769,-0.3846153846153846
NH,23,11,23,9,1.2307692307692308,1.3846153846153846,L,L,W,D,D,D,L,W,D,D,6,0.0,0.1538461538461538,-0.1538461538461538,-0.0769230769230769
NH,11,20,22,15,0.6923076923076923,1.4615384615384617,D,L,L,D,W,D,W,D,W,D,9,-0.8461538461538461,0.3846153846153846,-0.7692307692307693,-0.3076923076923077
NH,32,11,13,22,2.076923076923077,0.6923076923076923,D,D,L,W,W,D,L,L,D,W,5,1.4615384615384617,-0.8461538461538461,1.3846153846153846,0.2307692307692307
NH,21,20,4,16,2.2857142857142856,1.5714285714285714,W,W,W,W,L,L,D,W,W,W,10,1.2142857142857142,0.2857142857142857,0.7142857142857143,0.1428571428571428
NH,15,24,19,26,0.8571428571428571,1.1428571428571428,L,D,W,W,L,L,L,L,W,D,4,-0.2857142857142857,-0.1428571428571428,-0.2857142857142857,0.2142857142857142
H,15,17,11,24,1.8571428571428568,1.0,W,L,D,W,W,L,W,W,L,L,6,0.2857142857142857,-0.5,0.8571428571428571,0.2857142857142857
H,14,17,10,21,1.5,1.2857142857142858,W,D,L,W,D,W,W,L,L,D,7,0.2857142857142857,-0.2857142857142857,0.2142857142857142,0.0714285714285714
H,22,21,16,15,1.5714285714285714,1.4285714285714286,W,D,W,D,W,L,W,L,D,W,7,0.4285714285714285,0.4285714285714285,0.1428571428571428,0.2857142857142857
H,11,12,23,17,0.5714285714285714,0.7857142857142857,L,D,D,L,D,W,D,D,D,L,6,-0.8571428571428571,-0.3571428571428571,-0.2142857142857142,-0.2142857142857142
NH,17,14,20,13,1.0714285714285714,1.0,L,L,L,W,D,D,D,D,L,W,6,-0.2142857142857142,0.0714285714285714,0.0714285714285714,-0.1428571428571428
NH,11,8,26,11,0.6428571428571429,0.8571428571428571,D,D,D,L,L,L,W,L,D,D,5,-1.0714285714285714,-0.2142857142857142,-0.2142857142857142,-0.1428571428571428
H,19,12,14,16,1.5,0.9285714285714286,W,W,D,W,L,L,L,L,L,L,0,0.3571428571428571,-0.2857142857142857,0.5714285714285714,0.7142857142857143
NH,8,11,11,23,0.8571428571428571,0.5714285714285714,L,W,L,D,D,L,D,D,L,D,3,-0.2142857142857142,-0.8571428571428571,0.2857142857142857,0.1428571428571428
NH,22,18,18,20,1.5333333333333334,1.2,D,L,D,W,W,W,L,L,L,W,6,0.2666666666666666,-0.1333333333333333,0.3333333333333333,0.1333333333333333
NH,17,23,23,6,1.2,2.2,L,W,W,L,L,D,W,W,W,W,13,-0.4,1.1333333333333333,-1.0,-0.4666666666666667
NH,17,14,25,29,0.9333333333333332,0.6666666666666666,L,L,W,W,L,D,D,D,D,L,4,-0.5333333333333333,-1.0,0.2666666666666666,0.1333333333333333
H,17,20,14,14,1.1333333333333333,1.6,W,D,D,D,L,W,W,W,D,W,13,0.2,0.4,-0.4666666666666667,-0.4666666666666667
NH,13,15,19,21,0.7333333333333333,0.8,L,W,D,D,D,L,L,D,W,W,7,-0.4,-0.4,-0.0666666666666666,-0.0666666666666666
NH,13,16,25,10,0.6666666666666666,1.6,D,L,D,L,L,W,W,D,L,W,10,-0.8,0.4,-0.9333333333333332,-0.5333333333333333
H,23,38,16,18,1.5333333333333334,2.066666666666667,W,L,W,L,D,D,W,D,D,L,6,0.4666666666666667,1.3333333333333333,-0.5333333333333333,0.0666666666666666
NH,26,16,26,11,1.2666666666666666,1.9333333333333331,W,L,L,L,W,W,W,L,D,W,10,0.0,0.3333333333333333,-0.6666666666666666,-0.2666666666666666
H,12,24,17,16,0.8666666666666667,1.6666666666666667,L,L,L,L,L,W,W,D,W,D,11,-0.3333333333333333,0.5333333333333333,-0.8,-0.7333333333333333
H,38,11,18,14,2.066666666666667,0.8666666666666667,D,W,D,D,L,D,L,W,L,D,5,1.3333333333333333,-0.2,1.2,0.0666666666666666
NH,20,24,16,17,1.5,1.5,L,W,W,W,D,D,W,L,W,L,7,0.25,0.4375,0.0,0.1875
NH,16,14,29,17,0.8125,1.0,W,D,D,D,D,W,L,L,L,L,3,-0.8125,-0.1875,-0.1875,0.25
H,27,27,6,27,2.25,1.25,W,D,W,W,W,D,W,L,L,L,4,1.3125,0.0,1.0,0.5625
H,17,22,12,19,1.875,1.4375,D,W,W,L,D,L,D,L,D,W,5,0.3125,0.1875,0.4375,0.1875
H,19,15,10,21,1.6875,0.75,W,W,W,D,L,D,L,W,D,D,6,0.5625,-0.375,0.9375,0.25
NH,14,17,25,27,0.75,0.875,D,W,L,D,D,L,L,L,W,W,6,-0.6875,-0.625,-0.125,0.0
H,21,13,22,28,1.3125,0.625,W,W,L,L,L,L,D,L,D,L,2,-0.0625,-0.9375,0.6875,0.25
NH,17,17,23,27,0.8125,1.125,D,L,L,D,W,L,L,W,W,L,6,-0.375,-0.625,-0.3125,-0.0625
H,24,19,18,14,1.5625,1.25,L,W,W,D,W,W,W,D,D,D,9,0.375,0.3125,0.3125,0.0625
NH,17,16,23,29,0.8125,0.8125,D,L,L,D,W,W,D,D,D,D,7,-0.375,-0.8125,0.0,-0.125
H,20,24,14,18,1.9411764705882355,1.411764705882353,W,D,W,W,L,L,D,W,L,W,7,0.3529411764705882,0.3529411764705882,0.5294117647058824,0.1764705882352941
NH,21,15,17,17,1.1764705882352942,1.1176470588235294,L,W,W,D,D,W,W,L,L,L,6,0.2352941176470588,-0.1176470588235294,0.0588235294117647,0.1176470588235294
NH,27,22,31,23,1.1764705882352942,1.2941176470588236,L,D,W,L,L,D,W,W,L,L,7,-0.2352941176470588,-0.0588235294117647,-0.1176470588235294,-0.1764705882352941
H,14,24,26,22,0.7058823529411765,1.3529411764705883,L,D,W,L,D,L,L,D,L,D,2,-0.7058823529411765,0.1176470588235294,-0.6470588235294118,0.1764705882352941
NH,15,27,24,20,0.7058823529411765,1.6470588235294117,L,D,L,W,D,W,L,W,W,D,10,-0.5294117647058824,0.4117647058823529,-0.9411764705882352,-0.2941176470588235
NH,15,18,31,27,0.5882352941176471,1.2352941176470589,L,L,D,L,D,W,L,L,W,W,9,-0.9411764705882352,-0.5294117647058824,-0.6470588235294118,-0.4117647058823529
NH,42,31,20,6,2.0,2.294117647058824,W,L,D,W,D,W,W,D,W,W,13,1.2941176470588236,1.4705882352941178,-0.2941176470588235,-0.2941176470588235
NH,21,12,17,18,1.4705882352941178,0.8235294117647058,D,L,W,W,W,L,D,D,L,W,5,0.2352941176470588,-0.3529411764705882,0.6470588235294118,0.2941176470588235
NH,18,22,27,10,1.0,1.7647058823529411,W,L,L,L,W,W,W,W,W,D,13,-0.5294117647058824,0.7058823529411765,-0.7647058823529411,-0.4117647058823529
NH,24,22,18,23,1.411764705882353,1.2941176470588236,L,D,W,L,W,D,W,W,L,L,7,0.3529411764705882,-0.0588235294117647,0.1176470588235294,0.0
H,14,15,19,32,0.9444444444444444,0.5555555555555556,W,L,D,D,L,L,L,L,D,L,1,-0.2777777777777778,-0.9444444444444444,0.3888888888888889,0.2222222222222222
NH,16,21,30,14,0.7777777777777778,2.0,D,L,W,D,D,W,W,D,W,W,13,-0.7777777777777778,0.3888888888888889,-1.2222222222222223,-0.3888888888888889
NH,26,21,25,18,1.2777777777777777,1.1111111111111112,L,L,L,D,L,L,L,W,W,D,7,0.0555555555555555,0.1666666666666666,0.1666666666666666,-0.3333333333333333
H,33,17,8,28,2.2222222222222223,0.8333333333333334,D,W,W,D,W,W,L,D,W,L,7,1.3888888888888888,-0.6111111111111112,1.3888888888888888,0.2222222222222222
H,23,17,11,24,1.7222222222222223,0.7777777777777778,D,W,W,W,W,D,L,D,L,L,2,0.6666666666666666,-0.3888888888888889,0.9444444444444444,0.6111111111111112
H,29,22,22,19,1.6111111111111112,1.3888888888888888,D,W,L,W,W,L,D,L,W,W,7,0.3888888888888889,0.1666666666666666,0.2222222222222222,0.1666666666666666
H,16,17,17,26,1.2222222222222223,0.7222222222222222,W,W,W,L,L,D,L,D,L,W,5,-0.0555555555555555,-0.5,0.5,0.2222222222222222
H,25,28,19,32,1.3888888888888888,1.1666666666666667,D,L,D,W,L,D,L,D,W,L,5,0.3333333333333333,-0.2222222222222222,0.2222222222222222,0.0
NH,23,44,24,22,1.2777777777777777,1.9444444444444444,D,D,W,W,L,D,W,L,D,W,8,-0.0555555555555555,1.2222222222222223,-0.6666666666666666,0.0
H,19,19,27,28,1.3333333333333333,1.0,W,W,L,L,W,D,W,L,L,L,4,-0.4444444444444444,-0.5,0.3333333333333333,0.2777777777777778
H,45,20,22,30,2.0,0.9473684210526316,W,D,W,L,D,L,D,W,L,L,4,1.2105263157894737,-0.5263157894736842,1.0526315789473684,0.2105263157894736
H,18,32,19,22,1.0526315789473684,1.6842105263157894,W,W,L,D,D,W,D,W,L,W,10,-0.0526315789473684,0.5263157894736842,-0.631578947368421,-0.1052631578947368
NH,16,29,30,35,0.7894736842105263,1.105263157894737,D,D,L,W,D,L,D,L,D,W,5,-0.7368421052631579,-0.3157894736842105,-0.3157894736842105,0.0526315789473684
H,37,22,8,22,2.263157894736842,1.3157894736842106,W,D,W,W,D,L,L,D,L,W,4,1.5263157894736843,0.0,0.9473684210526316,0.3684210526315789
NH,19,23,29,25,0.7368421052631579,1.2105263157894737,L,D,L,D,L,L,D,D,W,W,8,-0.5263157894736842,-0.1052631578947368,-0.4736842105263157,-0.3157894736842105
H,21,22,14,18,1.947368421052632,1.2105263157894737,D,W,W,D,W,W,L,L,W,W,9,0.3684210526315789,0.2105263157894736,0.7368421052631579,0.1052631578947368
H,28,26,13,26,1.7894736842105263,1.2105263157894737,W,D,W,W,W,L,L,L,L,D,1,0.7894736842105263,0.0,0.5789473684210527,0.631578947368421
NH,17,21,32,18,0.7894736842105263,1.3157894736842106,L,W,L,D,W,W,W,W,W,L,12,-0.7894736842105263,0.1578947368421052,-0.5263157894736842,-0.2631578947368421
NH,18,21,31,28,0.6842105263157895,1.4210526315789471,L,D,L,D,L,W,W,W,L,L,9,-0.6842105263157895,-0.3684210526315789,-0.7368421052631579,-0.3684210526315789
NH,15,28,36,20,0.5263157894736842,1.4736842105263157,L,L,L,L,D,W,D,L,D,W,8,-1.105263157894737,0.4210526315789473,-0.9473684210526316,-0.3684210526315789
NH,22,30,23,13,1.25,1.85,L,L,L,D,L,W,W,D,W,W,13,-0.05,0.85,-0.6,-0.6
NH,26,18,28,32,1.15,0.8,L,L,L,L,L,D,D,D,L,W,6,-0.1,-0.7,0.35,-0.3
H,21,23,28,15,1.4,2.0,D,W,W,W,L,W,D,W,W,D,11,-0.35,0.4,-0.6,-0.05
NH,20,20,32,19,0.9,1.15,L,L,D,W,L,W,W,W,L,D,10,-0.6,0.05,-0.25,-0.3
H,33,18,20,31,1.55,0.7,W,W,D,L,D,D,L,D,L,D,3,0.65,-0.65,0.85,0.25
NH,23,15,20,41,1.15,0.5,L,W,L,L,W,L,L,L,L,L,0,0.15,-1.3,0.65,0.3
H,32,17,24,34,1.6,0.75,L,W,D,W,L,L,L,W,L,D,4,0.4,-0.85,0.85,0.15
NH,24,38,25,8,1.3,2.3,W,L,D,D,W,W,W,D,W,W,13,-0.05,1.5,-1.0,-0.25
NH,23,19,18,30,1.4,0.7,W,W,W,W,W,L,L,D,L,D,2,0.25,-0.55,0.7,0.65
NH,31,47,37,22,1.1,2.05,D,L,D,L,D,W,W,D,W,L,10,-0.3,1.25,-0.95,-0.35
H,22,19,24,32,1.1904761904761905,0.9047619047619048,L,L,L,L,D,W,D,D,D,L,6,-0.0952380952380952,-0.6190476190476191,0.2857142857142857,-0.238095238095238
NH,26,16,29,42,1.0952380952380951,0.5238095238095238,L,L,L,L,L,D,L,L,L,L,1,-0.1428571428571428,-1.238095238095238,0.5714285714285714,-0.0476190476190476
NH,23,48,28,22,1.4761904761904765,2.095238095238096,W,D,W,W,W,W,W,W,D,W,13,-0.238095238095238,1.238095238095238,-0.6190476190476191,0.0
H,22,20,35,31,0.8571428571428571,0.7142857142857143,L,L,L,D,W,D,L,L,D,L,2,-0.6190476190476191,-0.5238095238095238,0.1428571428571428,0.0952380952380952
NH,34,40,20,8,1.619047619047619,2.333333333333333,W,W,W,D,L,W,W,W,D,W,13,0.6666666666666666,1.5238095238095235,-0.7142857142857143,-0.1428571428571428
H,24,18,21,32,1.1428571428571428,0.6666666666666666,D,L,W,L,L,L,D,L,D,L,2,0.1428571428571428,-0.6666666666666666,0.4761904761904761,0.0952380952380952
NH,34,31,24,13,1.6666666666666667,1.9047619047619049,W,L,W,D,W,W,W,W,D,W,13,0.4761904761904761,0.8571428571428571,-0.238095238095238,-0.1428571428571428
H,31,23,38,21,1.0476190476190477,1.238095238095238,L,D,L,D,L,W,W,W,W,L,12,-0.3333333333333333,0.0952380952380952,-0.1904761904761904,-0.4761904761904761
NH,24,17,27,36,1.238095238095238,0.7142857142857143,L,W,L,D,D,L,L,L,W,L,3,-0.1428571428571428,-0.9047619047619048,0.5238095238095238,0.0952380952380952
H,24,23,19,17,1.380952380952381,1.9047619047619049,D,W,W,W,W,L,W,D,W,W,10,0.238095238095238,0.2857142857142857,-0.5238095238095238,0.1428571428571428
H,19,24,33,31,0.8636363636363636,1.4090909090909092,L,W,D,D,D,L,W,D,W,W,10,-0.6363636363636364,-0.3181818181818182,-0.5454545454545454,-0.1818181818181818
H,21,23,34,24,0.6818181818181818,1.2727272727272727,L,D,L,L,D,W,L,L,L,L,3,-0.5909090909090909,-0.0454545454545454,-0.5909090909090909,-0.0454545454545454
NH,18,34,37,21,0.7272727272727273,1.5454545454545454,D,L,L,L,W,L,W,W,W,D,10,-0.8636363636363636,0.5909090909090909,-0.8181818181818182,-0.2727272727272727
NH,17,33,43,39,0.5454545454545454,1.1363636363636365,D,D,L,L,L,W,L,D,L,D,5,-1.181818181818182,-0.2727272727272727,-0.5909090909090909,-0.1363636363636363
NH,51,26,23,22,2.136363636363636,1.2272727272727273,W,W,W,W,D,W,D,L,W,L,7,1.2727272727272727,0.1818181818181818,0.9090909090909092,0.2727272727272727
NH,24,27,23,30,1.181818181818182,1.0909090909090908,L,W,W,W,W,D,L,L,L,L,1,0.0454545454545454,-0.1363636363636363,0.0909090909090909,0.5
H,41,34,8,26,2.363636363636364,1.5909090909090908,W,W,W,W,D,L,W,L,W,D,7,1.5,0.3636363636363636,0.7727272727272727,0.2727272727272727
H,25,25,22,28,1.818181818181818,1.2272727272727273,L,L,W,D,W,D,L,W,L,D,5,0.1363636363636363,-0.1363636363636363,0.5909090909090909,0.0909090909090909
NH,33,29,13,21,1.9545454545454544,1.4545454545454546,W,W,W,W,D,W,D,W,W,W,13,0.9090909090909092,0.3636363636363636,0.5,0.0
NH,19,25,34,36,0.6363636363636364,0.9545454545454546,L,L,D,L,D,W,L,L,L,D,4,-0.6818181818181818,-0.5,-0.3181818181818182,-0.0909090909090909
H,23,19,26,39,1.2173913043478262,0.6956521739130435,L,W,L,L,L,L,D,L,L,L,1,-0.1304347826086956,-0.8695652173913043,0.5217391304347826,0.0869565217391304
H,29,52,31,24,1.173913043478261,2.0869565217391304,W,D,L,L,L,D,W,W,W,W,13,-0.0869565217391304,1.2173913043478262,-0.9130434782608696,-0.391304347826087
H,24,25,32,25,1.3478260869565215,1.1304347826086956,L,L,W,D,W,L,L,W,W,W,9,-0.3478260869565217,0.0,0.217391304347826,-0.0869565217391304
NH,36,33,22,13,1.608695652173913,1.9130434782608696,W,L,W,W,W,D,W,W,W,W,13,0.6086956521739131,0.8695652173913043,-0.3043478260869565,-0.0434782608695652
H,27,23,23,34,1.2173913043478262,0.782608695652174,D,W,D,L,W,W,L,D,L,L,4,0.1739130434782608,-0.4782608695652174,0.4347826086956521,0.1739130434782608
H,33,22,39,37,1.1304347826086956,0.6521739130434783,D,W,L,D,L,D,L,L,D,L,2,-0.2608695652173913,-0.6521739130434783,0.4782608695652174,0.1304347826086956
NH,26,20,30,33,1.173913043478261,0.9565217391304348,L,D,L,W,L,W,L,W,D,D,8,-0.1739130434782608,-0.5652173913043478,0.217391304347826,-0.1739130434782608
NH,29,43,21,8,1.434782608695652,2.391304347826087,D,W,D,W,W,W,W,W,W,W,15,0.3478260869565217,1.5217391304347827,-0.9565217391304348,-0.1739130434782608
H,28,17,39,43,0.9565217391304348,0.5652173913043478,D,W,L,L,L,D,D,D,L,L,3,-0.4782608695652174,-1.1304347826086956,0.391304347826087,0.0434782608695652
NH,34,27,28,23,1.5217391304347827,1.8695652173913044,L,L,W,L,W,W,L,L,W,D,7,0.2608695652173913,0.1739130434782608,-0.3478260869565217,-0.0434782608695652
NH,26,29,28,39,1.0833333333333333,1.0416666666666667,L,L,L,W,W,W,D,W,L,L,7,-0.0833333333333333,-0.4166666666666667,0.0416666666666666,-0.0416666666666666
H,45,26,8,31,2.4166666666666665,1.125,W,W,W,W,W,L,L,D,L,W,4,1.5416666666666667,-0.2083333333333333,1.2916666666666667,0.4583333333333333
H,24,29,37,23,0.75,1.375,L,W,L,D,L,L,D,W,D,W,8,-0.5416666666666666,0.25,-0.625,-0.1666666666666666
NH,28,27,24,33,1.8333333333333333,1.4166666666666667,D,W,L,L,W,W,L,L,W,D,7,0.1666666666666666,-0.25,0.4166666666666667,0.0
H,34,26,13,26,1.9583333333333333,1.2916666666666667,W,D,W,W,W,W,L,W,L,L,6,0.875,0.0,0.6666666666666666,0.2916666666666667
NH,19,35,42,29,0.6666666666666666,1.5,L,L,D,L,L,D,L,L,W,L,4,-0.9583333333333334,0.25,-0.8333333333333334,-0.125
H,23,36,39,23,0.625,1.5416666666666667,L,D,L,L,D,L,W,L,W,W,9,-0.6666666666666666,0.5416666666666666,-0.9166666666666666,-0.2916666666666667
H,17,30,44,24,0.5416666666666666,1.2916666666666667,L,D,D,D,L,W,D,W,D,L,8,-1.125,0.25,-0.75,-0.2083333333333333
H,52,35,25,40,2.0,1.2083333333333333,L,D,W,W,W,W,D,W,L,D,8,1.125,-0.2083333333333333,0.7916666666666666,0.0833333333333333
NH,21,30,33,31,1.0416666666666667,1.25,W,W,L,W,D,W,W,D,L,L,7,-0.5,-0.0416666666666666,-0.2083333333333333,0.125
NH,53,37,25,14,2.04,2.0,W,L,D,W,W,W,W,D,W,W,13,1.12,0.92,0.04,-0.12
H,31,29,31,26,1.32,1.32,W,W,W,D,L,L,L,D,W,D,5,0.0,0.12,0.0,0.2
NH,28,36,33,25,1.48,1.48,W,W,L,L,W,L,L,W,L,W,6,-0.2,0.44,0.0,0.12
H,26,39,34,33,1.08,1.48,L,L,L,D,L,D,D,L,L,W,5,-0.32,0.24,-0.4,-0.16
NH,19,27,44,37,0.64,0.84,W,L,D,D,D,W,L,W,L,D,7,-1.0,-0.4,-0.2,-0.04
H,27,25,30,39,1.04,0.72,L,L,L,L,W,W,L,D,L,L,4,-0.12,-0.56,0.32,-0.04
NH,21,48,34,8,1.0,2.44,L,W,W,L,W,W,W,W,W,W,15,-0.52,1.6,-1.44,-0.24
H,28,23,25,46,1.76,0.68,L,D,W,L,L,D,L,L,D,L,2,0.12,-0.92,1.08,0.08
NH,31,27,40,29,1.12,1.24,W,W,D,W,L,L,W,L,W,L,6,-0.36,-0.08,-0.12,0.16
NH,30,35,26,41,1.24,1.16,L,W,D,W,D,L,W,D,W,L,7,0.16,-0.24,0.08,0.04
NH,28,55,30,29,1.2307692307692308,1.9615384615384612,D,L,W,L,W,L,W,L,D,W,7,-0.0769230769230769,1.0,-0.7307692307692307,0.0
NH,29,34,39,32,0.8461538461538461,1.3846153846153846,D,W,L,W,L,W,W,W,W,D,13,-0.3846153846153846,0.0769230769230769,-0.5384615384615384,-0.2307692307692307
H,38,32,26,41,1.5384615384615383,1.1153846153846154,W,L,L,W,L,D,W,W,D,W,11,0.4615384615384615,-0.3461538461538461,0.4230769230769231,-0.1923076923076923
H,41,29,16,31,2.0384615384615383,1.1153846153846154,W,W,W,D,W,W,L,L,L,L,3,0.9615384615384616,-0.0769230769230769,0.9230769230769232,0.3846153846153846
H,40,21,35,35,1.4230769230769231,0.9615384615384616,L,D,D,L,L,L,L,W,W,L,6,0.1923076923076923,-0.5384615384615384,0.4615384615384615,-0.1538461538461538
NH,36,29,42,35,1.1538461538461535,1.4230769230769231,D,L,W,D,W,L,W,W,L,L,6,-0.2307692307692307,-0.2307692307692307,-0.2692307692307692,0.0769230769230769
H,23,21,47,46,0.6538461538461539,0.6538461538461539,L,D,L,L,D,D,W,L,D,D,6,-0.9230769230769232,-0.9615384615384616,0.0,-0.1538461538461538
H,30,28,29,35,1.2692307692307692,1.1538461538461535,L,L,L,D,W,W,L,L,L,D,4,0.0384615384615384,-0.2692307692307692,0.1153846153846153,0.0
NH,49,31,8,27,2.4615384615384617,1.2307692307692308,W,W,W,W,W,D,L,W,D,W,8,1.5769230769230769,0.1538461538461538,1.2307692307692308,0.2692307692307692
NH,26,29,41,25,0.6923076923076923,1.807692307692308,L,W,L,D,L,W,L,D,W,L,7,-0.5769230769230769,0.1538461538461538,-1.1153846153846154,-0.1153846153846153
H,29,41,33,27,1.0740740740740742,1.5925925925925926,L,W,L,L,L,W,W,L,L,W,9,-0.1481481481481481,0.5185185185185185,-0.5185185185185185,-0.2222222222222222
H,21,26,36,49,0.925925925925926,0.7407407407407407,L,L,L,W,W,W,L,D,L,L,4,-0.5555555555555556,-0.8518518518518519,0.1851851851851851,0.074074074074074
NH,35,41,32,35,1.4444444444444444,1.4814814814814814,W,W,W,W,W,W,L,D,D,L,5,0.1111111111111111,0.2222222222222222,-0.037037037037037,0.3703703703703703
NH,31,49,27,8,1.7777777777777777,2.4074074074074074,D,W,L,D,W,D,W,W,W,W,13,0.1481481481481481,1.5185185185185186,-0.6296296296296297,-0.1851851851851851
NH,29,29,38,33,1.1111111111111112,1.1851851851851851,L,W,L,L,L,L,D,L,W,L,4,-0.3333333333333333,-0.1481481481481481,-0.074074074074074,-0.037037037037037
NH,31,43,27,16,1.2222222222222223,2.074074074074074,D,D,L,W,D,W,W,W,W,D,13,0.1481481481481481,1.0,-0.8518518518518519,-0.2592592592592592
H,58,29,30,40,2.0,0.8148148148148148,W,L,W,L,D,L,D,W,L,W,7,1.037037037037037,-0.4074074074074074,1.1851851851851851,0.0
