age,matches_played,goals,assists,non_penalty_goals,penalty_goals_made,penalty_attempts,xg,npxg,xag,npxg_+_xag,goals_per_90,assists_per_90,goals_+_assists_per_90,non_penalty_goals_per_90,xg_per_90,xag_per_90,npxg_per_90,player_encoded,nation_encoded,position_encoded,goals_per_match,assists_per_match,combined_per_match,scoring_consistency,penalty_ratio,open_play_goal_ratio,age_squared,age_goals_interaction,age_efficiency_index,experience_factor,prime_age_indicator,goals_vs_xg,goals_vs_xg_ratio,assists_vs_xag,scoring_threat_index,total_involvement,involvement_per_90,primary_threat_ratio,match_availability,high_availability,overall_threat_score,xg_consistency,penalty_dependence
25,35,10,4,10,0,0,7.1,7.1,4.4,11.5,0.47,0.19,0.65,0.47,0.33,0.2,0.33,378,74,0,0.2777777777777778,0.1111111111111111,0.3888888888888889,0.31972789115646255,0.0,0.9090909090909091,625,250,0.3133333333333333,0.7777777777777778,0.9615384615384616,2.9000000000000004,1.234567901234568,-0.40000000000000036,0.678124106562703,14,0.65,0.6666666666666666,0.9210526315789473,1,0.5253643724696356,0.6419753086419753,0.0
23,33,3,3,3,0,0,4.3,4.3,1.1,5.4,0.16,0.16,0.32,0.16,0.23,0.06,0.23,394,32,5,0.08823529411764706,0.08823529411764706,0.17647058823529413,0.13793103448275865,0.0,0.75,529,69,0.11267605633802817,0.7674418604651163,0.8846153846153846,-1.2999999999999998,0.5660377358490566,1.9,0.4003917576961271,6,0.32,0.42857142857142855,0.868421052631579,1,0.3741457489878543,0.7547169811320755,0.0
27,26,6,3,6,0,0,7.9,7.9,1.8,9.8,0.45,0.23,0.68,0.45,0.6,0.14,0.6,498,83,0,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.3103448275862069,0.0,0.8571428571428571,729,162,0.2848101265822785,0.7222222222222222,0.9615384615384616,-1.9000000000000004,0.6741573033707865,1.2,0.5791735659373152,9,0.68,0.6,0.6842105263157895,0,0.4819959514170041,0.7865168539325842,0.0
25,10,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321,50,2,0.0,0.0,0.0,0.0,0.0,0.0,625,0,0.0,0.5,0.9615384615384616,0.0,0.0,0.0,0.05263157894736842,0,0.0,0.0,0.2631578947368421,0,0.14878542510121456,1.0,0.0
28,18,0,1,0,0,0,0.4,0.4,2.1,2.5,0.0,0.11,0.11,0.0,0.04,0.23,0.04,1062,44,1,0.0,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,784,0,0.0,0.6428571428571429,0.9230769230769231,-0.4,0.0,-1.1,0.10473684210526316,1,0.11,0.0,0.47368421052631576,0,0.22004453441295546,0.7142857142857142,0.0
25,30,5,2,5,0,0,5.8,5.8,1.3,7.1,0.4,0.16,0.56,0.4,0.46,0.1,0.46,445,100,0,0.16129032258064516,0.06451612903225806,0.22580645161290322,0.28571428571428575,0.0,0.8333333333333334,625,125,0.26666666666666666,0.75,0.9615384615384616,-0.7999999999999998,0.7352941176470589,0.7,0.5599535603715171,7,0.56,0.625,0.7894736842105263,1,0.4620485829959514,0.8823529411764706,0.0
21,19,0,2,0,0,0,0.7,0.7,1.4,2.1,0.0,0.24,0.24,0.0,0.08,0.17,0.08,380,76,1,0.0,0.1,0.1,0.0,0.0,0.0,441,0,0.0,0.6551724137931034,0.8076923076923077,-0.7,0.0,0.6000000000000001,0.12000000000000001,2,0.24,0.0,0.5,0,0.25276923076923075,0.5882352941176471,0.0
27,9,0,0,0,0,0,0.3,0.3,0.1,0.4,0.0,0.0,0.0,0.0,0.06,0.02,0.06,902,32,1,0.0,0.0,0.0,0.0,0.0,0.0,729,0,0.0,0.47368421052631576,0.9615384615384616,-0.3,0.0,-0.1,0.06236842105263158,0,0.0,0.0,0.23684210526315788,0,0.14352226720647773,0.7692307692307693,0.0
21,13,0,0,0,0,0,0.1,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.02,0.02,0.02,845,32,1,0.0,0.0,0.0,0.0,0.0,0.0,441,0,0.0,0.5652173913043478,0.8076923076923077,-0.1,0.0,-0.1,0.07342105263157896,0,0.0,0.0,0.34210526315789475,0,0.14919028340080973,0.9090909090909091,0.0
21,18,1,2,1,0,0,1.8,1.8,1.1,2.8,0.24,0.49,0.73,0.24,0.43,0.26,0.43,730,32,3,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.1935483870967742,0.0,0.5,441,21,0.17910447761194032,0.6428571428571429,0.8076923076923077,-0.8,0.35714285714285715,0.8999999999999999,0.35766541353383463,3,0.73,0.25,0.47368421052631576,0,0.41850607287449393,0.7142857142857142,0.0
