Model,MAE,MAE_std,RMSE,R²,Time (s)
Ridge Regression,0.7995410738740483,0.020349101162860275,1.0108837593154774,0.4016742343534515,0.030221939086914062
Linear Regression,0.7997953938873701,0.020729896216517867,1.010966346851172,0.4015789845042216,0.0802466869354248
LightGBM,0.8194149398685754,0.02171780176043649,1.0556453146090237,0.34734093537364813,0.58115553855896
Gradient Boosting,0.8221767892078103,0.052119583327669014,1.0495811681261167,0.3541281564496008,20.77297830581665
Random Forest,0.8251773308957953,0.03350964772141087,1.0503268217402895,0.35343924429726725,10.990282773971558
XGBoost,0.8894243478775025,0.0174108147258799,1.1381582542752349,0.24179340600967408,1.0419986248016357
Lasso Regression,1.060046423235806,0.01442764761119109,1.3084782852975556,-0.0014515374211440779,0.029462814331054688
