,played,gf,ga,gd
played,1.0,0.10512497926721079,0.11696042465467607,-3.598351305109206e-17
gf,0.10512497926721079,1.0,-0.5545082865874125,0.8947207209477485
ga,0.11696042465467607,-0.5545082865874125,1.0,-0.8678025200271087
gd,-3.598351305109206e-17,0.8947207209477485,-0.8678025200271087,1.0
