Model,Accuracy,Precision,Recall,F1_Score,F1_Macro
LogisticRegression,0.6505847953216374,0.6508992870621523,0.6505847953216374,0.6507198115331865,0.6490658629417106
RandomForest,0.6257309941520468,0.6243104792153823,0.6257309941520468,0.6238094414645049,0.6206709054081865
XGBoost,0.658625730994152,0.6577961449716913,0.658625730994152,0.6563125107549033,0.653207091803583
GradientBoosting,0.625,0.6235092897574244,0.625,0.6224589250905039,0.6190476190476191
NeuralNetwork,0.6535087719298246,0.6540826315785714,0.6535087719298246,0.6537273305428294,0.6521974202517957
StackingEnsemble,0.6469298245614035,0.6460735911716812,0.6469298245614035,0.6461685885399504,0.6437621004721308
CalibratedStacking,0.6491228070175439,0.6480389097016067,0.6491228070175439,0.6474851213484442,0.6446191714275199
