Model,MAE,MAE_std,RMSE,MSE
Ridge Regression,0.7975468877731475,0.01896620666121378,1.0106726810656697,1.0226158259854252
Linear Regression,0.7977508254567779,0.01938386447009265,1.0107453587848467,1.0227790286471423
Gradient Boosting,0.800031389769441,0.017015816520642598,1.0259618296821342,1.0538826179111194
Random Forest,0.8070457038391226,0.016106431733965997,1.033109839630209,1.0683568190127972
LightGBM,0.8140638706577512,0.017498615914616714,1.042222362301017,1.0874583274259177
XGBoost,0.863344156742096,0.01834242936251817,1.1112199492223913,1.235496711730957
