unnamed:_0,player,nation,position,age,matches_played,starts,minutes,90s_played,goals,assists,goals_+_assists,non_penalty_goals,penalty_goals_made,penalty_attempts,yellow_cards,red_cards,xg,npxg,xag,npxg_+_xag,progressive_carries,progressive_passes,progressive_receives,goals_per_90,assists_per_90,goals_+_assists_per_90,non_penalty_goals_per_90,non_penalty_goals_+_assists_per_90,xg_per_90,xag_per_90,xg_+_xag_per_90,npxg_per_90,npxg_+_xag_per_90,90s,xg_overperformance,age_band,player_encoded,nation_encoded,age_band_encoded
662,Ander Guevara,ESP,MT,27,33,20,1947,21.6,0,1,1,0,0,0,3,0,0.9,0.9,0.6,1.5,14,112,19,0.0,0.03,0.05,0.0,0.05,0.04,0.03,0.07,0.04,0.07,33,-0.9,Peak,131,34,1
663,Moussa Diarra,MLI,DF,23,26,20,1866,20.7,0,0,0,0,0,0,6,0,0.0,0.0,0.1,0.2,12,70,31,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,26,0.0,Prospect,1388,69,2
664,Santiago Mouriño,URU,DF,22,25,20,1849,20.5,0,1,1,0,0,0,7,0,0.9,0.9,0.9,1.8,14,46,1,0.0,0.04,0.05,0.0,0.05,0.05,0.04,0.09,0.05,0.09,25,-0.9,Prospect,1691,100,2
665,Joan Jordán,ESP,MT,30,25,15,1414,15.7,5,2,7,2,3,4,4,0,4.8,1.6,2.3,4.0,7,104,35,0.2,0.08,0.45,0.13,0.25,0.3,0.15,0.45,0.1,0.25,25,0.20000000000000018,Experienced,900,34,0
666,Carles Aleñá,ESP,"MT,AT",26,14,13,1090,12.1,0,2,2,0,0,0,1,0,0.7,0.7,1.3,2.0,18,58,43,0.0,0.14,0.17,0.0,0.17,0.06,0.11,0.17,0.06,0.17,14,-0.7,Peak,325,34,1
667,Toni Martínez,ESP,AT,27,28,9,1012,11.2,4,0,4,4,0,0,1,0,3.6,3.6,0.6,4.2,13,11,57,0.14,0.0,0.36,0.36,0.36,0.32,0.05,0.37,0.32,0.37,28,0.3999999999999999,Peak,1841,34,1
668,Facundo Garcés,MAS,DF,24,10,7,678,7.5,0,0,0,0,0,0,2,0,0.1,0.1,0.8,0.9,3,12,3,0.0,0.0,0.0,0.0,0.0,0.01,0.11,0.12,0.01,0.12,10,-0.1,Peak,589,66,1
669,Aleksandar Sedlar,SRB,DF,32,9,7,594,6.6,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,2,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,Experienced,70,90,0
670,Stoichkov,ESP,"MT,AT",30,16,6,699,7.8,0,1,1,0,0,0,1,0,1.1,1.1,1.2,2.3,9,26,41,0.0,0.06,0.13,0.0,0.13,0.14,0.15,0.3,0.14,0.3,16,-1.1,Experienced,1764,34,0
671,Carlos Benavídez,URU,MT,26,18,6,487,5.4,1,1,2,1,0,0,3,0,0.3,0.3,0.6,0.9,4,26,5,0.06,0.06,0.37,0.18,0.37,0.05,0.11,0.16,0.05,0.16,18,0.7,Peak,329,100,1
672,Pica,ESP,DF,22,9,5,499,5.5,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.4,3,15,0,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.06,0.06,0.06,9,-0.3,Prospect,1568,34,2
673,Jesús Owono,EQG,GB,23,6,5,487,5.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,Prospect,890,33,2
674,Asier Villalibre,ESP,AT,26,16,2,333,3.7,1,1,2,0,1,1,2,0,1.6,0.8,1.0,1.8,4,7,18,0.06,0.06,0.54,0.0,0.27,0.43,0.27,0.69,0.21,0.48,16,-0.6000000000000001,Peak,227,34,1
675,Pau Cabanes,ESP,"MT,AT",19,6,2,188,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,15,5,15,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,6,0.0,Prospect,1531,34,2
676,Adrian Rodriguez,ESP,GB,23,2,1,122,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,Prospect,35,34,2
677,Luis Rioja,ESP,AT,30,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.57,0.0,0.57,1,0.0,Experienced,1154,34,0
678,Paulo Gazzaniga,ARG,GB,32,36,36,3195,35.5,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0.0,Experienced,1542,3,0
679,Daley Blind,NED,DF,34,34,31,2780,30.9,0,2,2,0,0,0,2,0,0.5,0.5,1.6,2.1,71,272,61,0.0,0.06,0.06,0.0,0.06,0.02,0.05,0.07,0.02,0.07,34,-0.5,Veteran,403,74,3
680,Ladislav Krejčí,CZE,DF,25,28,27,2440,27.1,2,0,2,2,0,0,9,0,1.7,1.7,0.3,2.0,29,144,6,0.07,0.0,0.07,0.07,0.07,0.06,0.01,0.07,0.06,0.07,28,0.30000000000000004,Peak,1071,27,1
681,David López,ESP,DF,34,29,27,2429,27.0,1,1,2,1,0,0,4,0,0.9,0.9,0.6,1.5,17,132,7,0.03,0.03,0.07,0.04,0.07,0.03,0.02,0.06,0.03,0.06,29,0.09999999999999998,Veteran,450,34,3
682,Yangel Herrera,VEN,MT,26,29,27,2257,25.1,4,3,7,4,0,0,10,1,3.6,3.6,1.5,5.1,31,110,99,0.14,0.1,0.28,0.16,0.28,0.14,0.06,0.2,0.14,0.2,29,0.3999999999999999,Peak,1923,103,1
683,Iván Martín,ESP,MT,25,32,24,2039,22.7,1,1,2,1,0,0,1,0,1.8,1.8,1.9,3.6,57,131,76,0.03,0.03,0.09,0.04,0.09,0.08,0.08,0.16,0.08,0.16,32,-0.8,Peak,803,34,1
684,Oriol Romeu,ESP,MT,32,25,17,1356,15.1,0,0,0,0,0,0,5,0,0.1,0.1,0.3,0.4,22,73,8,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,25,-0.1,Experienced,1497,34,0
685,Abel Ruiz,ESP,AT,24,23,17,1346,15.0,4,0,4,3,1,2,3,0,4.6,3.0,0.5,3.5,21,23,71,0.17,0.0,0.27,0.2,0.2,0.31,0.03,0.34,0.2,0.23,23,-0.5999999999999996,Peak,19,34,1
686,Alejandro Francés,ESP,DF,21,18,13,1173,13.0,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.6,18,63,21,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.04,0.02,0.04,18,-0.2,Prospect,66,34,2
687,Bojan Miovski,MKD,AT,25,17,12,869,9.7,2,1,3,2,0,0,0,0,2.7,2.7,0.2,2.9,4,4,33,0.12,0.06,0.31,0.21,0.31,0.28,0.02,0.3,0.28,0.3,17,-0.7000000000000002,Peak,289,68,1
688,Arthur Melo,BRA,MT,27,15,10,941,10.5,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,24,70,17,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,15,-0.2,Peak,220,13,1
689,Juanpe,ESP,DF,33,12,8,727,8.1,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.2,2,26,0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,12,-0.1,Experienced,972,34,0
690,Cristhian Stuani,URU,AT,37,32,6,1078,12.0,11,2,13,8,3,3,4,0,8.1,5.8,0.6,6.5,2,10,36,0.34,0.06,1.09,0.67,0.83,0.68,0.05,0.73,0.49,0.54,32,2.9000000000000004,Veteran,388,100,3
691,Jhon Solis,COL,MT,19,19,3,535,5.9,1,0,1,1,0,0,3,0,0.7,0.7,0.1,0.7,9,29,15,0.05,0.0,0.17,0.17,0.17,0.11,0.01,0.12,0.11,0.12,19,0.30000000000000004,Prospect,893,20,2
692,Krapyvtsov Vladyslav,UKR,GB,19,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,Prospect,1063,99,2
693,Silvi Clúa,ESP,MT,19,4,2,163,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,4,3,3,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,4,0.0,Prospect,1733,34,2
694,Papa Ba,ESP,MT,19,1,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,1,0.0,Prospect,1514,34,2
695,Pau López,ESP,GB,29,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,Experienced,1533,34,0
696,Kim Minsu,KOR,"MT,AT",18,3,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,Prospect,1051,58,2
697,Ferrán Ruiz,ESP,MT,21,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,Prospect,606,34,2
698,Dodi Lukebakio,BEL,AT,26,38,36,3092,34.4,11,2,13,10,1,1,3,1,10.1,9.3,4.5,13.8,131,93,247,0.29,0.05,0.38,0.29,0.35,0.29,0.13,0.42,0.27,0.4,38,0.9000000000000004,Peak,505,9,1
699,Carmona,ESP,DF,22,35,35,2942,32.7,0,0,0,0,0,0,11,0,0.5,0.5,2.0,2.5,45,109,57,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.08,0.02,0.08,35,-0.5,Prospect,337,34,2
700,Loïc Bade,FRA,DF,24,32,31,2686,29.8,1,1,2,1,0,0,7,1,0.6,0.6,0.7,1.3,11,62,6,0.03,0.03,0.07,0.03,0.07,0.02,0.02,0.04,0.02,0.04,32,0.4,Peak,1122,37,1
701,Ørjan Nyland,NOR,GB,33,30,30,2673,29.7,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,30,0.0,Experienced,1985,77,0
702,Nemanja Gudelj,SRB,"MT,DF",32,31,27,2493,27.7,1,1,2,0,1,1,6,0,1.6,0.8,0.6,1.5,14,64,5,0.03,0.03,0.07,0.0,0.04,0.06,0.02,0.08,0.03,0.05,31,-0.6000000000000001,Experienced,1423,90,0
703,Adrià Pedrosa,ESP,DF,26,31,27,2298,25.5,1,1,2,1,0,0,7,0,0.9,0.9,1.6,2.5,41,79,96,0.03,0.03,0.08,0.04,0.08,0.04,0.06,0.1,0.04,0.1,31,0.09999999999999998,Peak,39,34,1
704,Isaac Romero,ESP,AT,24,31,26,2156,24.0,4,2,6,4,0,1,10,1,6.8,6.0,2.1,8.1,21,29,95,0.13,0.06,0.25,0.17,0.25,0.28,0.09,0.37,0.25,0.34,31,-2.8,Peak,781,34,1
705,Kike Salas,ESP,DF,22,31,25,2238,24.9,3,2,5,3,0,0,6,0,1.9,1.9,0.6,2.5,7,59,18,0.1,0.06,0.2,0.12,0.2,0.08,0.02,0.1,0.08,0.1,31,1.1,Prospect,1045,34,2
706,Lucien Agoume,FRA,MT,22,35,24,2114,23.5,1,3,4,1,0,0,5,1,0.9,0.9,2.5,3.3,29,135,23,0.03,0.09,0.17,0.04,0.17,0.04,0.11,0.14,0.04,0.14,35,0.09999999999999998,Prospect,1146,37,2
707,Djibril Sow,SUI,MT,27,30,24,2062,22.9,2,1,3,2,0,0,5,0,2.4,2.4,1.6,4.0,23,100,50,0.07,0.03,0.13,0.09,0.13,0.1,0.07,0.18,0.1,0.18,30,-0.3999999999999999,Peak,503,91,1
708,Juanlu Sánchez,ESP,"MT,DF",20,32,18,1722,19.1,4,4,8,4,0,0,6,1,2.1,2.1,2.8,5.0,44,68,83,0.12,0.12,0.42,0.21,0.42,0.11,0.15,0.26,0.11,0.26,32,1.9,Prospect,970,34,2
709,Saúl Ñíguez,ESP,MT,29,24,17,1553,17.3,1,6,7,1,0,0,8,1,2.8,2.8,2.5,5.3,13,66,39,0.04,0.25,0.41,0.06,0.41,0.16,0.14,0.31,0.16,0.31,24,-1.7999999999999998,Experienced,1696,34,0
710,Albert Sambi Lokonga,BEL,MT,24,22,16,1471,16.3,0,2,2,0,0,0,4,0,0.9,0.9,1.0,1.9,24,93,20,0.0,0.09,0.12,0.0,0.12,0.06,0.06,0.12,0.06,0.12,22,-0.9,Peak,55,9,1
711,Peque,ESP,"MT,AT",21,26,14,1134,12.6,1,1,2,1,0,0,1,0,2.5,2.5,1.2,3.7,14,35,44,0.04,0.04,0.16,0.08,0.16,0.2,0.1,0.29,0.2,0.29,26,-1.5,Prospect,1554,34,2
712,Chidera Ejuke,NGA,AT,26,25,9,966,10.7,2,1,3,2,0,0,0,0,1.1,1.1,1.9,3.0,75,38,101,0.08,0.04,0.28,0.19,0.28,0.1,0.17,0.28,0.1,0.28,25,0.8999999999999999,Peak,355,75,1
713,Álvaro Fernández,ESP,GB,26,9,8,747,8.3,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,9,0.0,Peak,1972,34,1
714,Marcão,BRA,DF,28,12,6,552,6.1,0,0,0,0,0,0,6,1,0.0,0.0,0.0,0.0,0,19,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,Peak,1221,13,1
715,Tanguy Nianzou,FRA,DF,22,6,6,518,5.8,0,0,0,0,0,0,3,1,0.2,0.2,0.0,0.2,4,10,0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,6,-0.2,Prospect,1783,37,2
716,Kelechi Iheanacho,NGA,AT,27,9,5,400,4.4,0,0,0,0,0,0,0,0,1.5,1.5,0.3,1.8,6,5,17,0.0,0.0,0.0,0.0,0.0,0.33,0.07,0.41,0.33,0.41,9,-1.5,Peak,1019,75,1
717,Álvaro Pascual,ESP,AT,22,8,4,408,4.5,1,0,1,1,0,0,1,0,1.1,1.1,0.0,1.1,4,3,27,0.12,0.0,0.22,0.22,0.22,0.24,0.01,0.25,0.24,0.25,8,-0.10000000000000009,Prospect,1974,34,2
718,Ramón Martínez,ESP,DF,21,5,2,261,2.9,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.4,1,5,2,0.2,0.0,0.34,0.34,0.34,0.12,0.02,0.14,0.12,0.14,5,0.7,Prospect,1594,34,2
719,Lucas Ocampos,ARG,AT,30,2,2,175,1.9,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.5,5,7,20,0.0,0.5,0.51,0.0,0.51,0.08,0.17,0.25,0.08,0.25,2,-0.2,Experienced,1139,3,0
720,Manu Bueno,ESP,"MT,AT",20,9,1,140,1.6,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,2,5,5,0.11,0.0,0.64,0.64,0.64,0.08,0.0,0.08,0.08,0.08,9,0.9,Prospect,1191,34,2
721,Akor Adams,NGA,AT,24,4,1,134,1.5,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,5,5,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.29,0.29,0.29,4,-0.4,Peak,50,75,1
722,Diego Iturralde,ESP,AT,21,1,1,37,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.21,0.21,0.21,1,-0.1,Prospect,487,34,2
723,Leandro Antonetti,PUR,AT,21,2,0,28,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,1,0,3,0.0,0.0,0.0,0.0,0.0,0.45,0.09,0.54,0.45,0.54,2,-0.1,Prospect,1082,84,2
724,Israel Domínguez,ESP,AT,21,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,Prospect,790,34,2
725,Mateo Mejía,ESP,AT,21,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,Prospect,1261,34,2
726,Darío Fuentes,ESP,DF,21,1,0,5,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,Prospect,446,34,2
727,Sergi,ESP,DF,32,36,33,2957,32.9,2,0,2,2,0,0,2,1,1.5,1.5,0.4,1.9,3,77,2,0.06,0.0,0.06,0.06,0.06,0.05,0.01,0.06,0.05,0.06,36,0.5,Experienced,1711,34,0
728,Marko Dmitrović,SRB,GB,32,32,32,2880,32.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,32,0.0,Experienced,1236,90,0
729,Seydouba Cissé,GUI,MT,23,34,31,2435,27.1,3,1,4,3,0,0,3,1,3.0,3.0,1.0,4.0,26,110,42,0.09,0.03,0.15,0.11,0.15,0.11,0.04,0.15,0.11,0.15,34,0.0,Prospect,1728,46,2
730,Valentin Rosier,FRA,DF,27,32,28,2595,28.8,1,2,3,1,0,0,8,0,0.9,0.9,1.1,2.0,41,74,89,0.03,0.06,0.1,0.03,0.1,0.03,0.04,0.07,0.03,0.07,32,0.09999999999999998,Peak,1865,37,1
731,Renato Tapia,PER,"MT,DF",29,34,28,2424,26.9,1,0,1,1,0,0,8,0,0.6,0.6,0.4,1.0,17,83,20,0.03,0.0,0.04,0.04,0.04,0.02,0.01,0.04,0.02,0.04,34,0.4,Experienced,1618,81,0
732,Javi Hernández,ESP,DF,26,31,27,2389,26.5,2,1,3,2,0,0,6,0,0.8,0.8,1.5,2.2,40,80,90,0.06,0.03,0.11,0.08,0.11,0.03,0.06,0.08,0.03,0.08,31,1.2,Peak,850,34,1
733,Yvan Neyou,CMR,MT,27,30,27,2312,25.7,1,1,2,1,0,0,14,0,0.6,0.6,0.6,1.3,24,96,30,0.03,0.03,0.08,0.04,0.08,0.03,0.03,0.05,0.03,0.05,30,0.4,Peak,1957,18,1
734,Matija Nastasić,SRB,DF,31,26,24,2110,23.4,1,0,1,1,0,0,3,0,0.1,0.1,0.1,0.2,1,59,0,0.04,0.0,0.04,0.04,0.04,0.0,0.01,0.01,0.0,0.01,26,0.9,Experienced,1279,90,0
735,Jorge Sáenz,ESP,DF,27,23,19,1690,18.8,1,0,1,1,0,0,4,1,1.3,1.3,0.1,1.4,5,36,2,0.04,0.0,0.05,0.05,0.05,0.07,0.01,0.07,0.07,0.07,23,-0.30000000000000004,Peak,945,34,1
736,Miguel,ESP,AT,24,34,17,1724,19.2,1,3,4,0,1,2,3,0,4.9,3.3,1.4,4.8,14,16,90,0.03,0.09,0.21,0.0,0.16,0.26,0.07,0.33,0.17,0.25,34,-3.9000000000000004,Peak,1343,34,1
737,Darko Brašanac,SRB,MT,32,30,15,1617,18.0,1,2,3,1,0,0,4,0,1.8,1.8,0.4,2.2,6,43,53,0.03,0.07,0.17,0.06,0.17,0.1,0.02,0.12,0.1,0.12,30,-0.8,Experienced,443,90,0
738,Diego,ESP,AT,24,28,13,1195,13.3,3,0,3,3,0,0,2,0,3.8,3.8,0.2,4.0,9,16,49,0.11,0.0,0.23,0.23,0.23,0.28,0.02,0.3,0.28,0.3,28,-0.7999999999999998,Peak,483,34,1
739,Óscar Rodríguez Arnaiz,ESP,"MT,AT",26,29,12,1330,14.8,1,4,5,1,0,0,6,1,2.1,2.1,2.2,4.3,24,60,66,0.03,0.14,0.34,0.07,0.34,0.14,0.15,0.29,0.14,0.29,29,-1.1,Peak,1981,34,1
740,Yan Diomandé,CIV,"MT,AT",17,10,6,545,6.1,2,1,3,2,0,0,1,0,1.4,1.4,0.9,2.3,37,16,64,0.2,0.1,0.5,0.33,0.5,0.24,0.14,0.38,0.24,0.38,10,0.6000000000000001,Prospect,1922,17,2
741,Juan Soriano,ESP,GB,26,6,6,540,6.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,Peak,969,34,1
742,Sébastien Haller,CIV,AT,30,8,5,404,4.5,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,3,4,14,0.0,0.0,0.0,0.0,0.0,0.09,0.05,0.13,0.09,0.13,8,-0.4,Experienced,1771,17,0
743,Roberto López,ESP,MT,24,13,3,396,4.4,0,1,1,0,0,0,0,0,0.5,0.5,0.9,1.4,3,20,11,0.0,0.08,0.23,0.0,0.23,0.11,0.2,0.31,0.11,0.31,13,-0.5,Peak,1633,34,1
744,Julián Chicco,ARG,"MT,DF",26,14,2,302,3.4,0,1,1,0,0,0,0,0,0.5,0.5,0.2,0.6,8,16,7,0.0,0.07,0.3,0.0,0.3,0.14,0.05,0.19,0.14,0.19,14,-0.5,Peak,982,3,1
745,Aritz Arambarri,ESP,DF,26,2,2,177,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,2,0.0,Peak,201,34,1
746,Duk,CPV,"MT,AT",24,10,1,179,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.7,0.7,10,3,21,0.0,0.0,0.0,0.0,0.0,0.01,0.33,0.34,0.01,0.34,10,0.0,Peak,518,22,1
747,Borna Barišić,CRO,DF,31,1,1,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,Experienced,292,24,0
748,Álex Suárez,ESP,DF,31,30,30,2460,27.3,0,0,0,0,0,0,12,0,0.5,0.5,0.1,0.6,6,53,3,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,30,-0.5,Experienced,1969,34,0
749,Javier Muñoz,ESP,"MT,DF",29,35,28,2588,28.8,1,3,4,1,0,0,5,0,1.3,1.3,2.5,3.7,36,108,91,0.03,0.09,0.14,0.03,0.14,0.04,0.09,0.13,0.04,0.13,35,-0.30000000000000004,Experienced,858,34,0
750,Scott McKenna,SCO,DF,27,29,28,2466,27.4,0,0,0,0,0,0,5,1,1.1,1.1,0.7,1.8,11,45,3,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,0.07,29,-1.1,Peak,1698,87,1
751,Mika Mármol,ESP,DF,23,30,27,2399,26.7,0,1,1,0,0,0,5,0,0.4,0.4,1.5,1.9,33,106,62,0.0,0.03,0.04,0.0,0.04,0.02,0.06,0.07,0.02,0.07,30,-0.4,Prospect,1347,34,2
752,Jasper Cillessen,NED,GB,35,27,27,2335,25.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0.0,Veteran,849,74,3
753,Dario Essugo,POR,MT,19,27,25,1938,21.5,1,0,1,1,0,0,11,2,0.7,0.7,0.4,1.0,18,76,8,0.04,0.0,0.05,0.05,0.05,0.03,0.02,0.05,0.03,0.05,27,0.30000000000000004,Prospect,442,83,2
754,Viti,ESP,DF,26,29,23,1982,22.0,0,2,2,0,0,0,5,0,0.1,0.1,1.4,1.4,43,44,65,0.0,0.07,0.09,0.0,0.09,0.0,0.06,0.06,0.0,0.06,29,-0.1,Peak,1887,34,1
755,Fábio Silva,POR,AT,22,24,22,1866,20.7,10,3,13,8,2,3,7,0,8.8,6.4,2.0,8.4,30,26,119,0.42,0.12,0.63,0.39,0.53,0.42,0.1,0.52,0.31,0.41,24,1.1999999999999993,Prospect,644,83,2
756,Kirian Rodríguez,ESP,MT,28,21,21,1758,19.5,0,3,3,0,0,0,2,0,1.6,1.6,1.5,3.0,25,128,39,0.0,0.14,0.15,0.0,0.15,0.08,0.07,0.16,0.08,0.16,21,-1.6,Peak,1053,34,1
757,Oliver McBurnie,SCO,AT,28,34,20,1837,20.4,3,6,9,3,0,0,3,0,4.8,4.8,2.8,7.6,7,27,75,0.09,0.18,0.44,0.15,0.44,0.24,0.14,0.37,0.24,0.37,34,-1.7999999999999998,Peak,1484,87,1
758,Álex Muñoz,ESP,DF,30,21,18,1415,15.7,3,0,3,3,0,0,3,0,0.9,0.9,0.5,1.4,15,45,53,0.14,0.0,0.19,0.19,0.19,0.05,0.03,0.09,0.05,0.09,21,2.1,Experienced,1967,34,0
759,Juan Herzog,ESP,DF,21,19,15,1315,14.6,0,0,0,0,0,0,1,0,0.9,0.9,0.0,0.9,0,27,1,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,19,-0.9,Prospect,965,34,2
760,José Campaña,ESP,MT,31,25,15,1189,13.2,0,3,3,0,0,0,5,0,0.1,0.1,0.9,1.1,11,87,15,0.0,0.12,0.23,0.0,0.23,0.01,0.07,0.08,0.01,0.08,25,-0.1,Experienced,951,34,0
761,Stefan Bajcetic,ESP,"MT,DF",19,14,12,969,10.8,1,0,1,1,0,0,4,0,0.3,0.3,0.2,0.5,8,39,9,0.07,0.0,0.09,0.09,0.09,0.03,0.02,0.05,0.03,0.05,14,0.7,Prospect,1752,34,2
762,Dinko Horkaš,CRO,GB,25,13,11,1085,12.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0,Peak,496,24,1
763,Enzo Loiodice,FRA,MT,23,17,7,684,7.6,0,0,0,0,0,0,3,0,0.3,0.3,0.2,0.4,3,31,3,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,17,-0.3,Prospect,565,37,2
764,Adnan Januzaj,BEL,"MT,AT",29,18,5,598,6.6,2,1,3,2,0,0,5,0,0.8,0.8,1.1,1.9,24,41,58,0.11,0.06,0.45,0.3,0.45,0.13,0.16,0.29,0.13,0.29,18,1.2,Experienced,31,9,0
765,Andy Pelmard,FRA,DF,24,4,2,205,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,1,13,5,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.0,0.03,4,0.0,Peak,160,37,1
766,Sergio Viera,ESP,MT,19,2,1,96,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,2,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,2,0.0,Prospect,1727,34,2
767,Daley Sinkgraven,NED,DF,29,2,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,2,0.0,Experienced,404,74,0
768,Fabio González,ESP,MT,27,2,0,53,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,6,0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,2,-0.1,Peak,587,34,1
