unnamed:_0,player,nation,position,age,matches_played,starts,minutes,90s_played,goals,assists,goals_+_assists,non_penalty_goals,penalty_goals_made,penalty_attempts,yellow_cards,red_cards,xg,npxg,xag,npxg_+_xag,progressive_carries,progressive_passes,progressive_receives,goals_per_90,assists_per_90,goals_+_assists_per_90,non_penalty_goals_per_90,non_penalty_goals_+_assists_per_90,xg_per_90,xag_per_90,xg_+_xag_per_90,npxg_per_90,npxg_+_xag_per_90,90s,xg_overperformance,age_band,player_encoded,nation_encoded,age_band_encoded
132,Diego Gómez,PAR,MT,21,16,4,516,5.7,1,0,1,1,0,0,0,0,0.9,0.9,0.7,1.6,8,27,23,0.06,0.0,0.17,0.17,0.17,0.15,0.13,0.28,0.15,0.28,16,0.09999999999999998,Prospect,486,80,2
133,James Milner,ENG,MT,38,4,3,170,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,1,10,10,0.0,0.0,0.0,0.0,0.0,0.09,0.12,0.21,0.09,0.21,4,-0.2,Veteran,833,32,3
134,Julio Enciso,PAR,"MT,AT",20,12,2,294,3.3,0,0,0,0,0,0,0,0,1.0,1.0,0.2,1.2,11,14,17,0.0,0.0,0.0,0.0,0.0,0.31,0.07,0.38,0.31,0.38,12,-1.0,Prospect,981,80,2
135,Evan Ferguson,IRL,AT,19,13,2,246,2.7,1,0,1,1,0,0,0,0,0.5,0.5,0.4,1.0,2,1,9,0.08,0.0,0.37,0.37,0.37,0.2,0.15,0.35,0.2,0.35,13,0.5,Prospect,579,50,2
136,Jason Steele,ENG,GB,33,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,Experienced,848,32,0
137,Billy Gilmour,SCO,MT,23,2,1,98,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,11,2,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,2,-0.1,Prospect,285,87,2
138,Eiran Cashin,IRL,DF,22,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,Prospect,531,50,2
139,Jakub Moder,POL,MT,25,4,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,1.45,0.0,1.45,4,0.0,Peak,826,82,1
140,Jeremy Sarmiento,ECU,MT,22,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,Prospect,882,30,2
141,Harry Howell,ENG,AT,15,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,Prospect,725,32,2
142,Milos Kerkez,HUN,DF,20,38,38,3336,37.1,2,5,7,2,0,0,4,0,0.6,0.5,3.9,4.4,106,159,197,0.05,0.13,0.19,0.05,0.19,0.02,0.1,0.12,0.01,0.12,38,1.4,Prospect,1360,48,2
143,Antoine Semenyo,GHA,AT,24,37,36,3203,35.6,11,5,16,11,0,0,9,0,10.0,10.0,5.8,15.8,140,109,282,0.3,0.14,0.45,0.31,0.45,0.28,0.16,0.44,0.28,0.44,37,1.0,Peak,181,42,1
144,Illia Zabarnyi,UKR,DF,21,36,35,3109,34.5,0,1,1,0,0,0,4,1,1.3,1.3,0.7,2.0,27,140,4,0.0,0.03,0.03,0.0,0.03,0.04,0.02,0.06,0.04,0.06,36,-1.3,Prospect,777,99,2
145,Lewis Cook,ENG,"MT,DF",27,36,32,2978,33.1,1,3,4,1,0,0,8,1,0.9,0.9,4.1,5.1,33,158,52,0.03,0.08,0.12,0.03,0.12,0.03,0.12,0.15,0.03,0.15,36,0.09999999999999998,Peak,1098,32,1
146,Kepa Arrizabalaga,ESP,GB,29,31,31,2790,31.0,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,-0.1,Experienced,1024,34,0
147,Justin Kluivert,NED,MT,25,34,29,2340,26.0,12,6,18,6,6,6,8,0,10.3,5.6,4.8,10.5,81,105,173,0.35,0.18,0.69,0.23,0.46,0.4,0.19,0.58,0.22,0.4,34,1.6999999999999993,Peak,995,74,1
148,Evanilson,BRA,AT,24,31,28,2319,25.8,10,1,11,10,0,1,1,1,12.5,11.7,1.9,13.6,29,28,99,0.32,0.03,0.43,0.39,0.43,0.48,0.07,0.56,0.45,0.53,31,-2.5,Peak,580,13,1
149,Ryan Christie,SCO,MT,29,29,27,2117,23.5,2,3,5,2,0,0,9,0,1.8,1.8,3.5,5.4,34,137,44,0.07,0.1,0.21,0.09,0.21,0.08,0.15,0.23,0.08,0.23,29,0.19999999999999996,Experienced,1663,87,0
150,Dean Huijsen,ESP,DF,19,32,26,2427,27.0,3,2,5,3,0,0,10,0,1.9,1.9,2.0,3.9,41,132,10,0.09,0.06,0.19,0.11,0.19,0.07,0.08,0.14,0.07,0.14,32,1.1,Prospect,467,34,2
151,Dango Ouattara,BFA,AT,22,32,21,2005,22.3,7,4,11,7,0,0,3,0,8.4,8.4,5.5,13.8,79,43,191,0.22,0.12,0.49,0.31,0.49,0.38,0.25,0.62,0.38,0.62,32,-1.4000000000000004,Prospect,408,11,2
152,Tyler Adams,USA,MT,25,28,21,1965,21.8,0,3,3,0,0,0,7,0,1.6,1.6,1.0,2.6,14,76,10,0.0,0.11,0.14,0.0,0.14,0.07,0.05,0.12,0.07,0.12,28,-1.6,Peak,1845,101,1
153,Adam Smith,ENG,DF,33,25,19,1590,17.7,0,0,0,0,0,0,7,0,0.7,0.7,0.4,1.1,15,49,34,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,25,-0.7,Experienced,27,32,0
154,Marcos Senesi,ARG,DF,27,17,13,1106,12.3,0,0,0,0,0,0,5,0,0.8,0.8,0.2,1.1,12,62,7,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,17,-0.8,Peak,1217,3,1
155,Alex Scott,ENG,MT,20,20,8,755,8.4,0,0,0,0,0,0,3,0,0.7,0.7,0.9,1.6,15,52,33,0.0,0.0,0.0,0.0,0.0,0.09,0.11,0.19,0.09,0.19,20,-0.7,Prospect,89,32,2
156,Julian Araujo,MEX,DF,22,12,7,497,5.5,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,4,14,22,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,12,0.0,Prospect,976,67,2
157,James Hill,ENG,DF,22,10,6,448,5.0,0,1,1,0,0,0,1,0,0.3,0.3,0.3,0.6,3,16,8,0.0,0.1,0.2,0.0,0.2,0.06,0.05,0.11,0.06,0.11,10,-0.3,Prospect,830,32,2
158,Mark Travers,IRL,GB,25,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,Peak,1235,50,1
159,Neto,BRA,GB,35,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,Veteran,1425,13,3
160,Philip Billing,DEN,MT,28,10,1,184,2.0,0,0,0,0,0,0,1,0,0.6,0.6,1.1,1.7,3,15,13,0.0,0.0,0.0,0.0,0.0,0.28,0.54,0.82,0.28,0.82,10,-0.6,Peak,1560,28,1
161,Max Aarons,ENG,DF,24,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,Peak,1309,32,1
162,Daniel Jebbison,ENG,AT,20,16,0,119,1.3,1,0,1,1,0,0,1,0,1.0,1.0,0.2,1.2,4,3,16,0.06,0.0,0.76,0.76,0.76,0.75,0.15,0.9,0.75,0.9,16,0.0,Prospect,418,32,2
163,Ben Winterburn,ENG,"MT,AT",19,4,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,Prospect,262,32,2
164,Remy Rees-Dottin,ENG,AT,18,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,Prospect,1617,32,2
165,Zain Silcott-Duberry,MSR,AT,19,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,Prospect,1960,72,2
166,Nathan Collins,IRL,DF,23,38,38,3420,38.0,2,3,5,2,0,0,5,0,2.5,2.5,1.8,4.3,32,127,18,0.05,0.08,0.13,0.05,0.13,0.07,0.05,0.11,0.07,0.11,38,-0.5,Prospect,1411,50,2
167,Bryan Mbeumo,CMR,AT,24,38,38,3414,37.9,20,7,27,15,5,6,3,0,12.3,7.5,8.3,15.9,130,141,351,0.53,0.18,0.71,0.4,0.58,0.32,0.22,0.54,0.2,0.42,38,7.699999999999999,Peak,311,18,1
168,Mark Flekken,NED,GB,31,37,37,3275,36.4,0,2,2,0,0,0,1,0,0.0,0.0,0.5,0.5,0,0,0,0.0,0.05,0.05,0.0,0.05,0.0,0.01,0.01,0.0,0.01,37,0.0,Experienced,1233,74,0
169,Yoane Wissa,COD,AT,27,35,34,2919,32.4,19,4,23,19,0,0,5,0,18.5,18.5,2.6,21.1,60,67,154,0.54,0.11,0.71,0.59,0.71,0.57,0.08,0.65,0.57,0.65,35,0.5,Peak,1943,19,1
170,Mikkel Damsgaard,DEN,"MT,AT",24,38,34,2911,32.3,2,10,12,2,0,0,2,0,2.8,2.8,8.4,11.2,73,234,137,0.05,0.26,0.37,0.06,0.37,0.09,0.26,0.35,0.09,0.35,38,-0.7999999999999998,Peak,1355,28,1
171,Christian Nørgaard,DEN,MT,30,34,34,2819,31.3,5,4,9,5,0,0,8,1,4.3,4.3,1.3,5.6,14,154,42,0.15,0.12,0.29,0.16,0.29,0.14,0.04,0.18,0.14,0.18,34,0.7000000000000002,Experienced,368,28,0
172,Vitaly Janelt,GER,MT,26,32,27,2254,25.0,1,3,4,1,0,0,3,0,0.8,0.8,2.2,3.0,17,80,38,0.03,0.09,0.16,0.04,0.16,0.03,0.09,0.12,0.03,0.12,32,0.19999999999999996,Peak,1885,41,1
173,Kevin Schade,GER,AT,22,38,26,2293,25.5,11,2,13,11,0,0,3,0,8.2,8.2,3.7,11.9,61,38,165,0.29,0.05,0.51,0.43,0.51,0.32,0.14,0.47,0.32,0.47,38,2.8000000000000007,Prospect,1034,41,2
174,Ethan Pinnock,JAM,DF,31,22,21,1913,21.3,2,0,2,2,0,0,2,0,1.1,1.1,1.2,2.3,3,41,9,0.09,0.0,0.09,0.09,0.09,0.05,0.05,0.11,0.05,0.11,22,0.8999999999999999,Experienced,576,55,0
175,Kristoffer Ajer,NOR,DF,26,24,17,1438,16.0,0,0,0,0,0,0,5,0,1.0,1.0,1.2,2.2,27,56,44,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.14,0.06,0.14,24,-1.0,Peak,1065,77,1
176,Yehor Yarmoliuk,UKR,MT,20,31,15,1450,16.1,0,0,0,0,0,0,6,0,0.6,0.6,0.9,1.5,15,63,47,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.04,0.09,31,-0.6,Prospect,1935,99,2
177,Mads Roerslev,DEN,DF,25,19,11,1101,12.2,0,2,2,0,0,0,2,0,0.2,0.2,3.0,3.2,17,51,54,0.0,0.11,0.16,0.0,0.16,0.02,0.24,0.26,0.02,0.26,19,-0.2,Peak,1174,28,1
178,Mathias Jensen,DEN,MT,28,24,8,862,9.6,0,2,2,0,0,0,2,0,0.2,0.2,1.7,1.9,6,61,27,0.0,0.08,0.21,0.0,0.21,0.03,0.17,0.2,0.03,0.2,24,-0.2,Peak,1271,28,1
179,Michael Kayode,ITA,DF,20,12,6,528,5.9,0,1,1,0,0,0,2,0,0.2,0.2,1.2,1.5,12,12,24,0.0,0.08,0.17,0.0,0.17,0.04,0.21,0.25,0.04,0.25,12,-0.2,Prospect,1334,54,2
180,Ben Mee,ENG,DF,34,7,2,183,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,3,11,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,Veteran,259,32,3
181,Hákon Rafn Valdimarsson,ISL,GB,22,2,1,145,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,Prospect,752,52,2
182,Edmond-Paris Maghoma,ENG,"MT,AT",23,8,0,119,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,13,4,0.0,0.0,0.0,0.0,0.0,0.09,0.08,0.17,0.09,0.17,8,-0.1,Prospect,526,32,2
183,Rico Henry,ENG,DF,27,5,0,99,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,Peak,1625,32,1
184,Kim Jisoo,KOR,DF,19,3,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,Prospect,1050,58,2
185,Frank Onyeka,NGA,MT,26,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,Peak,636,75,1
186,Jayden Meghoma,ENG,DF,18,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,Prospect,863,32,2
187,Ryan Trevitt,ENG,MT,21,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,Prospect,1665,32,2
188,Bernd Leno,GER,GB,32,38,38,3420,38.0,0,1,1,0,0,0,5,0,0.0,0.0,0.1,0.1,0,0,0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,38,0.0,Experienced,277,41,0
189,Antonee Robinson,USA,DF,26,36,35,3167,35.2,0,10,10,0,0,0,8,0,0.7,0.7,4.2,4.9,118,131,274,0.0,0.28,0.28,0.0,0.28,0.02,0.12,0.14,0.02,0.14,36,-0.7,Peak,183,101,1
190,Calvin Bassey,NGA,DF,24,35,34,3074,34.2,1,0,1,1,0,0,7,0,1.0,1.0,0.1,1.2,39,116,15,0.03,0.0,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.03,35,0.0,Peak,317,75,1
191,Raúl Jiménez,MEX,AT,33,38,30,2494,27.7,12,3,15,9,3,3,4,0,12.0,9.6,3.3,12.9,35,62,125,0.32,0.08,0.54,0.32,0.43,0.43,0.12,0.55,0.35,0.47,38,0.0,Experienced,1610,67,0
192,Joachim Andersen,DEN,DF,28,29,29,2583,28.7,0,0,0,0,0,0,6,1,1.0,1.0,0.5,1.5,16,112,2,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.05,0.04,0.05,29,-1.0,Peak,896,28,1
193,Saša Lukić,SRB,MT,27,30,28,2344,26.0,0,2,2,0,0,0,12,0,1.2,1.2,2.7,3.9,39,98,33,0.0,0.07,0.08,0.0,0.08,0.04,0.11,0.15,0.04,0.15,30,-1.2,Peak,1697,90,1
194,Sander Berge,NOR,MT,26,31,26,2224,24.7,0,0,0,0,0,0,6,0,0.4,0.4,0.6,1.0,29,124,9,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,31,-0.4,Peak,1684,77,1
195,Emile Smith Rowe,ENG,MT,24,34,25,2043,22.7,6,3,9,6,0,0,3,0,4.5,4.5,1.4,6.0,53,126,127,0.18,0.09,0.4,0.26,0.4,0.2,0.06,0.26,0.2,0.26,34,1.5,Peak,553,32,1
