matches_played,goals_scored,goals_conceded,goal_difference,season_encoded,team_encoded,target_total_points,target_league_position,target_champion
38,33,80,-47,8,14,25,18,0
38,58,51,7,8,1,66,5,0
38,64,65,-1,8,27,38,17,0
38,72,44,28,8,17,71,3,0
38,26,86,-60,8,23,12,20,0
38,51,51,0,8,8,53,12,0
38,66,59,7,8,4,61,8,0
38,54,54,0,8,10,54,11,0
38,58,46,12,8,2,56,9,0
38,54,69,-15,8,31,42,15,0
38,86,41,45,8,15,84,1,1
